"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.300658780104392e+03, -8.920624826943305e+00, -2.154832195222079e+00, 9.225413010055543e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.447407958101338e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 6.704260561772038e+02, -4.770576495381290e+00, -7.152422226212123e-01, 4.147309700060402e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.167409288331490e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 5.223222268922168e+02, -3.648022518603598e+00, -6.261437008776470e-01, 2.775181224500482e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.857881303391624e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 4.309382627511370e+02, -2.977143143161039e+00, -5.635238364277466e-01, 2.114324203617816e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.789618419613154e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 3.727542094289594e+02, -2.548377750896470e+00, -5.087052380934690e-01, 1.718685868653572e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.030702501966350e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 3.302541566892060e+02, -2.240121375742683e+00, -4.646406168136720e-01, 1.463541809181604e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.099414743081591e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 2.971352158692530e+02, -2.002653206188505e+00, -4.267001226783161e-01, 1.279369020054698e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.022447099723510e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 2.707893488227492e+02, -1.815189172363330e+00, -3.953050848964142e-01, 1.140916168313141e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.323557791698925e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 2.495477945675728e+02, -1.663987272458146e+00, -3.693433573933936e-01, 1.032872289034169e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.846184457398679e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 2.321900435595012e+02, -1.540213534717000e+00, -3.476769185311021e-01, 9.467644121472134e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.501801371466797e-01
