"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.555580386779875e+00, 2.684058801998101e+02, 3.582412883647314e+01, 3.507024531166922e+05, 1.308536208407626e+05, 2.930377904222285e+02, 5.072512983095168e-01, 6.505018513791054e-01, 1.725438829653947e+02, 2.302942949199224e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.505841231380994e+00, 2.778207364759318e+02, 3.980621680669768e+01, 3.404430440289315e+05, 1.257154378606950e+05, 2.908303816938396e+02, 5.451668810293040e-01, 5.373100582614069e-01, 1.844953708839177e+02, 2.643453770368058e+01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.485651794524193e+00, 2.872985201875495e+02, 4.138597050558040e+01, 3.366076866137037e+05, 1.233008155014230e+05, 2.891207504073188e+02, 5.731757298703122e-01, 4.841170451654631e-01, 1.933821378915792e+02, 2.785711339502337e+01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.468765674298149e+00, 2.938169821222229e+02, 4.231696918731532e+01, 3.333429958572054e+05, 1.213381236903895e+05, 2.877896068756284e+02, 5.942869922229109e-01, 4.408798528953317e-01, 2.000434700127531e+02, 2.881124601957798e+01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.454758518758026e+00, 2.987655354696973e+02, 4.299488699827428e+01, 3.306219124042765e+05, 1.197230564928889e+05, 2.866930942834258e+02, 6.112702171052570e-01, 4.053006699818681e-01, 2.053712225206717e+02, 2.955465559671057e+01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.442905252556892e+00, 3.029176815939535e+02, 4.347142265341117e+01, 3.283258513434578e+05, 1.183497395944151e+05, 2.857326293389949e+02, 6.258708581712114e-01, 3.750471342747672e-01, 2.099359476702785e+02, 3.012770421091607e+01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.432139658001882e+00, 3.063448732257060e+02, 4.379384221697467e+01, 3.262261622696907e+05, 1.171167577512138e+05, 2.848813476144168e+02, 6.386124315706495e-01, 3.478851148887468e-01, 2.139071224751347e+02, 3.057930975675637e+01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.422335390813885e+00, 3.093733659847120e+02, 4.402487216278546e+01, 3.243134232308387e+05, 1.159944209407258e+05, 2.840962035144108e+02, 6.502085867002126e-01, 3.231605543672629e-01, 2.175108402580654e+02, 3.095252529545347e+01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.413206216737834e+00, 3.120558279250876e+02, 4.417562269716037e+01, 3.225279980036659e+05, 1.149537567410189e+05, 2.833661534183541e+02, 6.608647038086926e-01, 3.002352036634873e-01, 2.208140781077370e+02, 3.125914829269072e+01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.404647341341740e+00, 3.144857809068087e+02, 4.425939904381629e+01, 3.208522424752004e+05, 1.139799684028460e+05, 2.826777175773142e+02, 6.708076079439694e-01, 2.787830972393909e-01, 2.238894928647409e+02, 3.150926053904681e+01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.396538660644588e+00, 3.167019902925248e+02, 4.428338628149158e+01, 3.192621276585638e+05, 1.130599046917150e+05, 2.820239542078522e+02, 6.801591888032618e-01, 2.585145194854553e-01, 2.267763859443371e+02, 3.170938802442611e+01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.388801282873091e+00, 3.187430010239232e+02, 4.425582118695456e+01, 3.177426823178739e+05, 1.121841145813109e+05, 2.813983851933960e+02, 6.890285295275502e-01, 2.392212686658663e-01, 2.295094373505486e+02, 3.186620125767747e+01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.381384426081723e+00, 3.206386933297744e+02, 4.418077605983813e+01, 3.162845270373779e+05, 1.113462570687969e+05, 2.807963205122908e+02, 6.974947519230316e-01, 2.207636554227234e-01, 2.321140207431332e+02, 3.198296956710034e+01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.374238159615713e+00, 3.224037779719299e+02, 4.406237319493707e+01, 3.148775928886456e+05, 1.105409442190558e+05, 2.802150851290824e+02, 7.056056153196542e-01, 2.030229860389096e-01, 2.346054617360398e+02, 3.206312740381079e+01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.367333943278232e+00, 3.240588941839777e+02, 4.390442017736866e+01, 3.135168555568284e+05, 1.097643652399064e+05, 2.796514789813419e+02, 7.134140749991200e-01, 1.859153105262941e-01, 2.370005482399091e+02, 3.210950799049590e+01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.360645510801386e+00, 3.256141396791797e+02, 4.370983733599611e+01, 3.121971322571776e+05, 1.090135717576915e+05, 2.791039105212510e+02, 7.209490700575663e-01, 1.693756775777099e-01, 2.393085760356503e+02, 3.212433877083247e+01
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.354144759629017e+00, 3.270819741227448e+02, 4.348114480178666e+01, 3.109130610877792e+05, 1.082852260486566e+05, 2.785700738775456e+02, 7.282481348495088e-01, 1.533305586835276e-01, 2.415413653502988e+02, 3.210967253877556e+01
