"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, 4.669949999371310e-03, -3.677125386303266e-05, 2.451088410713098e-05, 4.619902589690994e-08, 9.869108895252836e+00, -2.762954132445592e+00, -4.152914780458028e+00
1, 9.990000128750000e-01, -1.452537504052920e-04, -6.912310250695252e-04, -3.860891603987169e-06, 1.108306473918410e-05, 1.279325266763426e-08, -1.067926439080654e+00, 8.064918163490610e+00, 8.134684947335424e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 3.564974695837723e-05, -6.779973297039198e-06, 7.853687667680932e-06, 7.067018200877107e-09, -2.135443462193124e-01, 1.475428352289041e+00, 1.490801785722349e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 6.576225168774307e-04, -1.149679123201704e-05, 7.121629560519563e-06, 1.213988812700037e-08, -1.014053865931503e-01, 6.734503567333179e-01, 6.810303442186600e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 5.338083786672700e-04, -1.045396302911971e-05, 5.668682552245164e-06, 7.986372482048726e-09, -8.633206951968750e-02, 5.907463646102402e-01, 5.970202020838372e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 9.404502118089651e-04, -1.314011534590339e-05, 5.011422647438879e-06, 1.068793591893050e-08, -5.467833142929673e-02, 3.735456168754435e-01, 3.775248567891347e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 8.520718350994293e-04, -1.235131601740871e-05, 4.309382350601557e-06, 7.736315676275703e-09, -3.990190773939331e-02, 2.733620776190262e-01, 2.762577762617203e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.262335964077142e-03, -1.515006167851760e-05, 4.262551521560682e-06, 1.098134370443722e-08, -3.079629307307514e-02, 2.120403743083689e-01, 2.142642456390333e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.148972319076876e-03, -1.422724024716830e-05, 3.690376677695222e-06, 8.268415880605427e-09, -2.419090186138965e-02, 1.674197396940149e-01, 1.691577333231213e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.464986719821446e-03, -1.627538102285166e-05, 3.771232208112207e-06, 1.060602870187721e-08, -1.952512975961842e-02, 1.359482854437126e-01, 1.373427045927704e-01
