"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RefForce"      
1               , 0.02143487347   , 15.25228863     , 0.01429781306   , 0.3273206756    , 0.0             , 0.326930877     , 0.0             , 0.0             , 0.03368517206   , 0.0             , 0.0             , 0.0             , 616.0           , -13.01337403    , -13.19412918    , -13.55768661    , -12.44645516    , 0.448           
2               , 0.008183601109  , 29.5685411      , 0.002902950018  , 0.242098086     , 0.0             , 0.2419771457    , 0.0             , 0.0             , 0.002185451363  , 0.0             , 0.0             , 0.0             , 482.0           , -13.01040595    , -13.58035581    , -13.48391538    , -12.4548573     , 0.448           
3               , 0.003054349688  , 2.721907096     , 0.002872261383  , 0.008378307951  , 0.0             , 0.008313656089  , 0.0             , 0.0             , -0.0307358375   , 0.0             , 0.0             , 0.0             , 657.0           , -13.00985458    , -13.57030086    , -13.46542478    , -12.45730881    , 0.448           
4               , 0.002031754194  , 12.82356226     , 0.001462898556  , 0.02609244868   , 0.0             , 0.02605432642   , 0.0             , 0.0             , -0.03143330295  , 0.0             , 0.0             , 0.0             , 627.0           , -13.01083367    , -13.469047      , -13.39260356    , -12.45749626    , 0.448           
5               , 0.0006112870563 , 119.7821556     , -0.0009861722472, 0.07321719178   , 0.0             , 0.0732212813    , 0.0             , 0.0             , -0.03443198188  , 0.0             , 0.0             , 0.0             , 894.0           , -13.00450215    , -13.73293513    , -13.54040331    , -12.45262245    , 0.448           
6               , 0.0005968792223 , 129.8747123     , -0.001094342176 , 0.07751409057   , 0.0             , 0.07751951727   , 0.0             , 0.0             , -0.03513166088  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00680952    , -13.67902693    , -13.48393918    , -12.45538423    , 0.448           
7               , 0.0005718433818 , 122.6850042     , -0.0009587510334, 0.07015238705   , 0.0             , 0.07015660773   , 0.0             , 0.0             , -0.03551867567  , 0.0             , 0.0             , 0.0             , 767.0           , -13.00186023    , -13.71083297    , -13.52124008    , -12.45145516    , 0.448           
8               , 0.0005583355158 , 119.1127853     , -0.0008925940666, 0.0665012521    , 0.0             , 0.06650489844   , 0.0             , 0.0             , -0.03627851945  , 0.0             , 0.0             , 0.0             , 616.0           , -13.00301568    , -13.6415923     , -13.46478633    , -12.45094703    , 0.448           
9               , 0.0005579660328 , 114.3842168     , -0.0008344474153, 0.0638194916    , 0.0             , 0.06382250766   , 0.0             , 0.0             , -0.03712281366  , 0.0             , 0.0             , 0.0             , 568.0           , -13.00984701    , -13.64387709    , -13.48734564    , -12.45893523    , 0.448           
10              , 0.0005657789444 , 72.6675501      , -0.0003312478569, 0.04111632823   , 0.0             , 0.04111376979   , 0.0             , 0.0             , -0.04348128636  , 0.0             , 0.0             , 0.0             , 619.0           , -13.00314585    , -13.68502758    , -13.47191655    , -12.4516063     , 0.448           
