"PointID","x","y"
25, 9.853970408439640e-01, 9.702497616042374e-04
51, 9.695732593536380e-01, 1.606797375858259e-03
77, 9.526804089546200e-01, 1.840557863061826e-03
103, 9.349957108497620e-01, 1.618196337030167e-03
129, 9.168222546577450e-01, 9.188436163516050e-04
155, 8.983380794525150e-01, -1.223507325739314e-04
181, 8.797067403793331e-01, -1.468532712210665e-03
207, 8.610174655914310e-01, -3.070589081741110e-03
233, 8.422674536705020e-01, -4.864397283209736e-03
259, 8.235722184181210e-01, -6.851158740436629e-03
285, 8.049457669258120e-01, -8.994709646616358e-03
311, 7.863141298294070e-01, -1.123702806464484e-02
337, 7.678796052932740e-01, -1.361942425322169e-02
363, 7.495508193969730e-01, -1.608651673050182e-02
389, 7.313483357429500e-01, -1.862534039832620e-02
415, 7.132214307785030e-01, -2.120301724564406e-02
441, 6.951977014541630e-01, -2.381252626997864e-02
467, 6.773055195808410e-01, -2.644782558796712e-02
493, 6.594728827476500e-01, -2.907651852293486e-02
519, 6.418011188507080e-01, -3.171469819819069e-02
545, 6.243042349815370e-01, -3.435622684840833e-02
571, 6.065399646759030e-01, -3.686809633239169e-02
597, 5.888153314590450e-01, -3.932626162180095e-02
623, 5.713157057762150e-01, -4.177495270503425e-02
649, 5.538190603256230e-01, -4.414157754402667e-02
675, 5.363336801528930e-01, -4.641897916199700e-02
701, 5.188096761703490e-01, -4.858160826288919e-02
727, 5.012295246124270e-01, -5.061171912083652e-02
753, 4.835794866085050e-01, -5.249056395343155e-02
779, 4.658685922622680e-01, -5.420374936920823e-02
805, 4.480717480182650e-01, -5.571997491515071e-02
831, 4.301885962486270e-01, -5.700607244377166e-02
857, 4.122794568538670e-01, -5.805222459702789e-02
883, 3.944020271301270e-01, -5.883962359578539e-02
909, 3.766198158264160e-01, -5.932898191655497e-02
935, 3.590588271617890e-01, -5.954843275034494e-02
961, 3.418258726596830e-01, -5.949819759659125e-02
987, 3.249974250793460e-01, -5.924719124203939e-02
1013, 3.086399734020230e-01, -5.879689195447560e-02
1039, 2.927811741828920e-01, -5.819022549346896e-02
1065, 2.774220108985900e-01, -5.746519136553523e-02
1091, 2.625653147697450e-01, -5.664369044107725e-02
1117, 2.482267022132870e-01, -5.572950309503637e-02
1143, 2.344165146350860e-01, -5.472922792180128e-02
1169, 2.210974693298340e-01, -5.367365257831467e-02
1195, 2.082438766956330e-01, -5.258035718924962e-02
1221, 1.958884000778200e-01, -5.143574683325198e-02
1247, 1.840233504772190e-01, -5.024759833286031e-02
1273, 1.725961565971370e-01, -4.903886522917144e-02
1299, 1.616173982620240e-01, -4.780579422576028e-02
1325, 1.511152982711790e-01, -4.653881684491556e-02
1351, 1.410477757453920e-01, -4.525313615446581e-02
1377, 1.314679384231570e-01, -4.393252998010447e-02
1403, 1.222792565822600e-01, -4.260622316841156e-02
1429, 1.134960949420930e-01, -4.126852782887841e-02
1455, 1.051684617996220e-01, -3.990650073244754e-02
1481, 9.719923138618471e-02, -3.854370026092840e-02
1507, 8.964005112648010e-02, -3.716662408639543e-02
1533, 8.247101306915280e-02, -3.577956060269645e-02
