"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , 0.0420202       , 0.001           
1               , 0.0498065       , 0.001           
2               , 0.0554478       , 0.001           
3               , 0.0600783       , 0.001           
4               , 0.0640209       , 0.001           
5               , 0.0673246       , 0.001           
6               , 0.069911        , 0.001           
7               , 0.0716424       , 0.001           
8               , 0.0723756       , 0.001           
9               , 0.0720188       , 0.001           
10              , 0.0706017       , 0.001           
11              , 0.0683532       , 0.001           
12              , 0.0657665       , 0.001           
13              , 0.0636056       , 0.001           
14              , 0.0627977       , 0.001           
15              , 0.0642319       , 0.001           
16              , 0.0688673       , 0.001           
17              , 0.0795164       , 0.001           
18              , 0.116688        , 0.001           
19              , 0.0695444       , 0.001           
20              , 0.0781971       , 0.001           
21              , 0.071056        , 0.001           
22              , 0.0590378       , 0.001           
23              , 0.0484032       , 0.001           
24              , 0.0415072       , 0.001           
25              , 0.0374894       , 0.001           
26              , 0.0333941       , 0.001           
27              , 0.0258645       , 0.001           
28              , 0.0132436       , 0.001           
29              , -0.00254659     , 0.001           
30              , -0.0155246      , 0.001           
31              , -0.0180759      , 0.001           
32              , -0.00693775     , 0.001           
33              , 0.0101888       , 0.001           
34              , 0.0161867       , 0.001           
35              , 0.0013062       , 0.001           
36              , -0.0221447      , 0.001           
37              , -0.0321981      , 0.001           
