"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 9.472374888380368e-04, 1.582189408507809e-01, -3.046266623460352e-06, 2.905026256089282e-04, 2.811733395694773e-07, 4.937624177735297e-04, 3.275903839872463e-01, 8.730724701413871e-01, 8.864789180269506e-01
51, 9.695732593536380e-01, 1.492993745479987e-03, 1.223779943184448e-01, 1.143100685128093e-05, 2.624242230672567e-04, 9.724893286416963e-08, -5.560183045876875e-05, 9.134307706190006e-02, 9.485381410957607e-01, 9.502334223257362e-01
77, 9.526804089546200e-01, 1.628144521132325e-03, 9.817073414883083e-02, 2.101470730634789e-06, 2.762721131496479e-04, 1.229423665994193e-07, -1.638578121077131e-04, 3.075206677791829e-02, 5.268905105760164e-01, 5.267459171159750e-01
103, 9.349957108497620e-01, 1.336480605497638e-03, 8.433072165431238e-02, -5.365510272441562e-06, 2.801967130188216e-04, 1.420154779966473e-07, -1.967731470818111e-04, 1.723741741164639e-02, 4.358433567652025e-01, 4.351557696928993e-01
129, 9.168222546577450e-01, 5.825499856168263e-04, 7.464674582379296e-02, -1.080680041155825e-05, 2.791079092068220e-04, 1.300563886382488e-07, -2.226976034737783e-04, 7.951455273802754e-03, 3.975732305711541e-01, 3.966681200378679e-01
155, 8.983380794525150e-01, -5.122145984971163e-04, 6.734662041273028e-02, -1.506214348127051e-05, 2.749431544414278e-04, 1.148257918555514e-07, -2.395976408125752e-04, 1.878486783566130e-03, 3.547167694716601e-01, 3.537929629455815e-01
181, 8.797067403793331e-01, -1.911084538286552e-03, 6.130121260345990e-02, -1.844003702729822e-05, 2.685796259214084e-04, 1.013678662943617e-07, -2.506660073172907e-04, -2.502840753133353e-04, 3.028233997562235e-01, 3.018382950851456e-01
207, 8.610174655914310e-01, -3.561093366155218e-03, 5.615154104680094e-02, -2.074551008600573e-05, 2.616046342885737e-04, 8.851693473439831e-08, -2.588440744840537e-04, -9.878503094731353e-05, 2.410166448363950e-01, 2.399886235250241e-01
233, 8.422674536705020e-01, -5.395664864941273e-03, 5.150999356123221e-02, -2.222085804722617e-05, 2.504895301695907e-04, 6.630282600699378e-08, -2.645658957856964e-04, 1.901825957081789e-03, 1.935907004143958e-01, 1.923787841969339e-01
259, 8.235722184181210e-01, -7.414915848408696e-03, 4.686655110952748e-02, -2.347210794759239e-05, 2.429725279280327e-04, 7.095114595930860e-08, -2.725955459054875e-04, 6.727130524220178e-03, 1.412884609131075e-01, 1.396576275137877e-01
285, 8.049457669258120e-01, -9.582714423409607e-03, 4.280703486234975e-02, -2.380848172898559e-05, 2.335696140080195e-04, 4.234808410220653e-08, -2.782631815192677e-04, 9.948310443238892e-03, 7.966624517739142e-02, 7.793620756077739e-02
311, 7.863141298294070e-01, -1.184143227445305e-02, 3.979502641923478e-02, -2.485775894129648e-05, 2.277871631295044e-04, 4.446443067535058e-08, -2.784500311758882e-04, 1.470712353006975e-02, 5.693777064604877e-02, 5.466430110264200e-02
337, 7.678796052932740e-01, -1.423265549100707e-02, 3.667896588335983e-02, -2.495719791125233e-05, 2.180824679452474e-04, 3.375681419444969e-08, -2.816122319828810e-04, 1.621724114662422e-02, 2.966755295874397e-02, 2.728620151909170e-02
363, 7.495508193969730e-01, -1.670159141695238e-02, 3.416987265694883e-02, -2.502057000360148e-05, 2.104696471960742e-04, 2.354794063197037e-08, -2.825887469028898e-04, 1.852625420565546e-02, 1.095929785358123e-02, 8.344145966191759e-03
389, 7.313483357429500e-01, -1.923579195107663e-02, 3.186153114686067e-02, -2.609721942961198e-05, 2.141228910705742e-04, 3.118117501646499e-08, -2.842473237206925e-04, 1.820052649645753e-02, 2.361012560287249e-03, -1.927744695704788e-04
415, 7.132214307785030e-01, -2.180288493371777e-02, 2.895516724231709e-02, -2.331621388610728e-05, 1.898120195009576e-04, -8.243121535528658e-09, -2.830592092793347e-04, 1.574802090179875e-02, 1.717883251739752e-02, 1.478091949468723e-02
441, 6.951977014541630e-01, -2.439638210048017e-02, 2.586945093340715e-02, -2.238906431254084e-05, 1.815839699354112e-04, 7.747128067854232e-09, -2.859840939050025e-04, 1.781591759812218e-02, 1.852088074567386e-02, 1.577256089114110e-02
