"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , 0.231325        , 0.001           
1               , 0.181134        , 0.001           
2               , 0.0729291       , 0.001           
3               , -0.0726591      , 0.001           
4               , -0.245564       , 0.001           
5               , -0.438518       , 0.001           
6               , -0.644901       , 0.001           
7               , -0.857919       , 0.001           
8               , -1.07038        , 0.001           
9               , -1.27494        , 0.001           
10              , -1.46482        , 0.001           
11              , -1.63478        , 0.001           
12              , -1.78193        , 0.001           
13              , -1.90588        , 0.001           
14              , -2.00776        , 0.001           
15              , -2.08982        , 0.001           
16              , -2.16196        , 0.001           
17              , -2.29184        , 0.001           
18              , -3.09455        , 0.001           
19              , -1.70126        , 0.001           
20              , -0.416513       , 0.001           
21              , 0.484833        , 0.001           
22              , 1.04906         , 0.001           
23              , 1.39215         , 0.001           
24              , 1.60976         , 0.001           
25              , 1.76516         , 0.001           
26              , 1.89278         , 0.001           
27              , 2.00439         , 0.001           
28              , 2.0945          , 0.001           
29              , 2.14471         , 0.001           
30              , 2.12908         , 0.001           
31              , 2.02426         , 0.001           
32              , 1.82682         , 0.001           
33              , 1.57097         , 0.001           
34              , 1.31927         , 0.001           
35              , 1.09744         , 0.001           
36              , 0.838124        , 0.001           
37              , 0.477281        , 0.001           
