"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,           0,      -4.992313912,      -7.154172975,      -7.219305916,      -9.409822108,      -3.634805634
          0,           0,           1,      -5.001735979,      -7.267678559,      -6.975315321,      -9.612507538,      -3.904868746
          0,           0,           2,      -4.978771532,      -7.330811666,      -7.012852527,      -9.790346924,      -4.194918127
          0,           0,           3,      -4.967782832,      -7.356348161,      -7.106163499,      -9.917980547,      -4.432197688
          0,           0,           4,      -4.963283283,      -7.357800835,      -7.177875824,      -10.02166064,      -4.605289938
          0,           0,           5,      -4.955788429,      -7.349177686,      -7.239185543,      -10.10231246,      -4.724884708
          0,           0,           6,      -4.944691087,      -7.340111774,      -7.298698655,      -10.16614393,       -4.80976345
          0,           0,           7,      -4.935643196,      -7.336540282,      -7.356311087,      -10.22252358,      -4.873422596
          0,           0,           8,       -4.93381515,      -7.340991633,      -7.412708571,      -10.27386553,      -4.923441005
          0,           0,           9,       -4.94117667,      -7.353093545,      -7.467954412,      -10.31854977,      -4.964146009
          0,           0,          10,      -4.957067028,      -7.370625202,      -7.521208144,      -10.35474811,      -4.998298868
          0,           0,          11,      -4.979470368,      -7.390740736,      -7.571466809,      -10.38226845,      -5.027749599
          0,           0,          12,      -5.006033277,       -7.41106809,      -7.617484946,      -10.40260206,      -5.053703723
          0,           0,          13,      -5.034637745,       -7.43030418,      -7.657168271,      -10.41796731,      -5.076948553
          0,           0,          14,       -5.06346244,      -7.448024022,      -7.687625488,      -10.43050409,      -5.098055421
          0,           0,          15,      -5.090642391,      -7.463946279,      -7.706823695,      -10.44194003,       -5.11749355
          0,           0,          16,      -5.113948652,      -7.477307633,      -7.715814668,      -10.45345581,      -5.135656302
          0,           0,          17,      -5.131034853,       -7.48686159,      -7.718919066,      -10.46558126,      -5.152851582
          0,           0,          18,      -5.140397971,      -7.491520665,      -7.721462532,      -10.47816956,      -5.169299872
          0,           0,          19,      -5.142364347,      -7.491142204,      -7.727417694,      -10.49052768,      -5.185151364
          0,           0,          20,      -5.139101401,      -7.486798386,      -7.738434085,       -10.5017049,      -5.200512997
          0,           0,          21,       -5.13357742,       -7.48032804,      -7.753926764,      -10.51085726,      -5.215473093
          0,           0,          22,      -5.128367234,      -7.473583388,      -7.771630496,      -10.51755086,      -5.230116701
          0,           0,          23,      -5.125016691,      -7.467879299,      -7.788478265,      -10.52187697,      -5.244530735
          0,           0,          24,      -5.123996404,      -7.463819591,      -7.801783767,      -10.52434643,      -5.258801408
          0,           0,          25,      -5.124979457,      -7.461405342,      -7.810322653,      -10.52564671,      -5.273007592
          0,           0,          26,      -5.127227359,       -7.46027382,      -7.814628422,      -10.52639518,      -5.287213365
          0,           0,          27,      -5.129959184,      -7.459954081,      -7.816327918,      -10.52698656,       -5.30146199
          0,           0,          28,      -5.132615124,      -7.460063549,      -7.817128731,      -10.52756355,      -5.315772526
          0,           0,          29,      -5.134955086,       -7.46040184,      -7.818141134,      -10.52808568,      -5.330139316
          0,           0,          30,      -5.136996117,      -7.460938326,      -7.819722261,      -10.52844407,      -5.344534056
          0,           0,          31,      -5.138862597,      -7.461731115,      -7.821673674,      -10.52856485,      -5.358909801
          0,           0,          32,      -5.140647244,      -7.462834995,      -7.823566365,      -10.52846085,      -5.373206242
          0,           0,          33,      -5.142347351,      -7.464244829,       -7.82502581,      -10.52822229,      -5.387355601
