"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.330925638310161e-03, 1.526022468303946e-01, 1.367658530499553e-05, 2.823752276441382e-04, 2.730008155348326e-07, 3.843153660932819e-04, 3.910737917091449e-01, 1.090601228136247e+00, 1.124290188887388e+00
51, 9.695732593536380e-01, 3.233303813477370e-03, 1.192944050212038e-01, 3.096899545290481e-05, 2.593444321179686e-04, 6.163934472419709e-08, -1.381130625495182e-04, 1.365537295646524e-01, 9.484573402133899e-01, 9.569994191959199e-01
77, 9.526804089546200e-01, 4.354716447986463e-03, 9.505819153210321e-02, 9.793374767307368e-06, 2.728037920516546e-04, 9.569754910560684e-08, -2.123776955324315e-04, 3.407011900184807e-02, 7.423364674991358e-01, 7.429080071864511e-01
103, 9.349957108497620e-01, 3.997447582666696e-03, 8.154663830907986e-02, -9.859570962186528e-06, 2.762358209695843e-04, 1.186945925654198e-07, -2.231676727660944e-04, -2.781817260879809e-02, 6.584666964785533e-01, 6.590376996748398e-01
129, 9.168222546577450e-01, 2.586704469343590e-03, 7.176468537557106e-02, -1.989373577554780e-05, 2.749694784367035e-04, 9.312620119512698e-08, -2.532150980652570e-04, -4.599175236552898e-02, 6.671231236824495e-01, 6.685595528166778e-01
155, 8.983380794525150e-01, 6.966229405971562e-04, 6.431629141657404e-02, -2.455975607562522e-05, 2.710107767804891e-04, 6.420767508566510e-08, -2.936538508417985e-04, -6.168120678046428e-02, 6.870236422771279e-01, 6.896500529305277e-01
181, 8.797067403793331e-01, -1.492437561402186e-03, 5.828407288143955e-02, -2.733262354380827e-05, 2.650814788650294e-04, 3.933816982696082e-08, -3.321702639324908e-04, -7.330300368308133e-02, 7.064824489793675e-01, 7.101386563134950e-01
207, 8.610174655914310e-01, -3.916810839478537e-03, 5.321249070926391e-02, -2.904226499476282e-05, 2.586036153149985e-04, 1.588204489907842e-08, -3.664967777528394e-04, -8.498830603475617e-02, 7.352173930114413e-01, 7.399910329204553e-01
233, 8.422674536705020e-01, -6.511304874471936e-03, 4.837100866110522e-02, -2.943873788976823e-05, 2.462115349610152e-04, -1.922310247707406e-08, -3.969611338332360e-04, -9.303841294153152e-02, 7.522218694997738e-01, 7.578221859783134e-01
259, 8.235722184181210e-01, -9.258305210134973e-03, 4.313794776393902e-02, -2.990006282043963e-05, 2.400285502826476e-04, -1.366846605375582e-08, -4.293485287237714e-04, -8.306701068318285e-02, 6.624572584639588e-01, 6.674532212249406e-01
285, 8.049457669258120e-01, -1.210252895091970e-02, 3.777198245864412e-02, -2.872277911805125e-05, 2.303351782631883e-04, -4.881538126366117e-08, -4.589020348700154e-04, -3.546761665250407e-02, 3.166128968064760e-01, 3.183304069167674e-01
311, 7.863141298294070e-01, -1.497251683793877e-02, 3.385172759538219e-02, -2.784337937175493e-05, 2.188435992451085e-04, -6.044482271944932e-08, -4.752730432285380e-04, 3.548329978383312e-03, 8.978081032861755e-02, 8.815732874387482e-02
337, 7.678796052932740e-01, -1.789283124423093e-02, 3.053162304162008e-02, -3.116779149543376e-05, 2.396867586489670e-04, -1.282812452563833e-08, -4.912636888029105e-04, 1.027375284630380e-02, 3.534429255204560e-02, 3.329707432101971e-02
363, 7.495508193969730e-01, -2.080703489507267e-02, 2.674463722167134e-02, -2.906686389035844e-05, 2.263597735084981e-04, -5.213772360322392e-08, -4.963067820160940e-04, 5.639155056651242e-03, 5.913043477033701e-02, 5.751118942082850e-02
389, 7.313483357429500e-01, -2.370176866560685e-02, 2.309971915392379e-02, -2.327669569437721e-05, 1.890147064823905e-04, -7.847358250821115e-08, -4.931711409117679e-04, -4.686828698280813e-03, 1.250341169991602e-01, 1.242331078674194e-01
415, 7.132214307785030e-01, -2.654808948813361e-02, 2.111436039434214e-02, -2.161369340441033e-05, 1.797207460200166e-04, -1.248007047001407e-07, -4.896945711286686e-04, -1.317970565236811e-02, 1.578253908767902e-01, 1.579701439568800e-01
441, 6.951977014541630e-01, -2.934338569606499e-02, 1.920266932306082e-02, -2.154603978525931e-05, 1.815348901446032e-04, -7.105376257359267e-08, -4.910747579591044e-04, -8.695133822272350e-03, 1.742311278744882e-01, 1.735203694360750e-01
467, 6.773055195808410e-01, -3.208776955902473e-02, 1.698545974618028e-02, -1.894458572723799e-05, 1.709909346903109e-04, -1.265076368756311e-07, -4.899151111853367e-04, -6.641789747567367e-03, 1.124174767009899e-01, 1.121439077356344e-01
493, 6.594728827476500e-01, -3.475613121820125e-02, 1.805026613876463e-02, -1.861979837461903e-05, 1.628432893648937e-04, -1.257582204842100e-07, -4.668544375272579e-04, -1.171156244563316e-02, 1.614413263624320e-01, 1.614066438281577e-01
519, 6.418011188507080e-01, -3.737158578134647e-02, 1.576084715834714e-02, -1.584434012621584e-05, 1.492638735731674e-04, -1.171715993952058e-07, -4.731726372952896e-04, -9.364376852634250e-03, 1.708321818137966e-01, 1.703734707212567e-01
545, 6.243042349815370e-01, -3.993574764078004e-02, 1.156776296343871e-02, -1.289698018796194e-05, 1.437815508207569e-04, -1.363417887663881e-07, -4.973204841400785e-04, -5.230355301718571e-03, 2.654192299856359e-02, 2.701121364610660e-02
571, 6.065399646759030e-01, -4.231924764997710e-02, 1.117589774819330e-02, -1.183582404801223e-05, 1.419899718316885e-04, -1.643638975260484e-07, -4.946403351806668e-04, 2.357848178464919e-02, -1.406224445507386e-01, -1.424966221131243e-01
597, 5.888153314590450e-01, -4.460516850043922e-02, 1.376586037821512e-02, -1.279625787310704e-05, 1.443302813246422e-04, -1.298102765118450e-07, -4.761332745966046e-04, 2.877396996893347e-02, -9.116243999531827e-02, -9.408648595893900e-02
623, 5.713157057762150e-01, -4.684598508280051e-02, 1.420466990282222e-02, -1.387872852247961e-05, 1.627032742081980e-04, -1.090199588509658e-07, -4.777304178874767e-04, 3.045013089679302e-02, -1.961703336645917e-01, -1.984311172132801e-01
649, 5.538190603256230e-01, -4.897224431965541e-02, 1.340228704894908e-02, -1.111325186920071e-05, 1.447694150443174e-04, -1.481759849498108e-07, -4.714775624730318e-04, 4.061560033722877e-02, -3.370497894939739e-01, -3.394872656154815e-01
675, 5.363336801528930e-01, -5.098156068333273e-02, 9.425687182282805e-03, -5.975661100598062e-06, 1.076932132522726e-04, -1.483208326221085e-07, -4.767087329464740e-04, 5.407766899833657e-02, -4.481553075342208e-01, -4.513848818402212e-01
701, 5.188096761703490e-01, -5.285177628133887e-02, 3.397822510518036e-03, -1.809746833858563e-06, 8.866056549752490e-05, -1.911780464393891e-07, -5.030121375629595e-04, 7.928731654825998e-02, -7.913735653097835e-01, -7.953339822323803e-01
727, 5.012295246124270e-01, -5.456849503206685e-02, 3.100207067309960e-03, -5.720612181802968e-06, 1.365597016230952e-04, -1.284217221361472e-07, -4.983771446439839e-04, 8.025752409306369e-02, -1.003288845781800e+00, -1.006414352215606e+00
753, 4.835794866085050e-01, -5.611596985325320e-02, -3.909127185991283e-04, 2.140242870749876e-07, 7.513282706953539e-05, -1.834320896463660e-07, -4.886456522805589e-04, 8.288752733525959e-02, -1.085514569134195e+00, -1.088654780931395e+00
779, 4.658685922622680e-01, -5.748288834268557e-02, -3.945318931094018e-03, 1.905244546209022e-06, 7.045027901664957e-05, -1.857670964422852e-07, -4.909441843348631e-04, 7.626131419519705e-02, -1.241630874992491e+00, -1.243913073537803e+00
805, 4.480717480182650e-01, -5.864004565827596e-02, -6.616852462293408e-03, 3.214089533963069e-06, 6.410211983963144e-05, -1.837059894519879e-07, -4.882458709368810e-04, 7.222562450849973e-02, -1.386353208790347e+00, -1.388208315187070e+00
831, 4.301885962486270e-01, -5.955654649856324e-02, -8.485211749611161e-03, 4.337027420206870e-06, 5.706128455017523e-05, -1.806163581602404e-07, -4.796149557534463e-04, 5.889990920632479e-02, -1.464486737721850e+00, -1.465658499453617e+00
857, 4.122794568538670e-01, -6.022587845144890e-02, -9.700829709823167e-03, 5.179994328953330e-06, 4.996300641010370e-05, -1.774794215350783e-07, -4.667043669861267e-04, 3.996683975601227e-02, -1.478081615518034e+00, -1.478615126100418e+00
883, 3.944020271301270e-01, -6.063231072762996e-02, -1.059582931442073e-02, 5.889568410573464e-06, 4.279397844580769e-05, -1.728007125533505e-07, -4.514768356088966e-04, 2.661355130898071e-02, -1.493493471280582e+00, -1.493721872396883e+00
909, 3.766198158264160e-01, -6.073956622089722e-02, -1.076116641495544e-02, 6.175907701884286e-06, 3.569935165377876e-05, -1.673579139052820e-07, -4.339046679669693e-04, 5.587385773376959e-03, -1.444204255577457e+00, -1.444194392824003e+00
935, 3.590588271617890e-01, -6.057994907767110e-02, -1.019503831763009e-02, 6.094504364256798e-06, 2.863143145643001e-05, -1.606062435476058e-07, -4.134628258034718e-04, -1.311061737536225e-02, -1.341938297899967e+00, -1.341969791544017e+00
961, 3.418258726596830e-01, -6.015725416559006e-02, -9.556650424750582e-03, 5.745400784778125e-06, 2.136962877930977e-05, -1.549100642789018e-07, -3.938856174373270e-04, -2.162544739123588e-02, -1.204552491971227e+00, -1.204652786845364e+00
987, 3.249974250793460e-01, -5.954311730316789e-02, -1.030774602097624e-02, 6.284915000349583e-06, 2.538782729162025e-05, -1.222863076619223e-07, -3.823545969419035e-04, -3.064258367702381e-02, -1.211836193709199e+00, -1.212040895602690e+00
1013, 3.086399734020230e-01, -5.874133811176675e-02, -9.414200175905225e-03, 7.382875831009650e-06, 4.333269843165633e-05, -1.188173157700490e-07, -3.560344443810598e-04, -6.062183954595817e-02, -1.271667375100256e+00, -1.273084306283782e+00
1039, 2.927811741828920e-01, -5.779617264115484e-02, -6.782557328231700e-03, 5.267843485824918e-06, 2.488813026132856e-05, -1.022959799963596e-07, -3.091561191205068e-04, -5.398499149471832e-02, -1.066909441016168e+00, -1.068180391649573e+00
1065, 2.774220108985900e-01, -5.674626843779270e-02, -4.356144394408542e-03, 3.600428568303890e-06, 8.189614276216540e-06, -1.155961800035456e-07, -2.756106909015140e-04, -5.331221868378686e-02, -8.341571018638705e-01, -8.358304485375896e-01
1091, 2.625653147697450e-01, -5.561413982041159e-02, -4.072258620889266e-03, 5.787138315425274e-06, 3.126725316174731e-05, -5.501036709866237e-08, -2.687471203015809e-04, -5.067167449152005e-02, -7.583225424388257e-01, -7.599461825220041e-01
1117, 2.482267022132870e-01, -5.440438936890907e-02, -7.606857577872079e-03, 6.763050644875223e-06, 3.032876478272356e-05, -5.935181892082261e-08, -2.735118691179611e-04, -7.303743871120263e-02, -9.355904168936315e-01, -9.383870040269463e-01
1143, 2.344165146350860e-01, -5.312427312136625e-02, -8.836518679426043e-03, 2.519039405167383e-06, -6.277606962968487e-06, -1.106961787534804e-07, -2.463589521187826e-04, -8.772219996753002e-02, -9.150674953148423e-01, -9.192625876030159e-01
1169, 2.210974693298340e-01, -5.180424991624037e-02, -6.545897775223854e-03, 1.103829073649989e-06, -8.496532302707004e-06, -9.103290818545536e-08, -2.101225874081425e-04, -6.997865329116436e-02, -6.455323270199401e-01, -6.493000858550796e-01
1195, 2.082438766956330e-01, -5.046183204032616e-02, -7.866996348713679e-03, 1.617254108817602e-06, -9.228896642442989e-06, -5.985431085437451e-08, -2.099902370591960e-04, -5.966295852047557e-02, -6.125075890371323e-01, -6.153734446273277e-01
1221, 1.958884000778200e-01, -4.908447399950248e-02, -9.296464301477708e-03, 2.548095497284960e-06, -4.602401921494443e-06, -8.356325309351165e-08, -2.085507552108567e-04, -9.286080178302202e-02, -7.576067727968316e-01, -7.632544475004677e-01
1247, 1.840233504772190e-01, -4.768017646477728e-02, -7.505208305533250e-03, -2.937625951305057e-07, -1.681177373431534e-05, -7.932458910403032e-08, -1.788212183720212e-04, -8.159034636166537e-02, -6.203209702464733e-01, -6.256286723808393e-01
1273, 1.725961565971370e-01, -4.627132915880817e-02, -6.545204723952966e-03, 2.492951990979118e-06, 3.933631676739534e-06, -2.817953256985651e-08, -1.681551790917744e-04, -6.920637764201816e-02, -5.321073416370070e-01, -5.365849182871810e-01
1299, 1.616173982620240e-01, -4.485477141358531e-02, -7.680177747795068e-03, -1.741481245243257e-07, -1.674909211045968e-05, -7.598630467956116e-08, -1.633749669501668e-04, -8.190545661611483e-02, -5.440193612100716e-01, -5.500658126344621e-01
1325, 1.511152982711790e-01, -4.342172686692970e-02, -8.209077421182570e-03, -1.848852746086439e-06, -2.513065687556377e-05, -6.054201818317433e-08, -1.531482118714785e-04, -7.154466914330813e-02, -4.872563449664219e-01, -4.924678478358385e-01
1351, 1.410477757453920e-01, -4.198701882355249e-02, -8.653166677059124e-03, 4.984096992540604e-07, -1.060908897446821e-05, -4.077277691809259e-08, -1.493260938165531e-04, -8.128995151046900e-02, -5.218032459364820e-01, -5.280773291964523e-01
1377, 1.314679384231570e-01, -4.053540542511271e-02, -8.354179552178292e-03, -3.110412396232892e-06, -2.908411277413784e-05, -7.210028585324495e-08, -1.321304349800251e-04, -8.491725055964008e-02, -4.755891493678989e-01, -4.829738811102704e-01
1403, 1.222792565822600e-01, -3.909498501029773e-02, -7.878588300068479e-03, -3.247357864158820e-06, -2.774863800335891e-05, -4.648182424014056e-08, -1.217172614595190e-04, -6.595410267007909e-02, -3.778119639635150e-01, -3.834868265311261e-01
