"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,           0,      -4.256387672,      -6.315857766,      -6.595078107,      -8.352652897,      -2.745889079
          0,           0,           1,      -4.224580951,      -6.423915771,      -5.968613126,      -8.542519936,      -3.022868552
          0,           0,           2,      -4.181881648,      -6.447453298,      -5.938513366,      -8.730392324,      -3.338900876
          0,           0,           3,      -4.128456065,      -6.415455632,      -5.988600774,      -8.861058822,      -3.624142501
          0,           0,           4,      -4.043254269,      -6.364481136,      -6.050264767,      -8.934975492,      -3.858859241
          0,           0,           5,      -3.950317138,      -6.313854874,      -6.109889807,      -8.987011694,      -4.031331911
          0,           0,           6,       -3.87564153,      -6.274267107,      -6.168891051,      -9.039920543,      -4.144596405
          0,           0,           7,      -3.827852375,      -6.251137568,      -6.230918801,      -9.097764048,      -4.208657929
          0,           0,           8,      -3.806596846,      -6.245989094,      -6.297747482,      -9.156359843,      -4.237804536
          0,           0,           9,      -3.808796539,      -6.257778999,      -6.367219596,      -9.210495833,      -4.247475702
          0,           0,          10,       -3.83057731,      -6.283799745,      -6.434188349,      -9.256560074,      -4.248874423
          0,           0,          11,      -3.867383326,      -6.320022728,      -6.493244438,      -9.293502676,       -4.24804478
          0,           0,          12,      -3.913491675,      -6.361209238,      -6.541607795,      -9.322969341,      -4.247687343
          0,           0,          13,      -3.961710016,      -6.401396506,      -6.580260435,      -9.348157772,      -4.248770162
          0,           0,          14,      -4.004296224,      -6.435291236,      -6.612547079,      -9.372088635,      -4.251428972
          0,           0,          15,      -4.035660952,      -6.460148652,      -6.641891401,      -9.396519842,      -4.255433811
          0,           0,          16,      -4.054977865,      -6.476550119,      -6.670448137,      -9.421809874,      -4.260436247
          0,           0,          17,      -4.065677964,      -6.487241842,      -6.698931053,      -9.447329669,      -4.266098477
          0,           0,          18,      -4.072413198,      -6.495240849,      -6.727042652,      -9.472018623,      -4.272154181
          0,           0,          19,       -4.07867234,      -6.502680667,       -6.75402249,      -9.494869005,      -4.278429729
          0,           0,          20,      -4.086206095,      -6.510612727,       -6.77906817,      -9.515237076,      -4.284843171
          0,           0,          21,       -4.09543512,      -6.519274986,      -6.801542273,      -9.532943827,      -4.291391063
          0,           0,          22,      -4.106014477,      -6.528429209,      -6.821001674,      -9.548195941,        -4.2981286
          0,           0,          23,      -4.117255986,      -6.537617177,      -6.837160737,      -9.561413689,      -4.305146316
          0,           0,          24,      -4.128388402,      -6.546323596,      -6.849886912,      -9.573060272,      -4.312546115
          0,           0,          25,      -4.138705304,      -6.554074391,       -6.85924974,      -9.583528608,      -4.320419481
          0,           0,          26,      -4.147646491,      -6.560496947,      -6.865573485,      -9.593094315,      -4.328830469
          0,           0,          27,      -4.154839846,      -6.565355309,      -6.869430669,      -9.601916552,      -4.337805298
          0,           0,          28,      -4.160114844,      -6.568562627,      -6.871555013,      -9.610063607,      -4.347329207
          0,           0,          29,      -4.163490609,      -6.570170417,      -6.872704316,      -9.617546197,      -4.357350084
          0,           0,          30,      -4.165140617,      -6.570337619,      -6.873526182,      -9.624348635,      -4.367787452
          0,           0,          31,      -4.165339785,      -6.569287435,      -6.874467052,       -9.63045313,      -4.378544781
          0,           0,          32,      -4.164403818,      -6.567262302,       -6.87573884,      -9.635855778,      -4.389522817
          0,           0,          33,      -4.162632362,      -6.564486075,      -6.877337389,      -9.640574884,      -4.400631668
          0,           0,          34,      -4.160265894,      -6.561139039,      -6.879098019,      -9.644653258,      -4.411799819
          0,           0,          35,      -4.157462486,      -6.557347514,      -6.880771087,      -9.648156022,      -4.422978879
          0,           0,          36,      -4.154295928,      -6.553186786,      -6.882100173,      -9.651164864,       -4.43414379
          0,           0,          37,      -4.150772374,      -6.548693992,      -6.882886433,      -9.653769229,       -4.44528908
          0,           0,          38,      -4.146859222,       -6.54388638,      -6.883026499,      -9.656055195,      -4.456422403
          0,           0,          39,      -4.142517759,      -6.538779934,      -6.882519046,      -9.658093494,      -4.467556965
          0,           0,          40,       -4.13773086,      -6.533403955,      -6.881444553,      -9.659928784,      -4.478704347
          0,           0,          41,      -4.132519157,       -6.52780869,      -6.879929902,      -9.661572228,       -4.48986893
          0,           0,          42,      -4.126943027,      -6.522065335,      -6.878111334,      -9.662998745,      -4.501044611
          0,           0,          43,      -4.121092307,      -6.516259869,      -6.876106145,      -9.664149019,      -4.512213974
          0,           0,          44,      -4.115068913,      -6.510483592,      -6.873997904,      -9.664935213,      -4.523349651
          0,           0,          45,       -4.10896856,       -6.50482358,      -6.871834789,      -9.665248446,      -4.534417282
          0,           0,          46,      -4.102866576,      -6.499355538,      -6.869637298,      -9.664966011,      -4.545379328
          0,           0,          47,      -4.096810395,      -6.494140328,      -6.867410459,      -9.663956799,      -4.556198953
          0,           0,          48,      -4.090818866,      -6.489224177,      -6.865156086,      -9.662084436,      -4.566843316
          0,           0,          49,      -4.084886718,      -6.484641655,      -6.862882119,      -9.659208849,      -4.577285779
          0,           0,          50,      -4.078991814,        -6.4804201,      -6.860607789,      -9.655187868,      -4.587506836
          0,           0,          51,      -4.073102848,      -6.476584185,      -6.858364909,      -9.649880753,      -4.597493777
          0,           0,          52,      -4.067185781,      -6.473159635,      -6.856196532,       -9.64315509,      -4.607239364
          0,           0,          53,      -4.061208195,      -6.470175539,       -6.85415455,      -9.634897328,      -4.616739899
          0,           0,          54,      -4.055141496,      -6.467665119,      -6.852297479,      -9.625025846,      -4.625993116
          0,           0,          55,       -4.04896151,      -6.465665123,       -6.85068916,      -9.613504252,      -4.634996296
          0,           0,          56,      -4.042648264,       -6.46421418,      -6.849398426,       -9.60035208,      -4.643744876
          0,           0,          57,       -4.03618571,      -6.463350481,      -6.848499381,      -9.585650446,      -4.652231708
          0,           0,          58,       -4.02956196,      -6.463109159,      -6.848071687,      -9.569541356,      -4.660446971
          0,           0,          59,       -4.02277028,      -6.463519599,      -6.848200283,      -9.552220851,      -4.668378647
          0,           0,          60,      -4.015810776,      -6.464602885,      -6.848974122,      -9.533927427,      -4.676013397
          0,           0,          61,      -4.008692521,      -6.466369482,       -6.85048373,      -9.514927911,       -4.68333764
          0,           0,          62,      -4.001435693,      -6.468817185,      -6.852817621,      -9.495502982,      -4.690338652
          0,           0,          63,      -3.994073323,      -6.471929373,      -6.856057776,      -9.475934087,      -4.697005529
          0,           0,          64,      -3.986652301,      -6.475673556,      -6.860274459,      -9.456492839,      -4.703329919
          0,           0,          65,      -3.979233441,      -6.480000244,      -6.865520683,      -9.437433306,       -4.70930646
          0,           0,          66,      -3.971890558,      -6.484842224,      -6.871826614,      -9.418987133,      -4.714932938
          0,           0,          67,      -3.964708701,      -6.490114368,      -6.879194119,      -9.401361125,      -4.720210175
          0,           0,          68,      -3.957781759,      -6.495714217,      -6.887591661,       -9.38473678,       -4.72514174
          0,           0,          69,       -3.95120975,      -6.501523608,      -6.896949736,      -9.369271267,      -4.729733517
          0,           0,          70,      -3.945096082,       -6.50741168,      -6.907157126,      -9.355099367,      -4.733993234
          0,           0,          71,      -3.939545034,      -6.513239513,      -6.918058405,      -9.342335987,      -4.737929996
          0,           0,          72,      -3.934659607,      -6.518866523,      -6.929453389,      -9.331078948,      -4.741553873
          0,           0,          73,      -3.930539838,      -6.524158437,      -6.941099451,      -9.321411817,      -4.744875581
          0,           0,          74,       -3.92728155,      -6.528996345,      -6.952717844,      -9.313406625,      -4.747906254
          0,           0,          75,      -3.924975485,      -6.533285907,      -6.964005082,       -9.30712636,       -4.75065732
          0,           0,          76,      -3.923706685,      -6.536965543,      -6.974649973,      -9.302627168,      -4.753140449
          0,           0,          77,         -3.923554,      -6.540012358,      -6.984355835,      -9.299960191,      -4.755367555
          0,           0,          78,      -3.924589556,       -6.54244477,      -6.992865916,      -9.299172997,      -4.757350825
          0,           0,          79,      -3.926878019,      -6.544321331,      -6.999988422,      -9.300310527,      -4.759102743
          0,           0,          80,      -3.930475484,      -6.545735862,      -7.005616552,      -9.303415453,      -4.760636099
          0,           0,          81,      -3.935427792,      -6.546809652,      -7.009739267,      -9.308527792,       -4.76196396
          0,           0,          82,      -3.941768051,      -6.547681856,      -7.012440264,      -9.315683522,      -4.763099607
          0,           0,          83,      -3.949513119,      -6.548499374,      -7.013885474,      -9.324911838,      -4.764056433
          0,           0,          84,      -3.958658722,       -6.54940733,      -7.014302058,      -9.336230487,      -4.764847821
          0,           0,          85,      -3.969172901,      -6.550540938,      -7.013953419,      -9.349638364,      -4.765487005
          0,           0,          86,       -3.98098743,      -6.552019171,      -7.013114821,      -9.365104262,      -4.765986929
          0,           0,          87,      -3.993986993,      -6.553940329,      -7.012052957,      -9.382550216,      -4.766360121
          0,           0,          88,      -4.007996155,      -6.556379339,      -7.011011181,      -9.401827582,      -4.766618581
          0,           0,          89,      -4.022764788,      -6.559386536,      -7.010200559,       -9.42268394,      -4.766773702
          0,           0,          90,      -4.037953722,      -6.562987626,       -7.00979591,      -9.444719806,      -4.766836219
          0,           0,          91,      -4.053124111,      -6.567184562,      -7.009935559,      -9.467337275,      -4.766816181
          0,           0,          92,      -4.067736229,      -6.571957161,      -7.010723478,      -9.489689846,      -4.766722957
          0,           0,          93,      -4.081165357,      -6.577265329,      -7.012232705,      -9.510655402,      -4.766565266
          0,           0,          94,      -4.092742463,      -6.583051842,      -7.014509189,      -9.528870178,       -4.76635122
          0,           0,          95,      -4.101823033,       -6.58924568,      -7.017575516,      -9.542868029,      -4.766088377
          0,           0,          96,      -4.107877427,       -6.59576588,      -7.021434197,      -9.551342158,      -4.765783809
          0,           0,          97,      -4.110582854,      -6.602525889,      -7.026070377,      -9.553471319,      -4.765444161
          0,           0,          98,      -4.109888407,      -6.609438287,      -7.031453981,      -9.549169185,      -4.765075712
          0,           0,          99,      -4.106029029,       -6.61641972,      -7.037541393,      -9.539116214,      -4.764684423
          0,           0,         100,      -4.099482884,      -6.623395733,      -7.044276859,      -9.524554318,      -4.764275982
          0,           0,         101,      -4.090888596,      -6.630305169,      -7.051593799,      -9.506964164,      -4.763855842
          0,           0,         102,       -4.08095078,      -6.637103732,      -7.059416283,      -9.487777694,      -4.763429236
          0,           0,         103,      -4.070359123,      -6.643766378,      -7.067660858,      -9.468207223,      -4.763001204
          0,           0,         104,      -4.059733989,      -6.650288247,      -7.076238913,      -9.449188621,      -4.762576598
          0,           0,         105,      -4.049599351,      -6.656684039,      -7.085059643,      -9.431396887,      -4.762160089
          0,           0,         106,      -4.040376741,      -6.662985886,      -7.094033611,      -9.415292997,      -4.761756167
          0,           0,         107,      -4.032392171,      -6.669239939,      -7.103076725,      -9.401176088,      -4.761369142
          0,           0,         108,      -4.025889259,      -6.675502024,       -7.11211434,      -9.389229098,       -4.76100313
          0,           0,         109,      -4.021044034,      -6.681832759,      -7.121085049,      -9.379554415,      -4.760662045
          0,           0,         110,      -4.017978904,      -6.688292546,      -7.129943681,      -9.372200046,       -4.76034958
          0,           0,         111,      -4.016774656,      -6.694936782,      -7.138662989,      -9.367178115,      -4.760069181
          0,           0,         112,      -4.017480205,      -6.701811545,       -7.14723366,       -9.36447764,      -4.759824018
          0,           0,         113,      -4.020120173,       -6.70894994,      -7.155662374,      -9.364073197,      -4.759616954
          0,           0,         114,       -4.02470058,      -6.716369194,      -7.163967931,      -9.365930701,      -4.759450508
          0,           0,         115,      -4.031212886,      -6.724068533,      -7.172175623,      -9.370011139,      -4.759326826
          0,           0,         116,      -4.039636593,      -6.732027855,      -7.180310264,      -9.376272797,      -4.759247647
          0,           0,         117,      -4.049940481,      -6.740207189,      -7.188388403,      -9.384672288,      -4.759214287
          0,           0,         118,      -4.062082418,      -6.748546945,      -7.196410344,      -9.395164452,      -4.759227629
          0,           0,         119,      -4.076007533,      -6.756968981,      -7.204352661,      -9.407701029,      -4.759288122
          0,           0,         120,      -4.091644365,      -6.765378493,      -7.212161943,      -9.422227797,        -4.7593958
          0,           0,         121,       -4.10889841,      -6.773666766,        -7.2197506,      -9.438679646,      -4.759550313
          0,           0,         122,      -4.127642352,      -6.781714778,      -7.226995637,      -9.456972828,      -4.759750963
          0,           0,         123,      -4.147702173,      -6.789397605,      -7.233741343,      -9.476993356,      -4.759996758
          0,           0,         124,      -4.168838557,       -6.79658952,      -7.239806725,      -9.498580345,      -4.760286469
          0,           0,         125,       -4.19072372,      -6.803169576,      -7.244998106,      -9.521503125,      -4.760618688
          0,           0,         126,      -4.212915465,      -6.809027372,      -7.249126517,      -9.545431531,      -4.760991889
          0,           0,         127,      -4.234833497,      -6.814068656,       -7.25202841,      -9.569900636,      -4.761404482
          0,           0,         128,      -4.255747885,      -6.818220321,      -7.253586953,      -9.594275094,      -4.761854868
          0,           0,         129,       -4.27479511,      -6.821434409,      -7.253750363,       -9.61772519,      -4.762341474
          0,           0,         130,      -4.291039444,      -6.823690776,      -7.252543685,      -9.639235735,      -4.762862792
          0,           0,         131,      -4.303589798,      -6.824998175,      -7.250071599,      -9.657675156,      -4.763417396
          0,           0,         132,      -4.311759275,      -6.825393691,       -7.24651172,      -9.671944417,      -4.764003957
          0,           0,         133,      -4.315222592,      -6.824940592,       -7.24210005,      -9.681192328,      -4.764621242
          0,           0,         134,      -4.314108202,      -6.823724829,      -7.237111731,      -9.685032145,      -4.765268111
          0,           0,         135,      -4.308981324,      -6.821850499,      -7.231840686,      -9.683662999,      -4.765943498
          0,           0,         136,      -4.300725389,      -6.819434661,      -7.226581205,      -9.677831779,      -4.766646392
          0,           0,         137,      -4.290375019,      -6.816601879,      -7.221613354,      -9.668655445,      -4.767375808
          0,           0,         138,       -4.27896186,      -6.813478843,      -7.217192874,       -9.65739126,       -4.76813076
          0,           0,         139,      -4.267409723,       -6.81018934,      -7.213545265,       -9.64524344,      -4.768910225
          0,           0,         140,      -4.256484212,       -6.80684979,      -7.210863235,      -9.633247997,      -4.769713115
          0,           0,         141,      -4.246783214,      -6.803565457,      -7.209306454,      -9.622231173,       -4.77053824
          0,           0,         142,       -4.23875034,      -6.800427405,      -7.209002649,      -9.612815711,      -4.771384287
          0,           0,         143,      -4.232697066,      -6.797510212,        -7.2100492,      -9.605449265,      -4.772249787
          0,           0,         144,      -4.228824862,      -6.794870433,      -7.212514606,      -9.600437621,      -4.773133098
          0,           0,         145,      -4.227243004,      -6.792545776,      -7.216439361,       -9.59797373,      -4.774032394
          0,           0,         146,      -4.227980501,      -6.790554974,      -7.221835906,       -9.59815897,      -4.774945649
          0,           0,         147,      -4.230992001,      -6.788898338,       -7.22868743,      -9.601015843,       -4.77587064
          0,           0,         148,      -4.236158261,      -6.787558966,      -7.236945389,      -9.606492446,      -4.776804947
          0,           0,         149,       -4.24328229,      -6.786504606,        -7.2465257,      -9.614459436,      -4.777745965
          0,           0,         150,      -4.252082857,      -6.785690138,       -7.25730372,      -9.624700429,      -4.778690919
          0,           0,         151,      -4.262188114,      -6.785060623,      -7.269108377,      -9.636897413,      -4.779636879
          0,           0,         152,      -4.273133404,      -6.784554801,      -7.281716145,      -9.650614148,      -4.780580786
          0,           0,         153,      -4.284368913,      -6.784108898,      -7.294846156,      -9.665283005,      -4.781519478
          0,           0,         154,      -4.295283542,      -6.783660482,      -7.308158337,      -9.680204241,      -4.782449712
