"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.330649967348132e-03, -1.222298725229601e-02, 8.345621958650098e-06, 4.216926130737217e-05, 4.228466858174814e-08, -9.129564817321422e-05, -2.407236165645686e-01, -2.532430843105113e+00, -2.543806890586660e+00
51, 9.695732593536380e-01, 3.233173324627314e-03, -1.131095788936756e-02, 7.850252878060837e-06, 4.692130441150401e-05, 4.685440940243084e-08, -6.263687753481772e-05, -1.451033093620113e-01, -1.619345454825143e+00, -1.625826616330885e+00
77, 9.526804089546200e-01, 4.358475261563625e-03, -1.233223033474531e-02, 4.445609277952823e-06, 2.266329319623492e-05, 2.181464805997631e-08, -4.582387162446488e-05, -2.576285001664924e-02, -1.193157117686920e+00, -1.193434783264623e+00
103, 9.349957108497620e-01, 4.009480926499475e-03, -1.420545345015600e-02, 4.237794338332212e-06, -4.987028476182547e-06, -1.864395799986724e-09, -3.522005752272334e-05, 4.991770803230538e-02, -1.025933887734179e+00, -1.027147556169226e+00
129, 9.168222546577450e-01, 2.609145297704612e-03, -1.574664517677545e-02, 5.930377759500731e-06, -2.186198452610391e-05, -1.383201389839779e-08, -3.153395178421035e-05, 8.881774064373733e-02, -1.013385227577500e+00, -1.017268296454805e+00
155, 8.983380794525150e-01, 7.294390038418635e-04, -1.683103994731191e-02, 7.326550849499602e-06, -3.050092540959949e-05, -1.767662894569331e-08, -3.127206580474751e-05, 1.146203095732306e-01, -1.065374566508766e+00, -1.071520971097835e+00
181, 8.797067403793331e-01, -1.450406419851777e-03, -1.763204685980195e-02, 8.490589394787626e-06, -3.633731350805393e-05, -1.905444457491851e-08, -3.174552860456500e-05, 1.384187028246357e-01, -1.140983364748711e+00, -1.149346943650944e+00
207, 8.610174655914310e-01, -3.867086217499834e-03, -1.827380627118092e-02, 9.470596859463865e-06, -4.070864681442708e-05, -1.903391145480526e-08, -3.218934074995445e-05, 1.608564691542496e-01, -1.221163816606529e+00, -1.231710293613456e+00
233, 8.422674536705020e-01, -6.455404561634711e-03, -1.878166861572304e-02, 1.054879116749492e-05, -4.599405118593818e-05, -2.274151341461130e-08, -3.231654047262060e-05, 1.820417985710369e-01, -1.299548263304955e+00, -1.312233338044499e+00
259, 8.235722184181210e-01, -9.197657794226516e-03, -1.910411344592246e-02, 1.110538084805551e-05, -4.733968224599349e-05, -1.452735521160875e-08, -3.303581033596393e-05, 2.025547058461658e-01, -1.373321871547901e+00, -1.388176230604988e+00
285, 8.049457669258120e-01, -1.203839797142702e-02, -1.920082431586448e-02, 1.169111600993347e-05, -5.013712621726958e-05, -2.195871317412510e-08, -3.299648821706328e-05, 2.159192616097089e-01, -1.433557111957788e+00, -1.449721911517803e+00
311, 7.863141298294070e-01, -1.490599789315344e-02, -1.893158643335213e-02, 1.194918471792455e-05, -5.158736508138075e-05, -2.037633889023315e-08, -3.151768813331648e-05, 2.272441815662473e-01, -1.485683982308946e+00, -1.502955534174336e+00
337, 7.678796052932740e-01, -1.782490542144550e-02, -1.853930421158070e-02, 1.132713380393173e-05, -4.679580830853069e-05, -8.406661145791620e-09, -3.154291831030364e-05, 2.436346207492809e-01, -1.563047432719938e+00, -1.581915511676139e+00
363, 7.495508193969730e-01, -2.073855803954686e-02, -1.852099477850601e-02, 1.159737585709490e-05, -4.846171657762905e-05, -1.074297408986086e-08, -3.260983205917890e-05, 2.585145437516241e-01, -1.657625624387791e+00, -1.677655377460484e+00
