"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.286780241163891e-03, 2.742678043177553e-01, 2.201683417386362e+00, -2.217702738690646e+00
51, 9.695732593536380e-01, 3.036708738225523e-03, 1.340809725388571e-01, 2.533829442519433e+00, -2.536100306722528e+00
77, 9.526804089546200e-01, 4.059900648583319e-03, 5.300424981654697e-02, 4.924062935190830e-01, -4.933802986532873e-01
103, 9.349957108497620e-01, 3.738365100021067e-03, -1.630476140219857e-02, 2.985732148972798e-01, -2.990049481205088e-01
129, 9.168222546577450e-01, 2.438578352537049e-03, -3.246478027072082e-02, 3.651216736986712e-01, -3.665569047001743e-01
155, 8.983380794525150e-01, 6.762285487793348e-04, -3.152767244658445e-02, 3.012539398360836e-01, -3.028988641246385e-01
181, 8.797067403793331e-01, -1.389182115555017e-03, -3.051409009669971e-02, 2.541876679579195e-01, -2.560116412796646e-01
207, 8.610174655914310e-01, -3.697367715239055e-03, -3.087236813577513e-02, 2.397005906597350e-01, -2.416804616610277e-01
233, 8.422674536705020e-01, -6.183592237669161e-03, -2.398244013460575e-02, 1.817271816670322e-01, -1.833004727234992e-01
259, 8.235722184181210e-01, -8.832171676983662e-03, -3.168561004529291e-02, 1.965173066009986e-01, -1.990298068657464e-01
285, 8.049457669258120e-01, -1.158934312888040e-02, -3.068422650051936e-02, 2.058585308653169e-01, -2.081327855949960e-01
311, 7.863141298294070e-01, -1.438442616984328e-02, -1.023873345458638e-02, 7.268607723723358e-02, -7.339886896640019e-02
337, 7.678796052932740e-01, -1.724324340227622e-02, -2.988272351348755e-02, 1.790126265769955e-01, -1.814788141730536e-01
363, 7.495508193969730e-01, -2.010892439614807e-02, -2.690988762857355e-02, 1.635860075772605e-01, -1.657797817333908e-01
389, 7.313483357429500e-01, -2.296779721854808e-02, -2.273613040498441e-02, 1.556415487777016e-01, -1.572854488089470e-01
415, 7.132214307785030e-01, -2.579029024419519e-02, -1.974094197880417e-03, 3.338255184631022e-02, -3.329082562800727e-02
441, 6.951977014541630e-01, -2.857320730007359e-02, -2.379323424557762e-02, 1.144203293190692e-01, -1.167077680428441e-01
467, 6.773055195808410e-01, -3.131593946762014e-02, -3.257734809370080e-02, 2.113586648919497e-01, -2.138539458120680e-01
493, 6.594728827476500e-01, -3.399262841720782e-02, 2.235084977002819e-02, -1.019487287775973e-01, 1.041332437955460e-01
519, 6.418011188507080e-01, -3.662555527629657e-02, -1.536380404869913e-02, 7.670780464908614e-02, -7.813255764404613e-02
545, 6.243042349815370e-01, -3.921544043584833e-02, -5.288044665845388e-02, 3.325873414561413e-01, -3.367185642476580e-01
571, 6.065399646759030e-01, -4.163297748949284e-02, -9.127964402054780e-04, 7.003610563722656e-02, -6.953940712521890e-02
597, 5.888153314590450e-01, -4.396013578157776e-02, 2.012638404107122e-02, -1.613757844971933e-01, 1.626228693824343e-01
623, 5.713157057762150e-01, -4.624811823917768e-02, -3.475784782333731e-02, 2.095669368830202e-01, -2.122812213149627e-01
649, 5.538190603256230e-01, -4.842726392556987e-02, 1.250170909899424e-02, -3.721895885083622e-02, 3.845423005512763e-02
675, 5.363336801528930e-01, -5.049447251992076e-02, 5.035695748468767e-03, -6.516178248463139e-02, 6.531223114892339e-02
701, 5.188096761703490e-01, -5.242707516316911e-02, -4.626367208158773e-02, 3.773387141160102e-01, -3.801121947255228e-01
727, 5.012295246124270e-01, -5.421008037592275e-02, 9.132610164708118e-03, -3.120212211259646e-02, 3.193512914346994e-02
753, 4.835794866085050e-01, -5.582713429362741e-02, 6.895653684587293e-03, -8.902114970183043e-02, 8.928428061838015e-02
779, 4.658685922622680e-01, -5.726622094915796e-02, -1.374694395493076e-02, 1.419041696231121e-01, -1.425355071496417e-01
805, 4.480717480182650e-01, -5.849756202101298e-02, -2.396405353185283e-03, 5.905500486029643e-02, -5.908972204418998e-02
831, 4.301885962486270e-01, -5.948958017833574e-02, -1.235351885894476e-03, 2.449024797932483e-02, -2.452134106216643e-02
