"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.356318215084356e-03, -2.638378468255055e-02, -2.334337375454436e-01, 2.349139254884231e-01
51, 9.695732593536380e-01, 3.387253857292423e-03, -9.399266769711909e-03, -1.364692051114617e-01, 1.367135735298209e-01
77, 9.526804089546200e-01, 4.729478645746184e-03, -3.372931919121372e-03, -2.577599772388076e-02, 2.588080053498447e-02
103, 9.349957108497620e-01, 4.634065384958986e-03, 1.182097479654653e-03, -1.365032435354562e-02, 1.368326590689097e-02
129, 9.168222546577450e-01, 3.477164370156727e-03, 1.969291698631638e-03, -2.318453453289176e-02, 2.326738855389600e-02
155, 8.983380794525150e-01, 1.792203160696951e-03, 1.578599418973837e-03, -1.782272709250688e-02, 1.789118061328176e-02
181, 8.797067403793331e-01, -2.651268352289954e-04, 1.395742522510487e-03, -1.418828289594275e-02, 1.425390804641266e-02
207, 8.610174655914310e-01, -2.635671409735030e-03, 1.503499466421484e-03, -1.086179635329866e-02, 1.096520594936310e-02
233, 8.422674536705020e-01, -5.245073701678009e-03, 2.256910270911323e-03, -1.444238831615622e-02, 1.461675988625139e-02
259, 8.235722184181210e-01, -8.060323734290198e-03, 6.319607978320929e-04, -6.741184997285488e-03, 6.758649977395536e-03
285, 8.049457669258120e-01, -1.100971984639006e-02, 1.255218199780014e-03, -6.822430611304801e-03, 6.935000163294559e-03
311, 7.863141298294070e-01, -1.400810300412060e-02, 2.300640630250453e-03, -1.319231238570407e-02, 1.339065649605143e-02
337, 7.678796052932740e-01, -1.706743410070912e-02, 2.153685943631981e-03, -1.061361178666717e-02, 1.082315110018695e-02
363, 7.495508193969730e-01, -2.012393505458392e-02, 1.100190611973044e-03, -9.107597594767692e-03, 9.164515515635489e-03
389, 7.313483357429500e-01, -2.315904105133821e-02, -9.344774904252994e-04, 4.756395515013998e-03, -4.845164408076798e-03
415, 7.132214307785030e-01, -2.614146434021784e-02, 3.143325002679425e-03, -1.498833391788117e-02, 1.529908371375543e-02
441, 6.951977014541630e-01, -2.906736602876120e-02, 7.828739147591244e-04, -9.019383555235577e-03, 9.028920498002082e-03
467, 6.773055195808410e-01, -3.193683850216276e-02, -4.154192876631699e-04, 1.718464259046654e-03, -1.762295147241557e-03
493, 6.594728827476500e-01, -3.472617564195289e-02, 2.692343007416228e-03, -1.390632634875922e-02, 1.415489249194187e-02
519, 6.418011188507080e-01, -3.745907920756615e-02, 2.346665914609394e-04, -3.558183750003151e-03, 3.552476126070463e-03
545, 6.243042349815370e-01, -4.013845177563655e-02, -6.987390198856323e-05, -2.180823319425626e-04, 2.056107139591728e-04
571, 6.065399646759030e-01, -4.263911363517731e-02, 1.133516482054080e-03, -7.597574862905150e-03, 7.681221530016567e-03
597, 5.888153314590450e-01, -4.504323302105658e-02, 7.435051174280408e-04, -5.523534442461142e-03, 5.573349136273482e-03
623, 5.713157057762150e-01, -4.740283113680561e-02, 6.524813050029897e-04, -4.309710991593585e-03, 4.358006282550698e-03
649, 5.538190603256230e-01, -4.965039627328581e-02, 1.437942400820651e-04, -1.882985629662230e-03, 1.886259912707014e-03
675, 5.363336801528930e-01, -5.178360040855222e-02, 1.979010229884568e-04, -1.642331945863376e-03, 1.654207358935742e-03
701, 5.188096761703490e-01, -5.378039906368240e-02, 1.767432105031214e-03, -1.419322677198597e-02, 1.430126870303292e-02
727, 5.012295246124270e-01, -5.562593099916678e-02, 5.973051917201731e-04, -6.641512746175708e-03, 6.667985930342178e-03
753, 4.835794866085050e-01, -5.730359949771855e-02, -3.706211868578936e-04, 3.712371720457163e-03, -3.730641038076299e-03
779, 4.658685922622680e-01, -5.880072232533452e-02, 2.831762565470865e-04, -2.485077746648512e-03, 2.499606637113840e-03
805, 4.480717480182650e-01, -6.008663597179562e-02, 4.365274656621958e-04, -7.259705840018425e-03, 7.272724039147396e-03
831, 4.301885962486270e-01, -6.112847863000429e-02, 1.759332574947076e-04, -5.142197338022262e-03, 5.144471728772046e-03
857, 4.122794568538670e-01, -6.191707899824966e-02, 1.100915074940751e-04, -5.249097837994543e-03, 5.249622174065233e-03
883, 3.944020271301270e-01, -6.243392428208102e-02, 7.798877432819995e-05, -7.152094581377181e-03, 7.152206239584511e-03
909, 3.766198158264160e-01, -6.263990060576707e-02, -1.156523979342682e-04, -7.257557776115939e-03, 7.257081680497760e-03
935, 3.590588271617890e-01, -6.256432378205908e-02, -7.718069526407339e-05, -4.255168796331197e-03, 4.255798588029689e-03
961, 3.418258726596830e-01, -6.220856357615683e-02, -1.139390307150968e-04, -3.087730081769892e-03, 3.089682369879931e-03
987, 3.249974250793460e-01, -6.164252013348724e-02, 9.939900188840134e-05, 6.340844069524002e-03, -6.339693115530312e-03
1013, 3.086399734020230e-01, -6.086889576189596e-02, -1.745691478474214e-04, 4.950898801184433e-03, -4.934672682172341e-03
1039, 2.927811741828920e-01, -5.993150725560270e-02, -2.080231356946353e-04, -8.963546712307282e-03, 8.958509513464403e-03
1065, 2.774220108985900e-01, -5.886902720663972e-02, -1.738525403310926e-03, -2.951161454977429e-02, 2.955956987895555e-02
1091, 2.625653147697450e-01, -5.770435481502766e-02, 5.346274326198937e-04, 1.223637067513090e-02, -1.223861297283214e-02
1117, 2.482267022132870e-01, -5.644287263359041e-02, 1.895245799917908e-03, 2.920467590345979e-02, -2.925487925079137e-02
1143, 2.344165146350860e-01, -5.509297092084230e-02, -7.334996997918040e-04, -1.572477612876889e-02, 1.571837087346228e-02
1169, 2.210974693298340e-01, -5.368621916254275e-02, -3.579009670362441e-03, -3.704197960968345e-02, 3.721170887288149e-02
1195, 2.082438766956330e-01, -5.224134791354287e-02, 1.479007216258097e-03, 2.277646990572885e-02, -2.279453087679637e-02
1221, 1.958884000778200e-01, -5.074766318138024e-02, 4.122510075537931e-03, 3.110304825131365e-02, -3.137419056039747e-02
1247, 1.840233504772190e-01, -4.921489457186624e-02, -5.652116866639367e-03, -4.719671057650208e-02, 4.753033549113684e-02
1273, 1.725961565971370e-01, -4.766666152783517e-02, 1.839195127068905e-03, 1.829637705316682e-02, -1.837539826299106e-02
1299, 1.616173982620240e-01, -4.610174511878264e-02, -6.343499050614708e-04, -9.985510129384928e-03, 9.971775001213197e-03
1325, 1.511152982711790e-01, -4.451371110549304e-02, -2.721273913046501e-03, -1.345834114026651e-02, 1.371619092288098e-02
1351, 1.410477757453920e-01, -4.291873919129040e-02, 7.092947781509035e-03, 4.768331255228431e-02, -4.820307690102653e-02
1377, 1.314679384231570e-01, -4.130443952669476e-02, -5.879510381122473e-03, -4.401290165442685e-02, 4.437334321758193e-02
