"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-01, 1.362801328580959e-03, 4.671728034184796e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.064124561984296e+05, 0.000000000000000e+00, 4.256498247937183e+04, 3.173987791849666e+02, 0.000000000000000e+00, 2.788251941262850e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927106873453275e-05, 2.449984412652952e-03, -2.615367024753174e-04, -3.285170681397151e+02, 2.389900273595052e+00, 0.000000000000000e+00
51, 9.695732593536380e-01, 3.418065323605740e-03, 4.818565678643523e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.098466987770460e+05, 0.000000000000000e+00, 4.393867951081840e+04, 3.176578288994772e+02, 0.000000000000000e+00, 3.733989846573773e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928298945862847e-05, 1.643283574065627e-03, -1.717678948219897e-04, -9.328709213629291e+01, 1.990726316641385e+00, 0.000000000000000e+00
77, 9.526804089546200e-01, 4.782580527976858e-03, 4.873833090550098e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.111534252776735e+05, 0.000000000000000e+00, 4.446137011106939e+04, 3.177916886717517e+02, 0.000000000000000e+00, 4.093842348319753e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928914741683168e-05, 1.196977028699516e-03, -4.422607852766514e-05, -1.752310449103818e+01, 1.693498753932291e+00, 0.000000000000000e+00
103, 9.349957108497620e-01, 4.695641533307982e-03, 4.869698269322106e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.110693117972114e+05, 0.000000000000000e+00, 4.442772471888456e+04, 3.178208353173198e+02, 0.000000000000000e+00, 4.070678781681819e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.929048808139994e-05, 9.947352396806218e-04, 3.451878542854858e-05, 1.856485581937617e+00, 1.542818310727121e+00, 0.000000000000000e+00
129, 9.168222546577450e-01, 3.538249489262448e-03, 4.848725812799579e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.105854842576246e+05, 0.000000000000000e+00, 4.423419370304982e+04, 3.178050796627548e+02, 0.000000000000000e+00, 3.937440073772916e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928976337269772e-05, 9.464578601396967e-04, 7.349981314008858e-05, 6.695144989555175e-01, 1.506111562863345e+00, 0.000000000000000e+00
155, 8.983380794525150e-01, 1.848891380630072e-03, 4.823041287351854e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.099874556961872e+05, 0.000000000000000e+00, 4.399498227847486e+04, 3.177697210346486e+02, 0.000000000000000e+00, 3.772752150289720e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928813692647208e-05, 9.663711462074160e-04, 9.773709654540300e-05, -4.876955747525439e+00, 1.521100897924761e+00, 0.000000000000000e+00
181, 8.797067403793331e-01, -2.155490555285674e-04, 4.791300465056077e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.092454817815391e+05, 0.000000000000000e+00, 4.369819271261565e+04, 3.177169716413509e+02, 0.000000000000000e+00, 3.568423877090898e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928571036356265e-05, 1.011196318574525e-03, 1.204308487750763e-04, -9.575295226733397e+00, 1.553542017829383e+00, 0.000000000000000e+00
207, 8.610174655914310e-01, -2.595896561668963e-03, 4.756964134457576e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.084397439588080e+05, 0.000000000000000e+00, 4.337589758352320e+04, 3.176500610073290e+02, 0.000000000000000e+00, 3.346535998394069e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928263207247435e-05, 1.068677854157524e-03, 1.427754334290688e-04, -1.379415503906133e+01, 1.594099279115340e+00, 0.000000000000000e+00
233, 8.422674536705020e-01, -5.217440286204918e-03, 4.719162610397730e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.075512826579999e+05, 0.000000000000000e+00, 4.302051306319994e+04, 3.175711110795711e+02, 0.000000000000000e+00, 3.101867338466551e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927899948905860e-05, 1.137833238322019e-03, 1.656192913041342e-04, -1.820436636297944e+01, 1.640914507885399e+00, 0.000000000000000e+00
259, 8.235722184181210e-01, -8.046304486733111e-03, 4.675783322555614e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.065323940710333e+05, 0.000000000000000e+00, 4.261295762841329e+04, 3.174809315491606e+02, 0.000000000000000e+00, 2.821280997832678e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927484967129336e-05, 1.222991052430519e-03, 1.898115967326716e-04, -2.385226796643314e+01, 1.695606941900426e+00, 0.000000000000000e+00
285, 8.049457669258120e-01, -1.100986938017709e-02, 4.633375966333487e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.055347848495068e+05, 0.000000000000000e+00, 4.221391393980269e+04, 3.173864809738492e+02, 0.000000000000000e+00, 2.546554669133602e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927050268655446e-05, 1.317886156596918e-03, 2.113797535798121e-04, -3.110918659892405e+01, 1.752440849654724e+00, 0.000000000000000e+00
311, 7.863141298294070e-01, -1.402224219980069e-02, 4.589479006293988e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.045027182991961e+05, 0.000000000000000e+00, 4.180108731967843e+04, 3.172886496526769e+02, 0.000000000000000e+00, 2.262339318852349e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.926599943216944e-05, 1.415100226703047e-03, 2.323026623405805e-04, -3.903616640503743e+01, 1.808169911290652e+00, 0.000000000000000e+00
337, 7.678796052932740e-01, -1.709464547412631e-02, 4.542703542946877e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.034042515685628e+05, 0.000000000000000e+00, 4.136170062742512e+04, 3.171862384059108e+02, 0.000000000000000e+00, 1.959838374000228e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.926128462453405e-05, 1.521222759029070e-03, 2.540970867750823e-04, -4.872138308711487e+01, 1.864468741550517e+00, 0.000000000000000e+00
363, 7.495508193969730e-01, -2.016299313561480e-02, 4.496348421376111e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.023160030395413e+05, 0.000000000000000e+00, 4.092640121581649e+04, 3.170837206146527e+02, 0.000000000000000e+00, 1.660151365661642e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.925656415791968e-05, 1.632572632839130e-03, 2.732267823434082e-04, -6.081928451129487e+01, 1.920393932426859e+00, 0.000000000000000e+00
389, 7.313483357429500e-01, -2.320850591339919e-02, 4.450636418658919e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.012435739184729e+05, 0.000000000000000e+00, 4.049742956738915e+04, 3.169827922519011e+02, 0.000000000000000e+00, 1.364820780434830e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.925191613996574e-05, 1.742218786362349e-03, 2.895048624176332e-04, -7.406165551880456e+01, 1.972467665300209e+00, 0.000000000000000e+00
415, 7.132214307785030e-01, -2.619985528865525e-02, 4.407199840489020e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.002239204268790e+05, 0.000000000000000e+00, 4.008956817075161e+04, 3.168830283878559e+02, 0.000000000000000e+00, 1.084023796760065e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.924732103122645e-05, 1.848352298970837e-03, 3.029254546118080e-04, -8.735856374434137e+01, 2.018905695407388e+00, 0.000000000000000e+00
441, 6.951977014541630e-01, -2.913321373697454e-02, 4.363147679025129e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.919194996591371e+04, 0.000000000000000e+00, 3.967677998636547e+04, 3.167866357803715e+02, 0.000000000000000e+00, 7.998349080155458e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.924288052277242e-05, 1.946074154836663e-03, 3.147506686435335e-04, -1.008447641128888e+02, 2.059946461382419e+00, 0.000000000000000e+00
467, 6.773055195808410e-01, -3.200875883753089e-02, 4.322319222877826e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.823441850224545e+04, 0.000000000000000e+00, 3.929376740089817e+04, 3.166920614250224e+02, 0.000000000000000e+00, 5.361453811435874e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.923852312646696e-05, 2.039816620059254e-03, 3.237302140206573e-04, -1.143848981431885e+02, 2.096543833345335e+00, 0.000000000000000e+00
493, 6.594728827476500e-01, -3.480294065849199e-02, 4.281128985978153e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.727070336229246e+04, 0.000000000000000e+00, 3.890828134491698e+04, 3.166023105634488e+02, 0.000000000000000e+00, 2.707529643555032e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.923438737188960e-05, 2.123604000680823e-03, 3.308122089194180e-04, -1.282737106056810e+02, 2.126489680518963e+00, 0.000000000000000e+00
519, 6.418011188507080e-01, -3.753958719730509e-02, 4.227421329745744e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.601773375304957e+04, 0.000000000000000e+00, 3.840709350121982e+04, 3.164945629360477e+02, 0.000000000000000e+00, -7.429571130940112e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.922942155399300e-05, 2.229697100561552e-03, 3.435542216487699e-04, -1.472919618263536e+02, 2.164905428020399e+00, 0.000000000000000e+00
545, 6.243042349815370e-01, -4.022176521842161e-02, 4.182672796024586e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.496993627515755e+04, 0.000000000000000e+00, 3.798797451006301e+04, 3.163898856291981e+02, 0.000000000000000e+00, -3.628431185606647e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.922459643941534e-05, 2.343813472999178e-03, 3.446416372577033e-04, -1.703303356432705e+02, 2.205174840125933e+00, 0.000000000000000e+00
571, 6.065399646759030e-01, -4.272449719394002e-02, 4.153751480916223e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.428191698351719e+04, 0.000000000000000e+00, 3.771276679340687e+04, 3.162847349020360e+02, 0.000000000000000e+00, -5.523131134122226e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.921974870829170e-05, 2.439754612133844e-03, 3.374284173896596e-04, -1.838738765035960e+02, 2.239384297355191e+00, 0.000000000000000e+00
597, 5.888153314590450e-01, -4.513003119358677e-02, 4.115040731617065e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.336969366356729e+04, 0.000000000000000e+00, 3.734787746542691e+04, 3.161710723712825e+02, 0.000000000000000e+00, -8.035254701505060e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.921450766455202e-05, 2.520162206815976e-03, 3.409896243473559e-04, -1.909245745085232e+02, 2.263982706976066e+00, 0.000000000000000e+00
623, 5.713157057762150e-01, -4.749050264296769e-02, 4.069871938000824e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.230783099893025e+04, 0.000000000000000e+00, 3.692313239957209e+04, 3.160444287059076e+02, 0.000000000000000e+00, -1.095946214810395e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920866695695173e-05, 2.621588282287092e-03, 3.452240417389252e-04, -2.053735217780811e+02, 2.295876457163326e+00, 0.000000000000000e+00
649, 5.538190603256230e-01, -4.973851767794472e-02, 4.024127266129547e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.123393877086599e+04, 0.000000000000000e+00, 3.649357550834639e+04, 3.159184967363574e+02, 0.000000000000000e+00, -1.391679717336688e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920285792578377e-05, 2.737302435815575e-03, 3.428334310610674e-04, -2.272950400042418e+02, 2.331163652997798e+00, 0.000000000000000e+00
675, 5.363336801528930e-01, -5.187182628225213e-02, 3.976906585270540e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.012683727323222e+04, 0.000000000000000e+00, 3.605073490929288e+04, 3.157905123640803e+02, 0.000000000000000e+00, -1.696558545017106e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919695304883929e-05, 2.862023942039813e-03, 3.376221396808763e-04, -2.533916311442396e+02, 2.368156096294508e+00, 0.000000000000000e+00
701, 5.188096761703490e-01, -5.386844231407098e-02, 3.931005008185526e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.905032484651863e+04, 0.000000000000000e+00, 3.562012993860745e+04, 3.156619591104661e+02, 0.000000000000000e+00, -1.993013610195246e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.919102073532294e-05, 2.989250709699075e-03, 3.271365280977367e-04, -2.822847221994076e+02, 2.405602234393430e+00, 0.000000000000000e+00
727, 5.012295246124270e-01, -5.571354204334566e-02, 3.886266062481422e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.800141375517065e+04, 0.000000000000000e+00, 3.520056550206825e+04, 3.155349392673918e+02, 0.000000000000000e+00, -2.281867689567963e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.918515801191792e-05, 3.120521900718694e-03, 3.119712361291367e-04, -3.141222219084249e+02, 2.441931991941221e+00, 0.000000000000000e+00
753, 4.835794866085050e-01, -5.739054731328312e-02, 3.841627022504844e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.695712096602020e+04, 0.000000000000000e+00, 3.478284838640807e+04, 3.154135100374587e+02, 0.000000000000000e+00, -2.569449959117583e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.917955223914078e-05, 3.254247193599895e-03, 2.920311137140355e-04, -3.506899238817307e+02, 2.478440942584640e+00, 0.000000000000000e+00
