"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.357895650083408e-03, -1.612932038562401e-02, 8.277249728359969e-06, 3.548836409249425e-05, 3.412013395787888e-08, -1.021117641888618e-04, -2.615256167447196e-01, -2.576804740727843e+00, -2.590016578247828e+00
51, 9.695732593536380e-01, 3.394729356442716e-03, -1.368416564143814e-02, 8.580448665104161e-06, 5.035525591751718e-05, 5.077517088989457e-08, -6.221437235944980e-05, -1.662957064524494e-01, -1.659866028660259e+00, -1.668166818233242e+00
77, 9.526804089546200e-01, 4.742290971051497e-03, -1.361074129032348e-02, 4.782492143763894e-06, 2.678230932106746e-05, 2.698574169370092e-08, -4.247490271087368e-05, -4.296566625314793e-02, -1.228769488485751e+00, -1.229519397865804e+00
103, 9.349957108497620e-01, 4.648788200817561e-03, -1.497419368956853e-02, 3.955891916109000e-06, -8.145850735376903e-07, 1.725415067273283e-09, -3.134144114856559e-05, 3.648507025143257e-02, -1.036611440292509e+00, -1.037253262388950e+00
129, 9.168222546577450e-01, 3.491593615210003e-03, -1.626774773921910e-02, 5.324356921187886e-06, -1.847017445743001e-05, -1.111683088300462e-08, -2.627894724051407e-05, 7.525244562175994e-02, -9.937253645925632e-01, -9.965689708582129e-01
155, 8.983380794525150e-01, 1.805405556214603e-03, -1.727463623732466e-02, 6.780151429356484e-06, -2.852363164198101e-05, -1.615023932478970e-08, -2.447155221042987e-05, 1.004576825766257e-01, -1.014708291256272e+00, -1.019667075958322e+00
181, 8.797067403793331e-01, -2.537728915201402e-04, -1.810622529226448e-02, 8.203309937506279e-06, -3.605241348230949e-05, -1.881998723809727e-08, -2.358277810130914e-05, 1.242366370472384e-01, -1.063746328381072e+00, -1.070974636215698e+00
207, 8.610174655914310e-01, -2.626776670346361e-03, -1.884061800612553e-02, 9.524571828188905e-06, -4.204269921980609e-05, -1.982350579201522e-08, -2.294071746941302e-05, 1.475397775477785e-01, -1.125269622662594e+00, -1.134898457901599e+00
233, 8.422674536705020e-01, -5.239166055339698e-03, -1.948885917523132e-02, 1.092319532046955e-05, -4.843162260366177e-05, -2.340558681300637e-08, -2.234537390049638e-05, 1.706581872543067e-01, -1.195592211603253e+00, -1.207707564948631e+00
259, 8.235722184181210e-01, -8.057727492678680e-03, -1.995422487323984e-02, 1.178129508114649e-05, -5.087458989739046e-05, -1.630115168580315e-08, -2.238136886144175e-05, 1.956869324290481e-01, -1.282994235666149e+00, -1.297829107487648e+00
285, 8.049457669258120e-01, -1.101054445914637e-02, -2.020908386155002e-02, 1.256271070738346e-05, -5.415207878439728e-05, -2.166906456300377e-08, -2.204792747400365e-05, 2.162100956173352e-01, -1.373746662740958e+00, -1.390653017179682e+00
311, 7.863141298294070e-01, -1.401228704609322e-02, -2.000125487606765e-02, 1.293350879690826e-05, -5.581365698926704e-05, -1.982872273677960e-08, -2.024211693164009e-05, 2.285782022301800e-01, -1.423249494086547e+00, -1.441481648034669e+00
