"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -7.584203479,      -5.188258023,      -5.852325078,      -2.078023693,      -8.995023681,       14525.13454,     0.01199436319,      0.8239998877,                 0,                 0,                 0,      0.0917713315,    -0.02777734687,      0.8236189038,                 0,       68.69892753,    0.005701311134
          0,           0,           1,      -7.639988088,      -5.248916747,      -5.495261158,      -2.134123017,      -9.093306304,       14525.13454,     0.01199439804,      0.8239999967,                 0,                 0,                 0,     0.09177127078,    -0.02777731732,      0.8236190143,                 0,         68.698737,    0.005701311134
          0,           0,           2,      -7.698611176,      -5.305075217,      -5.342542921,      -2.193285089,      -9.219938595,       14525.13454,     0.01199441901,      0.8240000236,                 0,                 0,                 0,     0.09177121792,    -0.02777729767,      0.8236190422,                 0,       68.69861914,    0.005701311134
          0,           0,           3,      -7.742992665,      -5.334869525,      -5.270346003,      -2.239669647,      -9.373503983,       14525.13454,     0.01199442863,      0.8240000027,                 0,                 0,                 0,     0.09177117758,    -0.02777728706,      0.8236190218,                 0,       68.69856229,    0.005701311134
          0,           0,           4,      -7.773567995,      -5.340646732,        -5.2291707,      -2.275059982,      -9.536201592,       14525.13454,     0.01199443087,      0.8239999658,                 0,                 0,                 0,     0.09177115099,    -0.02777728305,      0.8236189851,                 0,       68.69854643,    0.005701311134
          0,           0,           5,      -7.792062677,      -5.335050286,       -5.20729022,      -2.301821901,       -9.65122224,       14525.13454,     0.01199442984,      0.8239999337,                 0,                 0,                 0,     0.09177113655,    -0.02777728253,       0.823618953,                 0,       68.69854966,    0.005701311134
          0,           0,           6,      -7.800419535,      -5.328011347,      -5.200307391,      -2.321157485,      -9.672625756,       14525.13454,     0.01199442885,      0.8239999154,                 0,                 0,                 0,     0.09177113136,    -0.02777728263,      0.8236189346,                 0,       68.69855378,    0.005701311134
          0,           0,           7,      -7.801495956,      -5.323827602,      -5.204769953,      -2.334089374,      -9.645463332,       14525.13454,     0.01199442998,      0.8239999118,                 0,                 0,                 0,     0.09177113268,    -0.02777728133,      0.8236189311,                 0,       68.69854701,    0.005701311134
          0,           0,           8,      -7.798030066,      -5.323075933,       -5.21723962,        -2.3414203,      -9.612491949,       14525.13454,     0.01199443416,      0.8239999206,                 0,                 0,                 0,     0.09177113867,    -0.02777727757,      0.8236189401,                 0,       68.69852379,    0.005701311134
          0,           0,           9,      -7.791788662,      -5.324949603,      -5.234476719,      -2.343683244,      -9.579584769,       14525.13454,     0.01199444156,      0.8239999383,                 0,                 0,                 0,      0.0917711484,    -0.02777727104,      0.8236189581,                 0,       68.69848288,    0.005701311134
          0,           0,          10,      -7.783650102,      -5.328629934,      -5.253974264,      -2.341466802,      -9.544241642,       14525.13454,     0.01199445194,      0.8239999621,                 0,                 0,                 0,     0.09177116147,    -0.02777726182,      0.8236189824,                 0,       68.69842541,    0.005701311134
          0,           0,          11,      -7.774132827,      -5.333717331,      -5.274458719,      -2.335709352,      -9.509002563,       14525.13454,     0.01199446491,      0.8239999897,                 0,                 0,                 0,     0.09177117757,     -0.0277772502,      0.8236190106,                 0,       68.69835345,    0.005701311134
          0,           0,          12,      -7.763757546,       -5.34013653,      -5.295879573,      -2.327563936,      -9.480189887,       14525.13454,     0.01199448002,      0.8240000191,                 0,                 0,                 0,     0.09177119617,    -0.02777723652,      0.8236190407,                 0,       68.69826936,    0.005701311134
          0,           0,          13,      -7.753085431,      -5.347892207,      -5.318669716,      -2.318001308,      -9.463343405,       14525.13454,      0.0119944968,      0.8240000482,                 0,                 0,                 0,     0.09177121643,    -0.02777722117,      0.8236190705,                 0,       68.69817569,    0.005701311134
          0,           0,          14,      -7.742608147,      -5.356862146,      -5.342604686,       -2.30757678,      -9.461379973,       14525.13454,     0.01199451474,      0.8240000748,                 0,                 0,                 0,     0.09177123725,    -0.02777720453,       0.823619098,                 0,       68.69807515,    0.005701311134
          0,           0,          15,       -7.73268022,       -5.36666863,      -5.365880877,      -2.296540096,      -9.474704161,       14525.13454,     0.01199453331,       0.824000097,                 0,                 0,                 0,     0.09177125741,    -0.02777718705,      0.8236191211,                 0,        68.6979706,    0.005701311134
          0,           0,          16,      -7.723547366,      -5.376636192,      -5.385035063,      -2.285144048,      -9.501287606,       14525.13454,     0.01199455199,      0.8240001132,                 0,                 0,                 0,     0.09177127567,    -0.02777716917,      0.8236191381,                 0,       68.69786499,    0.005701311134
          0,           0,          17,      -7.715419067,      -5.385863927,      -5.396189804,      -2.273892776,      -9.535877041,       14525.13454,     0.01199457024,      0.8240001219,                 0,                 0,                 0,     0.09177129095,    -0.02777715136,      0.8236191477,                 0,       68.69776117,    0.005701311134
          0,           0,          18,      -7.708514795,      -5.393425492,      -5.397284117,      -2.263567949,      -9.568852588,       14525.13454,     0.01199458761,      0.8240001225,                 0,                 0,                 0,      0.0917713024,    -0.02777713405,      0.8236191492,                 0,       68.69766177,    0.005701311134
          0,           0,          19,      -7.703051292,       -5.39863684,      -5.389526904,      -2.255053489,      -9.587731911,       14525.13454,     0.01199460368,      0.8240001147,                 0,                 0,                 0,     0.09177130943,    -0.02777711761,      0.8236191421,                 0,       68.69756904,    0.005701311134
          0,           0,          20,      -7.699185772,      -5.401261167,      -5.376621065,      -2.249095046,      -9.584697768,       14525.13454,     0.01199461817,      0.8240000987,                 0,                 0,                 0,     0.09177131176,    -0.02777710238,      0.8236191268,                 0,       68.69748476,    0.005701311134
          0,           0,          21,      -7.696954503,      -5.401539176,      -5.362720509,      -2.246119581,      -9.563554661,       14525.13454,     0.01199463084,      0.8240000751,                 0,                 0,                 0,     0.09177130943,    -0.02777708858,      0.8236191039,                 0,       68.69741021,    0.005701311134
          0,           0,          22,      -7.696241808,      -5.400044886,      -5.350961486,      -2.246164256,      -9.535393837,       14525.13454,     0.01199464158,      0.8240000448,                 0,                 0,                 0,     0.09177130272,     -0.0277770764,      0.8236190742,                 0,        68.6973462,    0.005701311134
          0,           0,          23,      -7.696794057,      -5.397469033,      -5.343073612,       -2.24890256,      -9.509895305,       14525.13454,     0.01199465033,      0.8240000091,                 0,                 0,                 0,     0.09177129219,    -0.02777706593,      0.8236190389,                 0,       68.69729307,    0.005701311134
          0,           0,          24,      -7.698271822,      -5.394437749,      -5.339576598,      -2.253733425,      -9.492251797,       14525.13454,     0.01199465712,      0.8239999691,                 0,                 0,                 0,     0.09177127853,    -0.02777705721,      0.8236189992,                 0,       68.69725085,    0.005701311134
          0,           0,          25,      -7.700319394,      -5.391409691,      -5.340092261,      -2.259899637,      -9.484136274,       14525.13454,     0.01199466201,      0.8239999261,                 0,                 0,                 0,     0.09177126258,    -0.02777705026,      0.8236189566,                 0,       68.69721929,    0.005701311134
          0,           0,          26,      -7.702626326,      -5.388637366,      -5.343600563,      -2.266606845,      -9.485100663,       14525.13454,     0.01199466508,      0.8239998815,                 0,                 0,                 0,     0.09177124522,    -0.02777704504,      0.8236189122,                 0,       68.69719795,    0.005701311134
          0,           0,          27,      -7.704960626,       -5.38616359,      -5.348648705,      -2.273119419,      -9.493380231,       14525.13454,     0.01199466645,      0.8239998364,                 0,                 0,                 0,     0.09177122729,    -0.02777704149,      0.8236188671,                 0,       68.69718634,    0.005701311134
          0,           0,          28,       -7.70716594,      -5.383837406,       -5.35357892,      -2.278818547,      -9.506277517,       14525.13454,     0.01199466623,      0.8239997915,                 0,                 0,                 0,     0.09177120962,    -0.02777703955,      0.8236188223,                 0,       68.69718389,    0.005701311134
          0,           0,          29,      -7.709130411,      -5.381350798,       -5.35682209,      -2.283222759,      -9.520497021,       14525.13454,     0.01199466452,      0.8239997477,                 0,                 0,                 0,     0.09177119288,    -0.02777703915,      0.8236187785,                 0,       68.69719003,    0.005701311134
          0,           0,          30,      -7.710745995,      -5.378302391,      -5.357232323,      -2.285986347,      -9.532737279,       14525.13454,     0.01199466143,      0.8239997056,                 0,                 0,                 0,     0.09177117766,     -0.0277770402,      0.8236187362,                 0,       68.69720423,    0.005701311134
          0,           0,          31,      -7.711879326,      -5.374286602,      -5.354352055,      -2.286896518,      -9.540580258,       14525.13454,     0.01199465705,      0.8239996652,                 0,                 0,                 0,     0.09177116437,    -0.02777704262,      0.8236186958,                 0,        68.6972259,    0.005701311134
          0,           0,          32,      -7.712368355,       -5.36899118,       -5.34847823,      -2.285881132,      -9.543271038,       14525.13454,      0.0119946515,      0.8239996269,                 0,                 0,                 0,     0.09177115328,    -0.02777704632,      0.8236186572,                 0,        68.6972545,    0.005701311134
          0,           0,          33,      -7.712046707,      -5.362274563,      -5.340493438,      -2.283021676,      -9.541813798,       14525.13454,     0.01199464487,      0.8239995906,                 0,                 0,                 0,     0.09177114452,    -0.02777705118,      0.8236186206,                 0,       68.69728943,    0.005701311134
          0,           0,          34,      -7.710784946,      -5.354195506,      -5.331556546,      -2.278553551,      -9.538306619,       14525.13454,     0.01199463728,       0.823999556,                 0,                 0,                 0,     0.09177113809,     -0.0277770571,      0.8236185857,                 0,       68.69733005,    0.005701311134
          0,           0,          35,      -7.708530299,      -5.344984207,       -5.32279636,      -2.272837985,      -9.535043595,       14525.13454,     0.01199462883,      0.8239995231,                 0,                 0,                 0,     0.09177113388,    -0.02777706395,      0.8236185525,                 0,       68.69737569,    0.005701311134
          0,           0,          36,      -7.705327361,      -5.334967332,      -5.315099411,      -2.266304318,      -9.533903649,       14525.13454,     0.01199461966,      0.8239994917,                 0,                 0,                 0,      0.0917711317,     -0.0277770716,      0.8236185206,                 0,        68.6974256,    0.005701311134
          0,           0,          37,      -7.701311669,      -5.324475434,      -5.309004869,      -2.259377689,      -9.536136644,       14525.13454,     0.01199460989,      0.8239994613,                 0,                 0,                 0,     0.09177113127,    -0.02777707989,      0.8236184898,                 0,       68.69747902,    0.005701311134
