"Inner_Iter",       "CD"       ,       "CL"       
           0,       1.051430325,      0.1009508214
           1,       1.038745788,      0.1023283611
           2,       1.025286036,      0.1038175808
           3,       1.011041147,      0.1054244682
           4,      0.9960064302,      0.1071547512
           5,      0.9801829545,      0.1090139432
           6,      0.9635776785,      0.1110071916
           7,      0.9462037395,      0.1131385828
           8,      0.9280804469,      0.1154111574
           9,      0.9092323894,       0.117826208
          10,      0.8896890253,      0.1203824883
          11,      0.8694854063,      0.1230760917
          12,      0.8486623015,      0.1258989918
          13,      0.8272636519,      0.1288390902
          14,      0.8053400463,      0.1318803149
          15,       0.782948244,      0.1350029166
          16,      0.7601536191,      0.1381830798
          17,      0.7370342848,      0.1414049533
          18,      0.7136834537,      0.1446858157
          19,      0.6901752051,      0.1479300665
          20,      0.6665984189,      0.1511349887
          21,       0.643030257,      0.1543041547
          22,      0.6195191994,      0.1574460892
          23,      0.5960538098,      0.1605705215
          24,      0.5725441609,      0.1636880258
          25,      0.5488253014,      0.1668166246
          26,      0.5246661618,      0.1700011446
          27,       0.499846306,      0.1733472716
          28,      0.4742139474,      0.1770480823
          29,      0.4477499563,      0.1814570965
          30,      0.4205878893,      0.1869748993
          31,      0.3929264202,       0.193853091
          32,      0.3648170373,      0.2022073655
          33,      0.3358523693,      0.2121911652
          34,      0.3219957995,      0.2173540776
          35,      0.3070217083,       0.223270559
          36,      0.2907546124,      0.2300982573
          37,       0.273047162,      0.2380531377
          38,      0.2538757186,      0.2473871377
          39,      0.2335006575,      0.2583346917
          40,        0.21259294,      0.2710541997
          41,      0.1922410193,      0.2856244133
          42,      0.1738519226,      0.3020435721
          43,      0.1588024212,      0.3201907918
          44,      0.1479110217,       0.339802524
          45,      0.1413714172,      0.3585926012
          46,      0.1376644798,      0.3763597811
          47,      0.1362471758,      0.3848990267
          48,      0.1351138928,      0.3940090164
          49,      0.1340957423,       0.403709178
          50,      0.1329469033,      0.4140817687
          51,      0.1313614392,      0.4253105992
          52,       0.128984953,      0.4376373203
          53,      0.1254942372,      0.4513229477
          54,      0.1206932115,      0.4666608912
          55,      0.1145771231,      0.4838643038
          56,      0.1080331701,      0.5013399818
          57,      0.1046540937,      0.5101310391
          58,      0.1009429689,      0.5199036342
          59,     0.09690074342,      0.5308234304
          60,     0.09252923084,      0.5430432901
          61,     0.08784188658,      0.5567845775
          62,     0.08287305292,      0.5722678814
          63,     0.07769182222,      0.5897522108
          64,     0.07516075245,      0.5985849266
          65,      0.0724862522,      0.6084191297
          66,     0.06968517375,       0.619301931
          67,     0.06678361336,      0.6312642646
          68,     0.06381253421,      0.6442864759
          69,     0.06082246956,      0.6582946586
          70,      0.0578772816,      0.6731343621
          71,     0.05506436758,      0.6886300394
          72,      0.0524748896,      0.7044793362
          73,     0.05036313756,      0.7190031405
          74,     0.04940870464,      0.7259439898
          75,     0.04849847638,      0.7331471456
          76,     0.04766555328,      0.7405630518
          77,     0.04694875742,      0.7481179775
          78,     0.04639145367,      0.7557592441
          79,     0.04603961648,      0.7633815613
          80,     0.04593428236,      0.7707994457
          81,     0.04611028091,      0.7777799864
          82,      0.0465885658,      0.7840164734
          83,     0.04686873104,      0.7867866232
          84,     0.04725333048,      0.7893977037
          85,     0.04776011625,      0.7917495492
          86,      0.0484061706,      0.7937228554
          87,     0.04919913635,      0.7951514767
          88,     0.05012965476,      0.7958563333
          89,     0.05117701359,      0.7956997782
          90,     0.05228872591,      0.7945173797
          91,     0.05339910182,      0.7921988705
          92,     0.05441273431,       0.788653011
          93,     0.05521271252,      0.7838879294
          94,     0.05550357611,      0.7813189423
          95,     0.05573266322,      0.7783832256
          96,     0.05586791344,      0.7750815301
          97,     0.05586822418,      0.7714176407
          98,     0.05567364088,      0.7673762893
          99,     0.05521459006,      0.7630677442
