"Inner_Iter",       "CD"       ,       "CL"       
           0,     0.03944440103,      0.0432377445
           1,     0.07297237351,     0.08016322236
           2,      0.1014479746,      0.1111864656
           3,       0.125613873,      0.1369915809
           4,       0.146049084,      0.1580003045
           5,      0.1631164813,      0.1749490551
           6,      0.1769191946,      0.1886412319
           7,      0.1877008221,       0.199000329
           8,      0.1955349512,      0.2065178753
           9,      0.2009973203,      0.2116345723
          10,      0.2043183385,      0.2146679381
          11,      0.2059366658,       0.216324575
          12,       0.206081306,      0.2168827542
          13,      0.2051662746,      0.2163592713
          14,       0.203355745,      0.2150030517
          15,      0.2010021918,      0.2131544296
          16,      0.1983200818,      0.2109612691
          17,      0.1956276191,      0.2086339846
          18,       0.192991184,      0.2062663329
          19,      0.1904759019,      0.2039892903
          20,      0.1880746888,       0.201834162
          21,       0.185785171,      0.1998001741
          22,      0.1836414994,      0.1979336441
          23,      0.1816628051,      0.1962423179
          24,      0.1798724608,      0.1947583684
          25,      0.1782723184,      0.1934887233
          26,      0.1768560277,      0.1924363819
          27,      0.1756106681,      0.1915775607
          28,      0.1745269784,      0.1908981882
          29,      0.1735872918,      0.1903866025
          30,      0.1727679659,      0.1900185734
          31,      0.1720445238,      0.1897671868
          32,      0.1713991837,      0.1896068078
          33,      0.1708173825,      0.1895156953
          34,      0.1702823584,      0.1894679176
          35,         0.1697796,      0.1894464364
          36,      0.1692964454,      0.1894364311
          37,      0.1688235329,      0.1894269261
          38,      0.1683509288,      0.1894052388
          39,      0.1678696683,      0.1893649293
          40,      0.1673730287,      0.1892998566
          41,       0.166860669,      0.1892035366
          42,      0.1663273149,      0.1890772315
          43,      0.1657728464,      0.1889219033
          44,      0.1651992522,      0.1887346062
          45,      0.1646040694,      0.1885213109
          46,      0.1639870812,      0.1882861977
          47,      0.1633494983,      0.1880304514
          48,       0.162697225,      0.1877589263
          49,       0.162029346,      0.1874757977
          50,      0.1613357016,      0.1871857614
          51,      0.1606389818,      0.1868949156
          52,      0.1599296422,      0.1866046181
          53,      0.1592049966,      0.1863178589
          54,      0.1584750045,      0.1860368396
          55,      0.1577405478,      0.1857625438
          56,      0.1570020216,      0.1854961369
          57,      0.1562568124,      0.1852416686
          58,      0.1555084024,      0.1849965905
          59,      0.1547542227,      0.1847635259
          60,       0.153999749,      0.1845389542
          61,      0.1532375565,      0.1843246051
          62,      0.1524703147,      0.1841184037
          63,       0.151700842,      0.1839201416
          64,      0.1509310923,      0.1837303939
          65,      0.1501635682,       0.183548222
          66,      0.1493973744,      0.1833720756
          67,      0.1486333904,       0.183200738
          68,      0.1478748279,      0.1830367396
          69,      0.1471185645,      0.1828782349
          70,      0.1463644567,      0.1827254513
          71,      0.1456136045,      0.1825781651
          72,      0.1448658507,      0.1824333517
          73,      0.1441193815,      0.1822908712
          74,       0.143375163,      0.1821546782
          75,      0.1426344327,      0.1820232277
          76,      0.1418964869,      0.1818919363
          77,      0.1411628262,      0.1817679809
          78,      0.1404344572,       0.181640213
          79,      0.1397091394,      0.1815102563
          80,      0.1389885741,      0.1813788561
          81,       0.138271878,      0.1812479173
          82,      0.1375592529,       0.181126951
          83,      0.1368501985,      0.1810053543
          84,      0.1361478551,      0.1808923013
          85,      0.1354531811,      0.1807830366
          86,      0.1347661511,      0.1806822089
          87,      0.1340876157,      0.1805886268
          88,       0.133416518,      0.1804958351
          89,      0.1327541109,      0.1804092914
          90,      0.1321000939,      0.1803311721
          91,      0.1314547408,      0.1802583169
          92,      0.1308200025,      0.1801966977
          93,      0.1301936566,      0.1801409557
          94,      0.1295777339,      0.1800955355
          95,      0.1289718131,      0.1800595562
          96,      0.1283753109,      0.1800361207
          97,      0.1277889474,      0.1800170243
          98,      0.1272135855,        0.18000757
          99,      0.1266502635,       0.180000878
