"Inner_Iter",       "CD"       ,       "CL"       
           0,      0.1256553573,      0.1800104851
           1,      0.1245871187,      0.1800363313
           2,      0.1234346644,      0.1800821612
           3,      0.1222008584,       0.180148509
           4,      0.1208843892,      0.1802342435
           5,      0.1194961762,       0.180328608
           6,      0.1180501191,      0.1803820877
           7,      0.1165858897,      0.1804351738
           8,      0.1151406519,      0.1804489186
           9,      0.1137513122,      0.1804321443
          10,      0.1124789234,      0.1805021975
          11,      0.1113661405,      0.1806797925
          12,      0.1104665079,      0.1811958415
          13,      0.1097852566,      0.1822370371
          14,      0.1093193194,      0.1839541478
          15,      0.1090091649,      0.1866562132
          16,      0.1089130106,      0.1905441732
          17,      0.1088262169,      0.1957709225
          18,      0.1086577364,      0.2025499801
          19,      0.1081322289,      0.2109785764
          20,       0.106918441,      0.2211458229
          21,      0.1045839733,      0.2331994572
          22,      0.1007665022,       0.247252653
          23,     0.09520315613,      0.2637618016
          24,     0.08785274459,      0.2831568686
          25,      0.0790008093,      0.3059637965
          26,       0.069165433,      0.3324121967
          27,     0.05915341826,      0.3623017912
          28,     0.04965393454,      0.3946124536
          29,     0.04123484616,      0.4277195673
          30,     0.03396425515,      0.4602605271
          31,     0.02765213792,      0.4912947183
          32,      0.0220407577,      0.5212401339
          33,     0.01709112965,      0.5512658192
          34,     0.01289123307,      0.5824086427
          35,     0.01016160797,      0.6053668098
          36,    0.008699205351,      0.6235628582
          37,    0.007913220528,      0.6407269714
          38,    0.007886596599,      0.6593210856
          39,    0.008728715489,      0.6796593019
          40,     0.01001294293,      0.6984404982
          41,     0.01171696966,      0.7132093413
          42,        0.01364131,      0.7233106805
          43,     0.01579484882,       0.730336705
          44,     0.01789244076,      0.7345781578
          45,     0.01908328741,      0.7325186907
          46,     0.01995747287,      0.7298994004
          47,     0.02005685746,      0.7254542096
          48,     0.01962582165,      0.7200269587
          49,     0.01887838558,      0.7139700506
          50,     0.01798193427,      0.7084984073
          51,     0.01683838498,      0.7030784955
          52,     0.01549304428,      0.6986232457
          53,     0.01401830386,      0.6953718039
          54,     0.01256511927,      0.6934501477
          55,     0.01147190492,      0.6942488599
          56,     0.01082902472,      0.6959413277
          57,     0.01054818558,      0.6984855439
          58,     0.01041536851,       0.701983662
          59,     0.01038285439,      0.7064416775
          60,     0.01041011272,      0.7120678599
          61,     0.01050389403,      0.7189892005
          62,     0.01059741338,      0.7265501656
          63,     0.01066772558,      0.7344877905
          64,        0.01064804,      0.7424074391
          65,     0.01053949974,      0.7499756931
          66,     0.01034451649,      0.7569431241
          67,     0.01012234982,      0.7633404323
          68,    0.009910405867,      0.7689855846
          69,    0.009763152454,      0.7740807629
          70,    0.009728391818,       0.778423003
          71,    0.009837159918,      0.7821956468
          72,      0.0100025184,      0.7845990654
          73,     0.01020791404,      0.7864358953
          74,     0.01049798121,      0.7881178781
          75,     0.01089792264,      0.7900202805
          76,     0.01137467587,      0.7921718878
          77,      0.0119395031,      0.7946882445
          78,     0.01256594863,      0.7978755011
          79,     0.01321539069,      0.8018231025
          80,     0.01383825929,      0.8065138071
          81,     0.01428325473,      0.8102687184
          82,     0.01460843222,      0.8135482118
          83,     0.01489552286,      0.8169679146
          84,     0.01513542482,      0.8209020959
          85,     0.01534831531,      0.8254607991
          86,     0.01549496739,      0.8306984053
          87,     0.01559283659,      0.8365020217
          88,      0.0156128517,      0.8425564948
          89,     0.01554987703,      0.8486892166
          90,     0.01543679526,       0.852993823
          91,     0.01534214282,      0.8563048161
          92,     0.01525332848,      0.8596867709
          93,     0.01515056494,      0.8631475478
          94,     0.01502244273,      0.8666668423
          95,     0.01494227999,      0.8703024956
          96,     0.01494247816,      0.8742290602
          97,     0.01501116882,      0.8780058672
          98,     0.01511437581,      0.8814672287
          99,     0.01525876349,      0.8839299505
