"Inner_Iter",       "CD"       ,       "CL"       
           0,      0.0931406168,     0.03440591678
           1,      0.1221157987,     0.05994004419
           2,      0.1448034956,      0.0797516821
           3,      0.1631956124,     0.09562111035
           4,      0.1783385844,      0.1080278089
           5,      0.1908482661,      0.1179053761
           6,      0.2010855239,      0.1258629268
           7,      0.2093622869,      0.1322361574
           8,      0.2159233941,      0.1372096657
           9,      0.2210330665,      0.1409507266
          10,      0.2249306137,      0.1439766892
          11,      0.2278897886,      0.1466830916
          12,      0.2301543038,       0.149244471
          13,      0.2318888669,       0.151592922
          14,      0.2331999425,      0.1536655447
          15,      0.2341828121,      0.1554657559
          16,       0.234909055,      0.1570390501
          17,      0.2354298787,      0.1584277371
          18,      0.2357779707,      0.1596429056
          19,      0.2359793093,      0.1606794714
          20,      0.2360662559,      0.1615664469
          21,      0.2360636343,      0.1623251822
          22,      0.2359999265,      0.1629641452
          23,      0.2358977647,      0.1634863888
          24,      0.2357722597,      0.1639020818
          25,      0.2356305997,      0.1642252318
          26,      0.2354764663,      0.1644743284
          27,      0.2353119077,      0.1646659973
          28,      0.2351379735,      0.1648173295
          29,      0.2349550801,      0.1649359382
          30,      0.2347636835,      0.1650255183
          31,      0.2345636652,      0.1650893168
          32,      0.2343536965,      0.1651300593
          33,      0.2341327526,      0.1651598918
          34,       0.233900636,      0.1651805527
          35,      0.2336561636,      0.1651922604
          36,      0.2333992095,      0.1651951602
          37,      0.2331291423,      0.1651912932
          38,      0.2328459417,      0.1651783371
          39,      0.2325493877,      0.1651599802
          40,      0.2322397202,      0.1651396629
          41,         0.2319168,      0.1651216115
          42,      0.2315794467,      0.1651099906
          43,      0.2312275869,       0.165105251
          44,      0.2308604042,      0.1651155226
          45,      0.2304826951,      0.1650947868
          46,      0.2300912475,      0.1650614462
          47,      0.2296827289,      0.1650376197
          48,      0.2292579378,      0.1650181897
          49,      0.2288181055,      0.1649917809
          50,      0.2283625939,      0.1649634315
          51,      0.2278917041,      0.1649352072
          52,      0.2274055195,      0.1649063831
          53,      0.2269038092,       0.164876077
          54,      0.2263865259,      0.1648438117
          55,      0.2258537903,      0.1648105321
          56,      0.2253055474,      0.1647764497
          57,      0.2247421777,      0.1647403689
          58,      0.2241640155,      0.1647008876
          59,      0.2235710203,       0.164655257
          60,      0.2229631807,      0.1646029297
          61,      0.2223403833,      0.1645427109
          62,      0.2217027728,      0.1644757059
          63,      0.2210509536,      0.1644043821
          64,      0.2203852734,      0.1643300503
          65,      0.2197059498,      0.1642529457
          66,      0.2190129849,      0.1641732608
          67,      0.2183066854,      0.1640927582
          68,      0.2175871812,      0.1640114941
          69,      0.2168546193,      0.1639294306
          70,      0.2161094217,      0.1638468536
          71,      0.2153520656,       0.163763261
          72,      0.2145825802,      0.1636796299
          73,      0.2138014336,      0.1635967657
          74,      0.2130091549,      0.1635163524
          75,      0.2122063295,      0.1634393591
          76,      0.2113935008,      0.1633646621
          77,       0.210571098,      0.1632905314
          78,      0.2097395851,       0.163215647
          79,      0.2088992858,      0.1631409772
          80,      0.2080503139,      0.1630684574
          81,      0.2071926702,        0.16299876
          82,      0.2063265115,         0.1629313
          83,      0.2054522032,      0.1628658658
          84,      0.2045704987,      0.1628001565
          85,      0.2036818556,      0.1627322294
          86,      0.2027864868,      0.1626614127
          87,      0.2018847802,      0.1625886497
          88,      0.2009771487,      0.1625161409
          89,      0.2000638947,      0.1624438021
          90,      0.1991452476,      0.1623713705
          91,      0.1982214345,      0.1622984318
          92,      0.1972928889,      0.1622243451
          93,       0.196359811,      0.1621480108
          94,      0.1954224027,      0.1620691948
          95,      0.1944810937,      0.1619891406
          96,      0.1935363597,      0.1619086301
          97,      0.1925886823,      0.1618273988
          98,       0.191638324,      0.1617463842
          99,      0.1906855308,      0.1616646474
