"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.495760915,      -1.889458286,      -2.518213612,       1.010810364,      -5.761511298,       14525.13454,     0.01260716792,      0.8240056388,                 0,                 0,                 0,     0.09273993506,    -0.02720352596,      0.8236529619,                 0,       65.36009068,    0.006851544281
          0,           0,           1,      -4.539482814,      -1.938353948,      -2.331577937,      0.9673508559,      -5.851888149,       14525.13454,     0.01257438665,      0.8239799853,                 0,                 0,                 0,     0.09266895238,    -0.02723503002,      0.8236257552,                 0,       65.52844349,    0.006851544281
          0,           0,           2,      -4.582076955,      -1.991178416,      -2.216371692,      0.9248258447,      -5.960712509,       14525.13454,     0.01256591495,      0.8239398719,                 0,                 0,                 0,     0.09262989584,    -0.02724155453,      0.8235852794,                 0,        65.5694293,    0.006851544281
          0,           0,           3,      -4.605257463,      -2.029303069,      -2.148247438,      0.9008012298,      -6.083023232,       14525.13454,     0.01257148324,      0.8238983488,                 0,                 0,                 0,     0.09261386568,    -0.02723398735,      0.8235440737,                 0,       65.53708366,    0.006851544281
          0,           0,           4,      -4.611044735,      -2.050604906,      -2.099287356,      0.8924952771,      -6.211372079,       14525.13454,     0.01258140305,      0.8238634999,                 0,                 0,                 0,     0.09261038674,    -0.02722239606,      0.8235097446,                 0,       65.48264104,    0.006851544281
          0,           0,           5,      -4.606928459,      -2.060532059,      -2.061897882,      0.8921024331,      -6.331220804,       14525.13454,     0.01258949601,      0.8238369671,                 0,                 0,                 0,     0.09261131903,    -0.02721303113,      0.8234836336,                 0,       65.43843906,    0.006851544281
          0,           0,           6,      -4.599336588,      -2.065380935,      -2.034178049,      0.8933330338,      -6.415629335,       14525.13454,     0.01259327787,      0.8238167764,                 0,                 0,                 0,     0.09261221994,    -0.02720827855,       0.823463649,                 0,       65.41718404,    0.006851544281
          0,           0,           7,      -4.591878045,      -2.069402734,      -2.015228733,      0.8929033492,      -6.444630845,       14525.13454,     0.01259276486,      0.8238007368,                 0,                 0,                 0,     0.09261181635,    -0.02720801631,      0.8234476034,                 0,       65.41857533,    0.006851544281
          0,           0,           8,      -4.585705324,      -2.074352893,      -2.004224055,      0.8900146189,      -6.432083226,       14525.13454,     0.01258912248,      0.8237881522,                 0,                 0,                 0,     0.09261069331,    -0.02721104666,      0.8234348576,                 0,        65.4365031,    0.006851544281
          0,           0,           9,       -4.58064501,       -2.08049742,      -2.000401848,      0.8851436519,      -6.406057046,       14525.13454,      0.0125837447,      0.8237797134,                 0,                 0,                 0,     0.09261006371,    -0.02721601061,      0.8234261689,                 0,       65.46379741,    0.006851544281
          0,           0,          10,      -4.576087984,       -2.08774772,      -2.003206945,      0.8791142354,      -6.381544296,       14525.13454,      0.0125778298,      0.8237765513,                 0,                 0,                 0,     0.09261101277,     -0.0272217659,      0.8234227249,                 0,       65.49433127,    0.006851544281
          0,           0,          11,      -4.571350705,      -2.096114009,      -2.012346637,      0.8728415176,      -6.362040702,       14525.13454,     0.01257228506,      0.8237793952,                 0,                 0,                 0,     0.09261422516,    -0.02722744151,      0.8234252976,                 0,       65.52344236,    0.006851544281
          0,           0,          12,      -4.565734956,      -2.105486098,      -2.027624351,      0.8675489176,      -6.346517407,       14525.13454,     0.01256777301,      0.8237882243,                 0,                 0,                 0,     0.09262001664,    -0.02723237471,      0.8234338985,                 0,       65.54766893,    0.006851544281
          0,           0,          13,      -4.558581914,      -2.115193289,      -2.048510203,      0.8649530291,      -6.333007567,       14525.13454,      0.0125647812,      0.8238023497,                 0,                 0,                 0,     0.09262847445,    -0.02723604522,      0.8234478629,                 0,       65.56440076,    0.006851544281
          0,           0,          14,      -4.549452132,      -2.123820694,      -2.073529015,      0.8669494038,         -6.319721,       14525.13454,     0.01256366727,      0.8238206796,                 0,                 0,                 0,     0.09263957988,    -0.02723804311,      0.8234661176,                 0,       65.57167284,    0.006851544281
