"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.271266333685897e-03, -1.597251006851705e-02, -1.784652142160484e-01, 1.791783267715749e-01
51, 9.695732593536380e-01, 2.941888776914145e-03, -5.031449722621822e-03, -8.682254212228874e-02, 8.695063390190737e-02
77, 9.526804089546200e-01, 3.828034850694009e-03, -1.419542348616309e-03, -4.805028281161220e-03, 4.821277807310764e-03
103, 9.349957108497620e-01, 3.345706996721639e-03, 1.382117437526632e-03, -1.222501283674402e-02, 1.228168270335828e-02
129, 9.168222546577450e-01, 1.895219085369197e-03, 1.454729220494354e-03, -1.554336065209862e-02, 1.561122587101713e-02
155, 8.983380794525150e-01, 1.873817679208935e-05, 2.086831094923600e-03, -1.866772486524405e-02, 1.878386686556922e-02
181, 8.797067403793331e-01, -2.110190447015770e-03, -1.413831408552444e-04, -7.057482980802261e-03, 6.991114518908264e-03
207, 8.610174655914310e-01, -4.430790296732682e-03, 7.583856004790162e-04, -2.206197233323199e-03, 2.284428832513578e-03
233, 8.422674536705020e-01, -6.886148471781029e-03, 3.402796219973803e-03, -2.112894181962069e-02, 2.139404224938367e-02
259, 8.235722184181210e-01, -9.471861725920308e-03, -9.709192622657061e-04, -6.045146183716760e-04, 4.631207781829635e-04
285, 8.049457669258120e-01, -1.214537906083741e-02, 5.468916331152432e-04, 1.639861764060110e-03, -1.545008000999557e-03
311, 7.863141298294070e-01, -1.484503474802362e-02, 3.212910679183889e-03, -2.158703597133169e-02, 2.182479852824723e-02
337, 7.678796052932740e-01, -1.760492625041071e-02, -1.276544798588026e-03, 5.173742442196323e-03, -5.306039248678361e-03
363, 7.495508193969730e-01, -2.037277463107892e-02, 1.953328173135753e-03, -1.006152132487311e-02, 1.024058087961752e-02
389, 7.313483357429500e-01, -2.313817740332991e-02, 1.878208482995152e-04, -3.911027400511159e-03, 3.895075645383784e-03
415, 7.132214307785030e-01, -2.587298652136859e-02, 6.694400043594823e-04, -1.823497117791951e-03, 1.902775334249144e-03
441, 6.951977014541630e-01, -2.857473129581344e-02, 8.001827704481149e-04, -7.989878997402555e-03, 8.020369560819833e-03
467, 6.773055195808410e-01, -3.124273317280025e-02, -1.113537513491173e-03, 5.845217339874360e-03, -5.945181166817038e-03
493, 6.594728827476500e-01, -3.385017838550543e-02, 3.162948499339150e-03, -1.697415605340767e-02, 1.725289182909233e-02
519, 6.418011188507080e-01, -3.641882400732949e-02, -8.168671427061412e-05, -2.290029933473926e-03, 2.254621050314743e-03
545, 6.243042349815370e-01, -3.894840806221433e-02, -1.383259637845784e-03, 8.656875839338302e-03, -8.764816249313211e-03
571, 6.065399646759030e-01, -4.130720525627167e-02, 1.170210531749656e-03, -6.789704514903520e-03, 6.884027992831400e-03
597, 5.888153314590450e-01, -4.357741193271069e-02, 8.348263534529181e-04, -7.941361038542505e-03, 7.983116117042660e-03
623, 5.713157057762150e-01, -4.581011642069297e-02, 1.147709911479166e-04, -1.917529589605611e-03, 1.917018554127164e-03
649, 5.538190603256230e-01, -4.793445366881860e-02, 1.801421037994104e-03, -1.135071040932038e-02, 1.148372259118899e-02
675, 5.363336801528930e-01, -4.994706727288353e-02, -7.235026507946208e-05, -1.664960425107643e-03, 1.646782472171827e-03
701, 5.188096761703490e-01, -5.182505905884165e-02, -1.872120993093762e-03, 1.607492114329618e-02, -1.618208107575219e-02
727, 5.012295246124270e-01, -5.355351864039833e-02, 1.757640737806348e-03, -1.419635831505671e-02, 1.429830146327759e-02
753, 4.835794866085050e-01, -5.511639259769031e-02, 1.390663492031969e-03, -1.661938981977694e-02, 1.667747103662839e-02
779, 4.658685922622680e-01, -5.650223719911023e-02, -9.671676400935293e-04, 8.984559138605871e-03, -9.030897746521046e-03
805, 4.480717480182650e-01, -5.768193791971225e-02, 3.084390087403436e-04, -3.142610247211499e-03, 3.155380681742878e-03
