"PointID","x","y"
25, 9.853970408439640e-01, 1.275949046435096e-03
51, 9.695732593536380e-01, 2.963520864678332e-03
77, 9.526804089546200e-01, 3.863296531280902e-03
103, 9.349957108497620e-01, 3.382962659317192e-03
129, 9.168222546577450e-01, 1.927739334268433e-03
155, 8.983380794525150e-01, 4.467615750759833e-05
181, 8.797067403793331e-01, -2.091247088965064e-03
207, 8.610174655914310e-01, -4.419196034673644e-03
233, 8.422674536705020e-01, -6.882231668680543e-03
259, 8.235722184181210e-01, -9.475667394890924e-03
285, 8.049457669258120e-01, -1.215663798697506e-02
311, 7.863141298294070e-01, -1.486323587764056e-02
337, 7.678796052932740e-01, -1.762929635316905e-02
363, 7.495508193969730e-01, -2.040246973515900e-02
389, 7.313483357429500e-01, -2.317230614157159e-02
415, 7.132214307785030e-01, -2.591067292031351e-02
441, 6.951977014541630e-01, -2.861512768541405e-02
467, 6.773055195808410e-01, -3.128504616591708e-02
493, 6.594728827476500e-01, -3.389369047787433e-02
519, 6.418011188507080e-01, -3.646288654643441e-02
545, 6.243042349815370e-01, -3.899245437940974e-02
571, 6.065399646759030e-01, -4.135072949746949e-02
597, 5.888153314590450e-01, -4.361997147434526e-02
623, 5.713157057762150e-01, -4.585134761062586e-02
649, 5.538190603256230e-01, -4.797403690967833e-02
675, 5.363336801528930e-01, -4.998473208309208e-02
701, 5.188096761703490e-01, -5.186057129010997e-02
727, 5.012295246124270e-01, -5.358667709470693e-02
753, 4.835794866085050e-01, -5.514702375927329e-02
779, 4.658685922622680e-01, -5.653019340612754e-02
805, 4.480717480182650e-01, -5.770708744697878e-02
831, 4.301885962486270e-01, -5.864706855520351e-02
857, 4.122794568538670e-01, -5.934393632036607e-02
883, 3.944020271301270e-01, -5.978235116886082e-02
909, 3.766198158264160e-01, -5.992645226020034e-02
935, 3.590588271617890e-01, -5.980878564635282e-02
961, 3.418258726596830e-01, -5.943328858243743e-02
987, 3.249974250793460e-01, -5.887164737850841e-02
1013, 3.086399734020230e-01, -5.812755555861203e-02
1039, 2.927811741828920e-01, -5.724511636533573e-02
1065, 2.774220108985900e-01, -5.626279107076816e-02
1091, 2.625653147697450e-01, -5.520278750335654e-02
1117, 2.482267022132870e-01, -5.406922150598900e-02
1143, 2.344165146350860e-01, -5.286876972334398e-02
1169, 2.210974693298340e-01, -5.163151559458154e-02
1195, 2.082438766956330e-01, -5.037450946351805e-02
1221, 1.958884000778200e-01, -4.908430123357694e-02
1247, 1.840233504772190e-01, -4.776819526898132e-02
1273, 1.725961565971370e-01, -4.644821989403342e-02
1299, 1.616173982620240e-01, -4.512037472384092e-02
1325, 1.511152982711790e-01, -4.377486554216687e-02
1351, 1.410477757453920e-01, -4.242608035111899e-02
1377, 1.314679384231570e-01, -4.105754945248812e-02
1403, 1.222792565822600e-01, -3.969746282295696e-02
1429, 1.134960949420930e-01, -3.833974470355545e-02
1455, 1.051684617996220e-01, -3.697093706067385e-02
1481, 9.719923138618471e-02, -3.561393912254507e-02
1507, 8.964005112648010e-02, -3.425467612874388e-02
1533, 8.247101306915280e-02, -3.289681278905282e-02
1559, 7.564741373062130e-02, -3.154786096169848e-02
1585, 6.917616724967959e-02, -3.020467233080728e-02
1611, 6.298619508743290e-02, -2.887871107500194e-02
1637, 5.711802840232850e-02, -2.756032053690715e-02
1663, 5.161416530609130e-02, -2.624002568074018e-02
1689, 4.642483592033390e-02, -2.492529225101441e-02
1715, 4.156750440597530e-02, -2.361125170034815e-02
1741, 3.698146343231200e-02, -2.230591556753928e-02
1767, 3.265759348869320e-02, -2.100851511337810e-02
1793, 2.861636877059940e-02, -1.971475332617647e-02
1819, 2.490270137786870e-02, -1.841675437528276e-02
1845, 2.143678069114690e-02, -1.712394384652649e-02
1871, 1.820489764213560e-02, -1.583656949234604e-02
1897, 1.524919271469120e-02, -1.454810334843947e-02
1923, 1.256430149078370e-02, -1.325790195510229e-02
1949, 1.017087697982790e-02, -1.196244350408423e-02
1975, 8.062899112701419e-03, -1.066086055960879e-02
2001, 6.177186965942380e-03, -9.359521412571245e-03
2027, 4.468053579330440e-03, -8.063740001977140e-03
2053, 3.018766641616820e-03, -6.762916334260101e-03
2079, 1.912891864776610e-03, -5.443128189368378e-03
2105, 1.121968030929570e-03, -4.101604291415398e-03
2131, 5.391836166381840e-04, -2.750270685864444e-03
2157, 1.753866672515870e-04, -1.381399511988990e-03
2183, 0.000000000000000e+00, 0.000000000000000e+00
2209, 1.051127910614010e-04, 1.121310261093367e-03
2235, 3.451704978942870e-04, 2.218969133198702e-03
2261, 7.326900959014890e-04, 3.292802416319736e-03
2287, 1.276999711990360e-03, 4.344276495649748e-03
2313, 1.973092555999760e-03, 5.376617308153712e-03
2339, 2.858132123947140e-03, 6.384285736048612e-03
2365, 3.939032554626460e-03, 7.368369753256544e-03
2391, 5.185037851333620e-03, 8.336109625751879e-03
2417, 6.539613008499150e-03, 9.298873209936647e-03
2443, 7.984459400177000e-03, 1.026008190671851e-02
2469, 9.577721357345579e-03, 1.121019032164530e-02
2495, 1.134461164474490e-02, 1.214623631664392e-02
2521, 1.328635215759280e-02, 1.306919904991718e-02
2547, 1.542121171951290e-02, 1.397706778749180e-02
2573, 1.774638891220090e-02, 1.487185387614775e-02
2599, 2.023851871490480e-02, 1.575890147346709e-02
2625, 2.291005849838260e-02, 1.663715233724084e-02
2651, 2.576607465744020e-02, 1.750702442087894e-02
2677, 2.879580855369570e-02, 1.837174167765742e-02
2703, 3.199326992034910e-02, 1.923372660991739e-02
2729, 3.537228703498840e-02, 2.009160356403537e-02
2755, 3.891497850418090e-02, 2.095028992164155e-02
2781, 4.259017109870910e-02, 2.181719839225107e-02
2807, 4.645630717277530e-02, 2.268217187434770e-02
2833, 5.049252510070800e-02, 2.355101373751654e-02
2859, 5.469727516174320e-02, 2.442532584920682e-02
2885, 5.909299850463870e-02, 2.530215908005062e-02
2911, 6.365954875946039e-02, 2.618712944062231e-02
2937, 6.838649511337280e-02, 2.708417985718393e-02
2963, 7.332068681716920e-02, 2.798460830779737e-02
2989, 7.843562960624691e-02, 2.889611825939561e-02
3015, 8.375442028045650e-02, 2.981466598285624e-02
3041, 8.928063511848450e-02, 3.074150419949513e-02
3067, 9.501701593399051e-02, 3.167704217575516e-02
