"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.279034694601011e-03, -1.774056427398481e-02, 8.153054724056075e-06, 3.804656095666533e-05, 3.796067721668612e-08, -1.074516090084639e-04, -2.307326474954640e-01, -2.576713457548074e+00, -2.587013635293142e+00
51, 9.695732593536380e-01, 2.978632536524727e-03, -1.531215526983381e-02, 6.672558736334983e-06, 4.264258077703470e-05, 4.846989253872517e-08, -5.876749683227525e-05, -1.299039746264318e-01, -1.678211346085638e+00, -1.683226648451334e+00
77, 9.526804089546200e-01, 3.890740198489614e-03, -1.517463268396487e-02, 4.041945728648226e-06, 1.904920901004003e-05, 2.270080627615308e-08, -4.013533397367491e-05, -1.503985367464385e-02, -1.263381720880512e+00, -1.263470855662789e+00
103, 9.349957108497620e-01, 3.417171207672135e-03, -1.631188885093455e-02, 4.249754073305846e-06, -6.853548564380397e-06, -4.472092075575418e-10, -3.030942990522138e-05, 5.990948883754258e-02, -1.113197335234486e+00, -1.114808253829917e+00
129, 9.168222546577450e-01, 1.964360997811743e-03, -1.732511399361450e-02, 5.874714634569355e-06, -2.234980837047075e-05, -1.066834204824106e-08, -2.631903043688770e-05, 9.955058453472007e-02, -1.116238615189535e+00, -1.120667141111034e+00
155, 8.983380794525150e-01, 8.093376638323502e-05, -1.805245068254852e-02, 7.245263373039511e-06, -3.145932370288456e-05, -1.670239784587588e-08, -2.526335671870428e-05, 1.255625177071150e-01, -1.179746577472779e+00, -1.186407504892133e+00
181, 8.797067403793331e-01, -2.057828582420071e-03, -1.859127195791763e-02, 8.105761187987715e-06, -3.515582328619348e-05, -1.059088593145965e-08, -2.559346728104040e-05, 1.489478260090948e-01, -1.260836111811331e+00, -1.269601780995184e+00
207, 8.610174655914310e-01, -4.390958858282315e-03, -1.899121733446412e-02, 9.038976495540717e-06, -3.988655449587177e-05, -1.689627547097355e-08, -2.572588914083017e-05, 1.694400304001357e-01, -1.342506920334378e+00, -1.353154486116314e+00
233, 8.422674536705020e-01, -6.861080588594281e-03, -1.909060528689357e-02, 9.675982160967608e-06, -4.304503286205605e-05, -1.613111000057651e-08, -2.470786121278545e-05, 1.865861338047838e-01, -1.402538182471002e+00, -1.414890984693950e+00
259, 8.235722184181210e-01, -9.462799282019119e-03, -1.913465990290578e-02, 1.011686840337699e-05, -4.406065367198889e-05, -8.366635787897313e-09, -2.489810612585433e-05, 2.011128400373521e-01, -1.441338375632433e+00, -1.455298042950668e+00
285, 8.049457669258120e-01, -1.215255835791071e-02, -1.911983192221100e-02, 1.065726741429427e-05, -4.676548380140227e-05, -1.610023424951581e-08, -2.484548936591120e-05, 2.132004801809147e-01, -1.496765994483412e+00, -1.511868940875995e+00
311, 7.863141298294070e-01, -1.486791007866927e-02, -1.889444097615696e-02, 1.094477506699051e-05, -4.838613987098614e-05, -1.461526763618085e-08, -2.386529304807693e-05, 2.250560947462701e-01, -1.553070697168004e+00, -1.569284798548988e+00
337, 7.678796052932740e-01, -1.764216767877333e-02, -1.865491593222935e-02, 1.028697683208057e-05, -4.272665553796808e-05, 7.169009585315141e-10, -2.468821182480651e-05, 2.413055620229211e-01, -1.625593874609152e+00, -1.643400620067961e+00
363, 7.495508193969730e-01, -2.042274297953541e-02, -1.882743909821175e-02, 1.165561921368484e-05, -5.177640916252228e-05, -1.753196079527053e-08, -2.540689926686546e-05, 2.538976185655126e-01, -1.706639924952813e+00, -1.725413586728200e+00
389, 7.313483357429500e-01, -2.319901697288786e-02, -1.872381530066178e-02, 1.092176432241947e-05, -4.686908017512687e-05, 2.090306809085923e-10, -2.676482001357986e-05, 2.667978199150764e-01, -1.786063992587998e+00, -1.805875165003019e+00
415, 7.132214307785030e-01, -2.594280486946472e-02, -1.877556479705053e-02, 1.139441391872397e-05, -5.006052907319796e-05, -1.258171696526538e-08, -2.861378840186201e-05, 2.755719419593448e-01, -1.869490185840571e+00, -1.889680750166030e+00
441, 6.951977014541630e-01, -2.865165245272470e-02, -1.852752290152168e-02, 1.060156414122149e-05, -4.523984859335901e-05, 5.092015270716308e-09, -2.945264524598618e-05, 2.855438218236389e-01, -1.939681294168665e+00, -1.960579784362111e+00
467, 6.773055195808410e-01, -3.132497689439074e-02, -1.836567464247971e-02, 1.069904210649786e-05, -4.613411050863643e-05, -2.908575019549919e-09, -3.033500836670377e-05, 2.924404326407187e-01, -2.019606059798559e+00, -2.040659492448823e+00
493, 6.594728827476500e-01, -3.393612917101935e-02, -1.799956779524161e-02, 1.040528422362023e-05, -4.529264214836750e-05, -1.583274795211856e-10, -2.961044178318041e-05, 2.943757944902508e-01, -2.061964483285147e+00, -2.082861558849595e+00
519, 6.418011188507080e-01, -3.650701482821876e-02, -1.768184201905745e-02, 1.031039876204249e-05, -4.483986818136143e-05, 6.131170935510401e-09, -3.029365926705820e-05, 3.043800715735714e-01, -2.138371335656807e+00, -2.159918101517975e+00
545, 6.243042349815370e-01, -3.903755991188631e-02, -1.755533105725994e-02, 9.755936109537336e-06, -4.236027141886971e-05, 9.800558069128557e-09, -3.275237176564339e-05, 3.074343937795513e-01, -2.239347504981442e+00, -2.260350400158049e+00
571, 6.065399646759030e-01, -4.139620791304320e-02, -1.732086334646532e-02, 9.030349465055115e-06, -3.914466395475520e-05, 8.411214174991392e-09, -3.441832461156585e-05, 2.998229861380751e-01, -2.347818938148357e+00, -2.366877305554647e+00
597, 5.888153314590450e-01, -4.366528673347055e-02, -1.703095959376291e-02, 8.408869005303299e-06, -3.524586557958027e-05, 1.705222494623999e-08, -3.513183584469506e-05, 2.980461664746332e-01, -2.390040413479856e+00, -2.408541586931866e+00
623, 5.713157057762150e-01, -4.589605619379461e-02, -1.678756711793941e-02, 8.144522468261531e-06, -3.422239079422430e-05, 1.840657685506338e-08, -3.565113867793264e-05, 2.984475718395146e-01, -2.449165666473029e+00, -2.467275037784455e+00
649, 5.538190603256230e-01, -4.801776585621224e-02, -1.651960617262251e-02, 7.936238116479417e-06, -3.447992768916470e-05, 1.573303029398406e-08, -3.622832180166569e-05, 2.899917675241379e-01, -2.514358154313762e+00, -2.531016539241717e+00
675, 5.363336801528930e-01, -5.002716876451554e-02, -1.623952917991349e-02, 7.422355808931425e-06, -3.160913318773375e-05, 2.419772082809451e-08, -3.798521245464368e-05, 2.832091879507883e-01, -2.590429762249995e+00, -2.605861997891939e+00
701, 5.188096761703490e-01, -5.190144775946749e-02, -1.591522421602334e-02, 7.230668987709739e-06, -3.180443763737904e-05, 2.014583714459971e-08, -3.990503416124888e-05, 2.708639314938695e-01, -2.684843585378632e+00, -2.698468732091384e+00
727, 5.012295246124270e-01, -5.362576035584959e-02, -1.489494047972341e-02, 5.794109240251962e-06, -1.939072926094550e-05, 3.343294943332765e-08, -3.995101549626911e-05, 2.552948493000667e-01, -2.783962860168112e+00, -2.795640881784533e+00
753, 4.835794866085050e-01, -5.518410529866983e-02, -1.444502557676490e-02, 5.989334814204682e-06, -2.449063869431100e-05, 2.711459467322109e-08, -4.027102232772231e-05, 2.364983340688796e-01, -2.874147033432172e+00, -2.883859715864189e+00
779, 4.658685922622680e-01, -5.656508177622250e-02, -1.393603838419426e-02, 5.499957495147611e-06, -1.985680888729447e-05, 2.980482432584267e-08, -4.263871223640118e-05, 2.131311957209297e-01, -2.983442797863923e+00, -2.991045524438332e+00
805, 4.480717480182650e-01, -5.773959455390320e-02, -1.323515996700744e-02, 4.990306032210789e-06, -1.478105613698039e-05, 3.336071714916712e-08, -4.461715728595512e-05, 1.833094433469513e-01, -3.118216360167052e+00, -3.123599532483462e+00
831, 4.301885962486270e-01, -5.867700358123452e-02, -1.244065690041082e-02, 4.590016255056575e-06, -9.373063780962037e-06, 3.680650378150239e-08, -4.657480190231494e-05, 1.477124786095858e-01, -3.252874794369024e+00, -3.256226817691006e+00
857, 4.122794568538670e-01, -5.937110735941523e-02, -1.160666269643023e-02, 4.310592214794283e-06, -3.708795462456633e-06, 3.991606273716907e-08, -4.884870510613258e-05, 1.059642241382726e-01, -3.345352979200008e+00, -3.347030748833962e+00
883, 3.944020271301270e-01, -5.980656044744662e-02, -1.079181056898113e-02, 4.174630101495261e-06, 2.492268709943624e-06, 4.298179984870768e-08, -5.170718385539272e-05, 5.601907924231111e-02, -3.444092979701036e+00, -3.444548514309491e+00
909, 3.766198158264160e-01, -5.994749451531563e-02, -1.005275636219612e-02, 4.195849189796773e-06, 8.728425332219792e-06, 4.574707963065462e-08, -5.524251450233464e-05, 3.818163594754506e-03, -3.508944140985781e+00, -3.508945734583266e+00
935, 3.590588271617890e-01, -5.982646029652453e-02, -9.357761471341656e-03, 4.358510394921754e-06, 1.446967291951877e-05, 4.785832048170618e-08, -5.899007562623065e-05, -4.712431780784685e-02, -3.529483173222983e+00, -3.529795911771151e+00
961, 3.418258726596830e-01, -5.944740157946504e-02, -8.668487685526253e-03, 4.602463508226662e-06, 1.920469441867140e-05, 4.866507815984061e-08, -6.257962159013169e-05, -9.248965449240987e-02, -3.491424726300485e+00, -3.492646891413324e+00
987, 3.249974250793460e-01, -5.888201192652980e-02, -7.974497480605965e-03, 5.112344624550674e-06, 2.724112302966987e-05, 5.802780001393000e-08, -6.605216899353071e-05, -1.266054077930460e-01, -3.416000382162161e+00, -3.418334954887567e+00
1013, 3.086399734020230e-01, -5.813399764198068e-02, -7.082569323519869e-03, 5.507791072088784e-06, 3.163721875317007e-05, 4.949998521937301e-08, -6.647892192592851e-05, -1.643885882045611e-01, -3.329731966344470e+00, -3.333784324767759e+00
1039, 2.927811741828920e-01, -5.724747321153256e-02, -6.013423440677370e-03, 5.926167735417902e-06, 3.732700141680015e-05, 5.841216684073387e-08, -6.483458393295135e-05, -1.823593379909517e-01, -3.178865623797917e+00, -3.184080984698166e+00
1065, 2.774220108985900e-01, -5.626091033521845e-02, -5.414854095508043e-03, 5.923136108876769e-06, 3.457110691442487e-05, 4.751427187450628e-08, -6.501468838039374e-05, -2.003452463423943e-01, -3.065018345812725e+00, -3.071549561458141e+00
1091, 2.625653147697450e-01, -5.519653281850332e-02, -4.533650168830564e-03, 6.934616373631763e-06, 4.585539523946790e-05, 6.604455974196594e-08, -6.501368535687998e-05, -2.113334312117834e-01, -2.956918225838171e+00, -2.964437619901922e+00
1117, 2.482267022132870e-01, -5.405848156262457e-02, -4.354558788237171e-03, 7.239571742297367e-06, 4.617330075310013e-05, 6.351629567750152e-08, -6.523862790563463e-05, -2.252943712076260e-01, -2.853340124658753e+00, -2.862194833234473e+00
1143, 2.344165146350860e-01, -5.285346198928303e-02, -4.464553966031286e-03, 6.601573003355623e-06, 3.749889468860690e-05, 4.281041864540431e-08, -6.382544131670548e-05, -2.356296942512054e-01, -2.721735664453568e+00, -2.731898611772228e+00
1169, 2.210974693298340e-01, -5.161157387062425e-02, -4.002925515045944e-03, 6.698736393559938e-06, 3.857593705188065e-05, 4.373875675862159e-08, -6.084533846846329e-05, -2.388614794098969e-01, -2.602387356920857e+00, -2.613307142401307e+00
1195, 2.082438766956330e-01, -5.034988900057520e-02, -3.820213168346329e-03, 7.161379523824440e-06, 4.127158530610440e-05, 5.594731638169827e-08, -6.126166735942791e-05, -2.383008372764900e-01, -2.503938826535863e+00, -2.515204754388660e+00
1221, 1.958884000778200e-01, -4.905500251349875e-02, -3.725619611951289e-03, 7.261166282790413e-06, 4.012695547406241e-05, 4.124376146361557e-08, -6.105947507583375e-05, -2.510574416286714e-01, -2.419452205085663e+00, -2.432421726849593e+00
1247, 1.840233504772190e-01, -4.773425183983005e-02, -3.153000923568520e-03, 7.036520224845905e-06, 3.867363397856959e-05, 4.013355651391852e-08, -5.731522636087289e-05, -2.499438389917135e-01, -2.300437572998825e+00, -2.313948673237769e+00
1273, 1.725961565971370e-01, -4.640968104774448e-02, -2.609377481336160e-03, 8.425103358380509e-06, 4.877857910624974e-05, 6.091071430020386e-08, -5.604824332456006e-05, -2.476827465587163e-01, -2.214768868599175e+00, -2.228525874626303e+00
1299, 1.616173982620240e-01, -4.507733073612489e-02, -2.752273367870275e-03, 7.045531480653884e-06, 3.654422190431649e-05, 3.201737423333526e-08, -5.461991755997796e-05, -2.558250350531318e-01, -2.126253734628356e+00, -2.141567018022426e+00
1325, 1.511152982711790e-01, -4.372745592206902e-02, -2.550773207235438e-03, 7.278325927901723e-06, 3.756091836523725e-05, 4.224270308206023e-08, -5.296543487376106e-05, -2.518630021964012e-01, -2.027621173404650e+00, -2.043152947007565e+00
1351, 1.410477757453920e-01, -4.237446440519309e-02, -2.277358091340035e-03, 8.613554363084953e-06, 4.494307092751307e-05, 4.892831010195741e-08, -5.262055234600859e-05, -2.583452718263189e-01, -1.956145250159180e+00, -1.973089037453319e+00
1377, 1.314679384231570e-01, -4.100194486040337e-02, -2.149167867302019e-03, 7.258337851738458e-06, 3.535184327122259e-05, 2.932067855193477e-08, -4.902999056158138e-05, -2.595026510792128e-01, -1.851050165978051e+00, -1.869123582667019e+00
1403, 1.222792565822600e-01, -3.963808196797751e-02, -1.907744879746339e-03, 7.599396708136867e-06, 3.671819588112064e-05, 3.899836719757823e-08, -4.762268508240000e-05, -2.532172849628015e-01, -1.763284753587987e+00, -1.781318700084126e+00
1429, 1.134960949420930e-01, -3.827683977944561e-02, -1.676994796673733e-03, 8.948492446318240e-06, 4.303636032129506e-05, 4.470146792294769e-08, -4.773017982496546e-05, -2.583338356150333e-01, -1.698050674123544e+00, -1.717541816184784e+00
1455, 1.051684617996220e-01, -3.690481117217241e-02, -1.552088839038585e-03, 7.608036077550522e-06, 3.453589252073013e-05, 2.752653332077562e-08, -4.431209957403237e-05, -2.595261292801064e-01, -1.612066600693450e+00, -1.632789286799581e+00
1481, 9.719923138618471e-02, -3.554488709620543e-02, -1.288978503725814e-03, 7.998942137465982e-06, 3.567770369227682e-05, 3.592433969681903e-08, -4.264009775544690e-05, -2.525243087242739e-01, -1.518347042949252e+00, -1.539144775815347e+00
