"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , 0.218805        , 0.001           
1               , 0.165324        , 0.001           
2               , 0.0529129       , 0.001           
3               , -0.097916       , 0.001           
4               , -0.27713        , 0.001           
5               , -0.477447       , 0.001           
6               , -0.69219        , 0.001           
7               , -0.914457       , 0.001           
8               , -1.1369         , 0.001           
9               , -1.35197        , 0.001           
10              , -1.55266        , 0.001           
11              , -1.73348        , 0.001           
12              , -1.89127        , 0.001           
13              , -2.02513        , 0.001           
14              , -2.13513        , 0.001           
15              , -2.22144        , 0.001           
16              , -2.29147        , 0.001           
17              , -2.41646        , 0.001           
18              , -3.27067        , 0.001           
19              , -1.51651        , 0.001           
20              , 0.038284        , 0.001           
21              , 1.08028         , 0.001           
22              , 1.69317         , 0.001           
23              , 2.01867         , 0.001           
24              , 2.16846         , 0.001           
25              , 2.21629         , 0.001           
26              , 2.2054          , 0.001           
27              , 2.1582          , 0.001           
28              , 2.08446         , 0.001           
29              , 1.9873          , 0.001           
30              , 1.86758         , 0.001           
31              , 1.72763         , 0.001           
32              , 1.57411         , 0.001           
33              , 1.41704         , 0.001           
34              , 1.25947         , 0.001           
35              , 1.07779         , 0.001           
36              , 0.816145        , 0.001           
37              , 0.45703         , 0.001           
