"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , 0.0509965       , 0.001           
1               , 0.061094        , 0.001           
2               , 0.06949         , 0.001           
3               , 0.0774049       , 0.001           
4               , 0.085162        , 0.001           
5               , 0.0927804       , 0.001           
6               , 0.100127        , 0.001           
7               , 0.106988        , 0.001           
8               , 0.113119        , 0.001           
9               , 0.11831         , 0.001           
10              , 0.122454        , 0.001           
11              , 0.125629        , 0.001           
12              , 0.128142        , 0.001           
13              , 0.130485        , 0.001           
14              , 0.133152        , 0.001           
15              , 0.136368        , 0.001           
16              , 0.14028         , 0.001           
17              , 0.14832         , 0.001           
18              , 0.208529        , 0.001           
19              , 0.0745924       , 0.001           
20              , -0.0240677      , 0.001           
21              , -0.106999       , 0.001           
22              , -0.172567       , 0.001           
23              , -0.222207       , 0.001           
24              , -0.256141       , 0.001           
25              , -0.272906       , 0.001           
26              , -0.270034       , 0.001           
27              , -0.245254       , 0.001           
28              , -0.197985       , 0.001           
29              , -0.131155       , 0.001           
30              , -0.0532407      , 0.001           
31              , 0.0202652       , 0.001           
32              , 0.0685202       , 0.001           
33              , 0.0745853       , 0.001           
34              , 0.0429007       , 0.001           
35              , 0.00664103      , 0.001           
36              , -0.00527297     , 0.001           
37              , -0.00952064     , 0.001           
