"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.321132130685446e-03, -1.674820845563821e-02, 8.552131352591639e-06, 4.002706855745575e-05, 3.967961279387265e-08, -1.041691040587068e-04, -2.452044424893122e-01, -2.560652398353478e+00, -2.572351639592815e+00
51, 9.695732593536380e-01, 3.185618671327797e-03, -1.445248498377572e-02, 7.410253323582022e-06, 4.573689343172443e-05, 4.996252104940378e-08, -5.888938349178883e-05, -1.440790227223084e-01, -1.649112108201158e+00, -1.655387969377726e+00
77, 9.526804089546200e-01, 4.268990972518460e-03, -1.450790887927606e-02, 4.264396295759172e-06, 2.142029731447860e-05, 2.351835560533341e-08, -4.008543013676810e-05, -2.378514895109313e-02, -1.219854400547557e+00, -1.220085733695724e+00
103, 9.349957108497620e-01, 3.892078362263702e-03, -1.582202136284937e-02, 4.196459361325147e-06, -5.995235453953033e-06, -8.295085706204508e-10, -2.952149662776300e-05, 5.286582712281079e-02, -1.054147429950048e+00, -1.055472206719345e+00
129, 9.168222546577450e-01, 2.475580436741532e-03, -1.698008918366080e-02, 5.895396040801133e-06, -2.267006891352556e-05, -1.217153655826235e-08, -2.526755126750195e-05, 9.224628173680999e-02, -1.045128262545281e+00, -1.049189533776836e+00
155, 8.983380794525150e-01, 5.880567349468262e-04, -1.780430971576665e-02, 7.276493487182378e-06, -3.114086278973313e-05, -1.539821754945211e-08, -2.417714653562640e-05, 1.184833501516717e-01, -1.100079385477612e+00, -1.106439683246466e+00
181, 8.797067403793331e-01, -1.591364111349322e-03, -1.842263776816151e-02, 8.413756222551632e-06, -3.681298532524341e-05, -1.624688264461894e-08, -2.390600917472257e-05, 1.425550430853013e-01, -1.178151062763051e+00, -1.186742100792199e+00
207, 8.610174655914310e-01, -3.999442767521873e-03, -1.892479186256187e-02, 9.361178757801778e-06, -4.103678045606007e-05, -1.577258358631529e-08, -2.371546102442846e-05, 1.650767775680811e-01, -1.259822019115244e+00, -1.270588675695125e+00
233, 8.422674536705020e-01, -6.572228425301758e-03, -1.930513827165930e-02, 1.039449650954147e-05, -4.610899631629611e-05, -1.889170010895020e-08, -2.327742070491449e-05, 1.859626851455227e-01, -1.337162079350170e+00, -1.350027802396312e+00
259, 8.235722184181210e-01, -9.294129844789105e-03, -1.950163275673226e-02, 1.092783104017614e-05, -4.741869856835696e-05, -1.093587649503800e-08, -2.340341257752407e-05, 2.051586857609483e-01, -1.402743705398493e+00, -1.417663887707472e+00
285, 8.049457669258120e-01, -1.211182189964106e-02, -1.949055441110734e-02, 1.148816325263846e-05, -5.015467531050081e-05, -1.793912305835418e-08, -2.288057445531633e-05, 2.169793343309113e-01, -1.452877042067224e+00, -1.468985285097604e+00
311, 7.863141298294070e-01, -1.495534959985197e-02, -1.916955318905645e-02, 1.174499198166269e-05, -5.154423885981652e-05, -1.628090016026151e-08, -2.127856704409344e-05, 2.278627556239490e-01, -1.502958479738813e+00, -1.520125902918866e+00
