"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.329692183483376e-03, 1.514399490657096e-01, 1.363295724124824e-05, 2.813318785481073e-04, 2.713703299102085e-07, 3.807009736142109e-04, 3.884416394192279e-01, 1.082355789205023e+00, 1.115768510731947e+00
51, 9.695732593536380e-01, 3.227332532297688e-03, 1.183980366462990e-01, 3.077362888261299e-05, 2.585137130321619e-04, 6.142780176025797e-08, -1.378396969386167e-04, 1.356897792695951e-01, 9.426146095568156e-01, 9.510881628921659e-01
77, 9.526804089546200e-01, 4.344087004682453e-03, 9.435357711085156e-02, 9.698225956156025e-06, 2.718844715016893e-04, 9.512184180624627e-08, -2.114433177351328e-04, 3.377706100804183e-02, 7.383763795145093e-01, 7.389389033980691e-01
103, 9.349957108497620e-01, 3.984553827358343e-03, 8.094379571709848e-02, -9.852547656738708e-06, 2.752713753099191e-04, 1.178545003643925e-07, -2.222085894248642e-04, -2.768297041068994e-02, 6.551523389181195e-01, 6.557203452344321e-01
129, 9.168222546577450e-01, 2.573285255121433e-03, 7.123173884017531e-02, -1.983190827533092e-05, 2.739804347476410e-04, 9.237808153290047e-08, -2.522018524029581e-04, -4.572130470058939e-02, 6.637049460471631e-01, 6.651308631317823e-01
155, 8.983380794525150e-01, 6.836460297258789e-04, 6.383323345723893e-02, -2.446598803648499e-05, 2.700074969511679e-04, 6.359152083020855e-08, -2.924759813297075e-04, -6.126506232350619e-02, 6.832571457381114e-01, 6.858612491415725e-01
181, 8.797067403793331e-01, -1.504183945254245e-03, 5.783780448548789e-02, -2.721526789322735e-05, 2.640704469221829e-04, 3.883706760998050e-08, -3.307859664660374e-04, -7.279214376903420e-02, 7.025959105376763e-01, 7.062199803730093e-01
207, 8.610174655914310e-01, -3.926584746384732e-03, 5.279049751169479e-02, -2.890593282136484e-05, 2.575863740461644e-04, 1.553019088443404e-08, -3.649011016495765e-04, -8.437153986896728e-02, 7.310682890325187e-01, 7.357983758828719e-01
233, 8.422674536705020e-01, -6.518499651532939e-03, 4.796083778253826e-02, -2.929244157956821e-05, 2.452132752232918e-04, -1.938382385304048e-08, -3.951569969112247e-04, -9.222513386202633e-02, 7.470990432037067e-01, 7.526378981875205e-01
259, 8.235722184181210e-01, -9.262543695435487e-03, 4.272370369143463e-02, -2.973747067626685e-05, 2.390220643586743e-04, -1.369041368536303e-08, -4.273723737364218e-04, -8.173026205970602e-02, 6.540830474367689e-01, 6.589759282543773e-01
285, 8.049457669258120e-01, -1.210365776737922e-02, 3.737496580680175e-02, -2.855910494279697e-05, 2.293325664642258e-04, -4.879236550790179e-08, -4.565958465762158e-04, -3.415758266311211e-02, 3.082718006224123e-01, 3.098892216158521e-01
311, 7.863141298294070e-01, -1.497055456040857e-02, 3.352896566929171e-02, -2.769342053940987e-05, 2.178633741286050e-04, -6.022143112604866e-08, -4.724197680416480e-04, 4.011566736865823e-03, 8.664296658143127e-02, 8.498832387978703e-02
337, 7.678796052932740e-01, -1.788796435254227e-02, 3.031137839059216e-02, -3.102312657494976e-05, 2.384883378342304e-04, -1.326809940779252e-08, -4.878013709784790e-04, 9.825748372337847e-03, 3.799909583368567e-02, 3.599159076445545e-02
363, 7.495508193969730e-01, -2.079952087102429e-02, 2.642379980587842e-02, -2.888850486066558e-05, 2.252607521179341e-04, -5.108575608652185e-08, -4.938480292329131e-04, 5.260637539824142e-03, 6.133892099150506e-02, 5.975368938752307e-02
389, 7.313483357429500e-01, -2.369191500051819e-02, 2.266173619768695e-02, -2.308269289016040e-05, 1.880605135716745e-04, -7.946100931155842e-08, -4.915957143890424e-04, -4.129219360924662e-03, 1.212803271930736e-01, 1.204400299495770e-01
415, 7.132214307785030e-01, -2.653621532059375e-02, 2.079905286744544e-02, -2.150654804673105e-05, 1.787610273730630e-04, -1.244624027153958e-07, -4.869887064429856e-04, -1.285207266767188e-02, 1.556464883214655e-01, 1.557679156306828e-01
441, 6.951977014541630e-01, -2.932981069711367e-02, 1.892743809366912e-02, -2.142187405567624e-05, 1.805361311493087e-04, -7.078853624337263e-08, -4.882114932329840e-04, -8.593974420315204e-03, 1.732224435078174e-01, 1.725095613489548e-01
467, 6.773055195808410e-01, -3.207279774741446e-02, 1.669232050851581e-02, -1.881648234549967e-05, 1.700142401689711e-04, -1.262208613252584e-07, -4.873183507010383e-04, -6.500944440835979e-03, 1.112737894710865e-01, 1.109927332968861e-01
