"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,           0,       -4.27384213,      -6.334648791,      -6.584512888,      -8.420641007,      -2.804481219
          0,           0,           1,      -4.251589998,      -6.445200099,      -5.997127936,      -8.601655615,      -3.080866288
          0,           0,           2,      -4.218471595,      -6.493410708,      -6.002012284,      -8.782324994,      -3.395743059
          0,           0,           3,      -4.191238955,      -6.495297675,      -6.063437627,      -8.918986911,      -3.683304214
          0,           0,           4,      -4.151903585,      -6.474949747,      -6.138800214,      -9.009850203,      -3.927294546
          0,           0,           5,      -4.102759645,      -6.449035268,      -6.210792932,      -9.079398452,      -4.116146995
          0,           0,           6,       -4.05793124,      -6.428021082,      -6.276188079,      -9.145673475,      -4.250488726
          0,           0,           7,      -4.027750329,      -6.417840207,      -6.339328393,      -9.212800577,      -4.337244758
          0,           0,           8,      -4.015972321,      -6.420990691,      -6.404313122,      -9.278242148,      -4.386464976
          0,           0,           9,      -4.022297085,      -6.437404486,      -6.471044636,      -9.338697098,      -4.411227949
          0,           0,          10,      -4.044229884,      -6.465063114,      -6.536394062,      -9.392084436,      -4.423221685
          0,           0,          11,       -4.07773353,      -6.500353581,      -6.596822678,      -9.437818267,      -4.429777436
          0,           0,          12,      -4.117377192,      -6.538421069,      -6.650369725,      -9.476625817,      -4.434536868
          0,           0,          13,      -4.156803544,       -6.57397943,      -6.697119188,      -9.510032258,      -4.439054549
          0,           0,          14,      -4.190187589,      -6.602790573,      -6.738229803,      -9.539679929,      -4.443896908
          0,           0,          15,      -4.214322268,      -6.623114261,        -6.7746785,      -9.566814499,      -4.449191541
          0,           0,          16,      -4.229568572,      -6.635893117,      -6.806745725,      -9.592085445,      -4.454874857
          0,           0,          17,      -4.238631717,      -6.643515599,      -6.834321256,      -9.615596785,      -4.460811142
          0,           0,          18,      -4.244489582,      -6.648341876,      -6.857476484,      -9.637093841,      -4.466859701
          0,           0,          19,      -4.249164718,      -6.651946642,      -6.876741836,      -9.656196635,      -4.472914959
          0,           0,          20,      -4.253579312,      -6.655075601,      -6.892926698,      -9.672608198,      -4.478926245
          0,           0,          21,      -4.257917254,      -6.657914462,      -6.906721517,      -9.686241805,      -4.484900391
