"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.289826702796261e-03, 1.596583813934666e-01, 1.145689800081347e-05, 2.850451621375583e-04, 2.775073224704994e-07, 4.167453516120285e-04, 3.914901720213237e-01, 1.120474160881255e+00, 1.152351830807040e+00
51, 9.695732593536380e-01, 3.047026239315014e-03, 1.239500530317095e-01, 2.924983906522917e-05, 2.596614809189535e-04, 6.135922451699567e-08, -1.342901575212023e-04, 1.324706411759113e-01, 9.607411225397624e-01, 9.684984945833951e-01
77, 9.526804089546200e-01, 4.064119249214878e-03, 9.845259620166649e-02, 9.190915889344704e-06, 2.733069263077388e-04, 9.490102302643361e-08, -2.176195808239310e-04, 3.369811662815855e-02, 7.752835009251100e-01, 7.757916686964481e-01
103, 9.349957108497620e-01, 3.718570837299365e-03, 8.433613554842248e-02, -9.172274256959670e-06, 2.768098347726596e-04, 1.187334396719995e-07, -2.320296461876770e-04, -2.674333531819460e-02, 6.947129703360673e-01, 6.952039670689515e-01
129, 9.168222546577450e-01, 2.387982644355995e-03, 7.424401328380148e-02, -1.865253704582310e-05, 2.755907352181740e-04, 9.415810201599425e-08, -2.639544955183757e-04, -4.430550789528578e-02, 6.953226028879480e-01, 6.965748681955746e-01
155, 8.983380794525150e-01, 5.980569679499920e-04, 6.662193815643129e-02, -2.323784319005225e-05, 2.716303112724807e-04, 6.640243045017539e-08, -3.022119221792298e-04, -5.823512724055889e-02, 7.023549635797027e-01, 7.046049269917414e-01
181, 8.797067403793331e-01, -1.487669520017426e-03, 6.045575222200662e-02, -2.606402996353260e-05, 2.656633271696908e-04, 4.273164432546769e-08, -3.370048561815805e-04, -6.922039141434810e-02, 7.150490283451699e-01, 7.182328384032193e-01
207, 8.610174655914310e-01, -3.808629572576769e-03, 5.522133956504961e-02, -2.783862353577190e-05, 2.591317550303438e-04, 2.053679918451107e-08, -3.674850446392793e-04, -7.967329145679168e-02, 7.332547557048767e-01, 7.374284213522305e-01
233, 8.422674536705020e-01, -6.301173130144196e-03, 5.016341958745869e-02, -2.835131583967335e-05, 2.467514134535354e-04, -1.306407031730090e-08, -3.943077530687325e-04, -8.438436174819731e-02, 7.254597873908142e-01, 7.301949019651164e-01
259, 8.235722184181210e-01, -8.950950216970456e-03, 4.472581507931148e-02, -2.887699850527042e-05, 2.404356999483944e-04, -6.517869011366527e-09, -4.231226450073272e-04, -6.846821206989015e-02, 5.918609693841984e-01, 5.955638738210269e-01
285, 8.049457669258120e-01, -1.170552074472147e-02, 3.950503035359988e-02, -2.788714316366735e-05, 2.306118254803419e-04, -4.176234376637966e-08, -4.481213116854531e-04, -2.608343942382889e-02, 2.698205271962943e-01, 2.707209494383904e-01
311, 7.863141298294070e-01, -1.449529612841014e-02, 3.618000564676201e-02, -2.750596177176150e-05, 2.206924052424552e-04, -5.151474749976014e-08, -4.601752528310087e-04, 3.484436245826990e-03, 9.787122805151802e-02, 9.623264310691812e-02
337, 7.678796052932740e-01, -1.734704848709107e-02, 3.360368412950862e-02, -3.219422093344664e-05, 2.492611971084096e-04, 2.492158252153249e-09, -4.740168039379703e-04, 8.590491639178148e-03, 5.283665433913343e-02, 5.089253428994508e-02
363, 7.495508193969730e-01, -2.020454360933008e-02, 2.939633355524142e-02, -3.020348033647914e-05, 2.364681062725352e-04, -3.234695411821733e-08, -4.818259772637898e-04, 6.971494293861280e-03, 5.761328658623247e-02, 5.584658999955658e-02
389, 7.313483357429500e-01, -2.305456828715635e-02, 2.476923179648838e-02, -2.324019811797627e-05, 1.908827711683853e-04, -7.289898358712577e-08, -4.802349956467197e-04, -3.511730434166697e-04, 1.040773119861844e-01, 1.028894220659190e-01
415, 7.132214307785030e-01, -2.586780376596006e-02, 2.267986904236367e-02, -2.169052562576470e-05, 1.800933852420847e-04, -1.156427977172986e-07, -4.729958518362072e-04, -9.567299335718083e-03, 1.423896644655310e-01, 1.421804171211486e-01
441, 6.951977014541630e-01, -2.864121518395900e-02, 2.065573825101271e-02, -2.161978716056858e-05, 1.815256671379306e-04, -6.357944480514774e-08, -4.733720973400158e-04, -5.933287749787190e-03, 1.607631193560392e-01, 1.598055294285454e-01
467, 6.773055195808410e-01, -3.137426594491648e-02, 1.829860887541271e-02, -1.913329097571003e-05, 1.711180726835078e-04, -1.172403334313021e-07, -4.726293728663174e-04, -4.585193439664993e-03, 1.050869676427221e-01, 1.045919847817286e-01
