"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,           0,      -5.039340456,      -7.108169505,      -7.196661435,      -9.325198413,      -3.572597572
          0,           0,           1,      -5.029636192,      -7.236829304,      -6.932635176,      -9.525401685,      -3.846635013
          0,           0,           2,      -5.008833956,      -7.306015021,        -6.9400554,      -9.726656436,      -4.151654361
          0,           0,           3,      -5.013513513,      -7.347792733,      -7.012179939,       -9.88731154,      -4.417994666
          0,           0,           4,      -5.027986324,      -7.370817555,      -7.097045635,      -9.997523008,      -4.630344472
          0,           0,           5,      -5.036036988,       -7.38013103,      -7.181484172,      -10.07157954,      -4.787885481
          0,           0,           6,       -5.03481539,      -7.382393736,      -7.256272948,      -10.13486539,      -4.902342671
          0,           0,           7,      -5.031984797,      -7.385501884,      -7.321021431,      -10.19728584,      -4.985857167
          0,           0,           8,       -5.03486556,      -7.394169586,      -7.380839044,      -10.25610911,      -5.046922657
          0,           0,           9,      -5.045659749,       -7.40861308,      -7.437661794,       -10.3073664,      -5.091552646
          0,           0,          10,      -5.062432624,      -7.426007886,      -7.490433552,      -10.34978555,      -5.124375179
          0,           0,          11,      -5.081372941,      -7.442667067,      -7.538236201,      -10.38411495,      -5.148971051
          0,           0,          12,      -5.098818666,      -7.455938053,      -7.581008647,      -10.41198883,        -5.1679696
          0,           0,          13,      -5.112637225,      -7.465072915,      -7.618660861,      -10.43515202,      -5.183204979
          0,           0,          14,      -5.122554499,      -7.470823011,      -7.650775567,      -10.45478345,      -5.195929863
          0,           0,          15,       -5.12953688,      -7.474453653,      -7.677248435,      -10.47115221,      -5.207005539
          0,           0,          16,      -5.134917645,      -7.477051068,      -7.698776909,       -10.4838447,      -5.217037316
          0,           0,          17,      -5.139815033,      -7.479347705,      -7.716486471,      -10.49238764,      -5.226463566
          0,           0,          18,      -5.144890718,      -7.481797401,      -7.731126205,      -10.49685484,      -5.235612091
          0,           0,          19,      -5.150281019,      -7.484629058,      -7.742669836,      -10.49809084,      -5.244732676
          0,           0,          20,      -5.155609568,      -7.487811534,      -7.750668379,      -10.49746164,      -5.254012419
          0,           0,          21,      -5.160103425,      -7.491009984,      -7.755025486,      -10.49636134,      -5.263580433
          0,           0,          22,      -5.162850586,      -7.493636851,      -7.756524239,      -10.49579385,      -5.273508318
          0,           0,          23,      -5.163153015,      -7.495035881,       -7.75668383,      -10.49619814,       -5.28381167
          0,           0,          24,      -5.160821451,      -7.494739604,      -7.757135335,      -10.49750707,      -5.294455846
          0,           0,          25,      -5.156246461,      -7.492669593,      -7.759013948,      -10.49934688,      -5.305366835
          0,           0,          26,      -5.150213823,      -7.489165307,      -7.762673304,      -10.50127421,      -5.316445814
          0,           0,          27,      -5.143595834,      -7.484833237,      -7.767733309,      -10.50296231,       -5.32758464
          0,           0,          28,      -5.137092291,       -7.48031556,      -7.773347413,      -10.50428125,      -5.338679269
          0,           0,          29,      -5.131113286,      -7.476099682,      -7.778563907,      -10.50526808,      -5.349639009
          0,           0,          30,        -5.1257956,      -7.472434061,      -7.782656223,      -10.50603295,      -5.360390987
          0,           0,          31,      -5.121093643,      -7.469347023,      -7.785309297,      -10.50666512,      -5.370880625
