"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
25, 9.853970408439640e-01, 1.340400065572934e-03, 2.844400462348538e-01, 2.003921379108144e+00, -2.022542189008872e+00
51, 9.695732593536380e-01, 3.313352578105849e-03, 1.391464483025927e-01, 2.272125145233042e+00, -2.274705617321407e+00
77, 9.526804089546200e-01, 4.607905572894831e-03, 5.788210469913756e-02, 5.921679274436177e-01, -5.938089600442317e-01
103, 9.349957108497620e-01, 4.503862610894714e-03, -6.648861660591562e-03, 2.428174185406783e-01, -2.429018553288356e-01
129, 9.168222546577450e-01, 3.361918663288960e-03, -2.864563511531136e-02, 3.260077988562811e-01, -3.272430048140753e-01
155, 8.983380794525150e-01, 1.699832968420023e-03, -2.756800633407375e-02, 2.773974198183518e-01, -2.787639185869388e-01
181, 8.797067403793331e-01, -3.312914532178680e-04, -2.868043721016302e-02, 2.277651231599862e-01, -2.295552044095736e-01
207, 8.610174655914310e-01, -2.672694612121719e-03, -2.934049591401419e-02, 2.288095337228206e-01, -2.306819306129122e-01
233, 8.422674536705020e-01, -5.250526135861685e-03, -1.750614781607481e-02, 1.435570850066377e-01, -1.445891257580760e-01
259, 8.235722184181210e-01, -8.033263042597966e-03, -3.732395385185710e-02, 2.041305528684536e-01, -2.074257446707077e-01
285, 8.049457669258120e-01, -1.095074065603890e-02, -3.282435069832249e-02, 2.232346899679452e-01, -2.256221496308755e-01
311, 7.863141298294070e-01, -1.391897924200351e-02, -3.918651426824304e-03, 3.248794398723436e-02, -3.269664943193710e-02
337, 7.678796052932740e-01, -1.695118837826614e-02, -3.440938321813285e-02, 1.779672174619727e-01, -1.811946907298397e-01
363, 7.495508193969730e-01, -1.998398843861941e-02, -2.996625804021664e-02, 1.798137649080037e-01, -1.822935236446993e-01
389, 7.313483357429500e-01, -2.299908998239515e-02, -2.279515632558781e-02, 1.454262315058344e-01, -1.471975744208164e-01
415, 7.132214307785030e-01, -2.596518389332162e-02, -1.716718292920666e-03, 3.022562282129771e-02, -3.010923277477996e-02
441, 6.951977014541630e-01, -2.887833934450339e-02, -2.004883855226578e-02, 9.259875686855079e-02, -9.460702149741101e-02
467, 6.773055195808410e-01, -3.173843128117835e-02, -4.030450782461949e-02, 2.400243802416805e-01, -2.433733388834767e-01
493, 6.594728827476500e-01, -3.452142725194508e-02, 2.047506196539498e-02, -7.878039006866044e-02, 8.098899023000597e-02
519, 6.418011188507080e-01, -3.725073896504986e-02, -8.667204717883879e-03, 3.356374956379387e-02, -3.449107513337200e-02
545, 6.243042349815370e-01, -3.992891506317097e-02, -5.755644921293677e-02, 3.490126573861317e-01, -3.536719942447806e-01
