"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
25, 9.853970408439640e-01, 1.340400065572934e-03, 4.669848168650745e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.063669247982622e+05, 0.000000000000000e+00, 4.254676991930488e+04, 3.173906871164423e+02, 0.000000000000000e+00, 2.775713289716136e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927069628328956e-05, 2.459845989398042e-03, -2.541239406481496e-04, -3.292061144192028e+02, 2.392937695500440e+00, 0.000000000000000e+00
51, 9.695732593536380e-01, 3.313352578105849e-03, 4.812481599337705e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.097026940809355e+05, 0.000000000000000e+00, 4.388107763237418e+04, 3.176424577969158e+02, 0.000000000000000e+00, 3.694333154730706e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928228225883184e-05, 1.661620412996213e-03, -1.659508799349237e-04, -9.488092117303945e+01, 1.998861575112413e+00, 0.000000000000000e+00
77, 9.526804089546200e-01, 4.607905572894831e-03, 4.867186087402442e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.109959860831677e+05, 0.000000000000000e+00, 4.439839443326707e+04, 3.177749502978969e+02, 0.000000000000000e+00, 4.050486000997967e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928837747072890e-05, 1.221542594246348e-03, -4.205788949341479e-05, -1.942580645933987e+01, 1.709452037936626e+00, 0.000000000000000e+00
103, 9.349957108497620e-01, 4.503862610894714e-03, 4.863543919354990e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.109232017943421e+05, 0.000000000000000e+00, 4.436928071773682e+04, 3.178043896449456e+02, 0.000000000000000e+00, 4.030442320542167e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928973163372366e-05, 1.022826532951826e-03, 3.554082734722904e-05, 1.609983962092530e-01, 1.563503348302400e+00, 0.000000000000000e+00
129, 9.168222546577450e-01, 3.361918663288960e-03, 4.843024793699921e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.104498809362361e+05, 0.000000000000000e+00, 4.417995237449445e+04, 3.177890262512160e+02, 0.000000000000000e+00, 3.900096992092652e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928902494986592e-05, 9.749933573877453e-04, 7.457956695850473e-05, -8.129768394654837e-01, 1.527583225958238e+00, 0.000000000000000e+00
155, 8.983380794525150e-01, 1.699832968420023e-03, 4.817774436880565e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.098619605232383e+05, 0.000000000000000e+00, 4.394478420929530e+04, 3.177541406785335e+02, 0.000000000000000e+00, 3.738192698161809e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928742022400215e-05, 9.938200215660997e-04, 9.889088778623829e-05, -6.268629286674584e+00, 1.541388872623485e+00, 0.000000000000000e+00
181, 8.797067403793331e-01, -3.312914532178680e-04, 4.786573409243274e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.091326383862901e+05, 0.000000000000000e+00, 4.365305535451603e+04, 3.177022332023990e+02, 0.000000000000000e+00, 3.537348531128001e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928503233437805e-05, 1.037182187465773e-03, 1.215175006933550e-04, -1.095582080468499e+01, 1.572121327913807e+00, 0.000000000000000e+00
207, 8.610174655914310e-01, -2.672694612121719e-03, 4.752936602716348e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.083433999307864e+05, 0.000000000000000e+00, 4.333735997231455e+04, 3.176367730330655e+02, 0.000000000000000e+00, 3.320004325932222e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928202070766930e-05, 1.092772912652865e-03, 1.435819665578106e-04, -1.519219192498812e+01, 1.610639082350906e+00, 0.000000000000000e+00
233, 8.422674536705020e-01, -5.250526135861685e-03, 4.715986268898499e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.074750669240434e+05, 0.000000000000000e+00, 4.299002676961736e+04, 3.175598067061018e+02, 0.000000000000000e+00, 3.080878690479794e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927847932435822e-05, 1.159441109641197e-03, 1.659827048429535e-04, -1.959156418379624e+01, 1.655060613782788e+00, 0.000000000000000e+00
259, 8.235722184181210e-01, -8.033263042597966e-03, 4.673579965332407e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.064791914269046e+05, 0.000000000000000e+00, 4.259167657076184e+04, 3.174719819766271e+02, 0.000000000000000e+00, 2.806629802972853e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.927443780440706e-05, 1.241566675469897e-03, 1.896269169101418e-04, -2.518099323758672e+01, 1.707108221409466e+00, 0.000000000000000e+00
