"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.605533633,      -4.681301612,      -4.742371126,      -4.558538919
          0,           0,           1,      -4.824774693,      -4.937442021,      -4.976951085,      -4.805761271
          0,           0,           2,      -4.984859837,      -5.114826249,      -5.151050244,      -4.982862808
          0,           0,           3,      -5.113854769,      -5.253509324,      -5.294825711,      -5.123986075
          0,           0,           4,      -5.222169716,      -5.363872865,      -5.420655043,      -5.240504563
          0,           0,           5,      -5.305874931,      -5.441358742,      -5.532691096,      -5.327001749
          0,           0,           6,       -5.37534388,       -5.49638592,      -5.637781711,      -5.394383325
          0,           0,           7,      -5.443242899,      -5.556258648,      -5.731310681,      -5.457531618
          0,           0,           8,      -5.508466743,      -5.618398741,       -5.81308958,      -5.518951532
          0,           0,           9,      -5.578884946,      -5.689244172,      -5.878770045,      -5.589499782
          0,           0,          10,      -5.649150789,      -5.762555124,      -5.940527317,      -5.660401284
          0,           0,          11,      -5.714157185,       -5.82959656,      -6.007832189,       -5.72596329
          0,           0,          12,      -5.780527778,      -5.897048391,      -6.073185068,      -5.794168697
          0,           0,          13,      -5.850040369,      -5.969415152,      -6.132373507,      -5.864986886
          0,           0,          14,      -5.916408292,      -6.035696278,      -6.193750934,      -5.930863971
          0,           0,          15,      -5.980380762,      -6.099594177,       -6.24906414,      -5.994179627
          0,           0,          16,      -6.043285407,      -6.163515943,      -6.301215452,      -6.057225771
          0,           0,          17,      -6.096434664,      -6.214244954,      -6.350037482,      -6.109637061
          0,           0,          18,      -6.140150486,      -6.253266299,      -6.396975135,      -6.151429691
          0,           0,          19,      -6.183320708,      -6.292226906,      -6.437153676,       -6.19268982
          0,           0,          20,      -6.225369696,      -6.331625809,      -6.475113262,      -6.232180117
          0,           0,          21,      -6.263024142,       -6.36589982,      -6.508010864,      -6.266691954
          0,           0,          22,      -6.306059672,      -6.404711437,      -6.543816713,      -6.307878375
          0,           0,          23,        -6.3442372,      -6.439190798,      -6.574231192,      -6.344722395
          0,           0,          24,      -6.375533896,      -6.466938813,      -6.605437059,      -6.373173064
          0,           0,          25,      -6.411569572,      -6.499958665,      -6.641615613,      -6.405939576
          0,           0,          26,      -6.454743139,      -6.537225272,      -6.689206616,      -6.446159642
          0,           0,          27,      -6.508090461,      -6.588105089,      -6.741222663,      -6.498592612
          0,           0,          28,      -6.560539044,      -6.638956999,      -6.790600299,       -6.55002195
          0,           0,          29,      -6.604890524,      -6.679297198,      -6.835264677,      -6.592055671
          0,           0,          30,      -6.652428101,       -6.72349384,      -6.877872285,        -6.6379273
          0,           0,          31,      -6.697792884,      -6.763773375,      -6.920422954,      -6.682192404
          0,           0,          32,      -6.737816634,      -6.800761991,      -6.955741397,      -6.721903499
          0,           0,          33,      -6.765721007,      -6.829177529,      -6.980487224,      -6.748675349
          0,           0,          34,      -6.791406641,      -6.856677455,      -7.000945127,      -6.773683524
          0,           0,          35,      -6.809763909,       -6.87432825,      -7.022889317,      -6.791122537
          0,           0,          36,      -6.833010698,        -6.8992181,      -7.043453296,       -6.81302884
          0,           0,          37,      -6.867854765,      -6.934786978,      -7.073160263,      -6.846832034
          0,           0,          38,      -6.918401395,       -6.98222444,      -7.119851858,      -6.896698814
          0,           0,          39,      -6.987647773,      -7.046000864,      -7.194614281,      -6.963911417
          0,           0,          40,      -7.087860528,       -7.14005679,      -7.305110447,      -7.059824142
          0,           0,          41,      -7.224443254,      -7.267450776,      -7.467112576,      -7.190337575
          0,           0,          42,      -7.404338379,      -7.435006692,      -7.685591137,      -7.365022682
          0,           0,          43,       -7.59649905,      -7.612021143,      -7.915717745,      -7.552461751
          0,           0,          44,      -7.730029825,      -7.734219377,      -8.064681091,      -7.681478975
          0,           0,          45,      -7.783349242,      -7.785123677,      -8.117157219,      -7.732746844
          0,           0,          46,      -7.802202067,      -7.806643884,      -8.143173862,      -7.751128879
          0,           0,          47,      -7.818995465,      -7.823211333,      -8.160224028,      -7.767776474
          0,           0,          48,       -7.83087153,      -7.834167627,      -8.182584608,      -7.779953773
          0,           0,          49,      -7.835444295,      -7.838199764,      -8.200443436,      -7.783948816
          0,           0,          50,      -7.839528058,      -7.841439795,      -8.206243542,       -7.78802316
          0,           0,          51,      -7.840664146,      -7.843462309,      -8.204921325,      -7.789046433
          0,           0,          52,      -7.842995272,      -7.846743123,       -8.19817224,      -7.791188782
          0,           0,          53,      -7.850073191,      -7.854374236,      -8.188997455,      -7.797979796
          0,           0,          54,       -7.84969152,      -7.855358774,      -8.187974224,      -7.797460946
          0,           0,          55,      -7.849875878,      -7.855613417,       -8.18444199,      -7.797649645
          0,           0,          56,      -7.849232855,      -7.855108253,      -8.184870208,      -7.797037202
          0,           0,          57,      -7.850325153,      -7.855755274,      -8.185347478,       -7.79812923
          0,           0,          58,      -7.853288851,       -7.85849431,      -8.187235334,      -7.800979481
          0,           0,          59,      -7.856398482,      -7.861961963,      -8.190029185,      -7.803771589
          0,           0,          60,      -7.858918116,       -7.86501947,      -8.193327281,      -7.806128625
          0,           0,          61,      -7.866801305,      -7.873383442,      -8.196099938,      -7.813861229
          0,           0,          62,      -7.872848319,      -7.879991282,      -8.202511745,      -7.819524462
          0,           0,          63,      -7.880387892,      -7.890327562,      -8.208531522,      -7.827033185
          0,           0,          64,      -7.882564502,      -7.892142333,      -8.214151421,      -7.829820364
          0,           0,          65,      -7.882704028,      -7.892010651,      -8.224888171,      -7.829848257
          0,           0,          66,      -7.887293848,      -7.896103813,      -8.231726792,      -7.834578707
          0,           0,          67,      -7.890637654,      -7.899795492,      -8.239568627,      -7.837867095
          0,           0,          68,      -7.894869766,      -7.903872176,      -8.241234518,      -7.842065717
          0,           0,          69,      -7.897020042,      -7.906318089,      -8.244050287,      -7.844207574
          0,           0,          70,      -7.905928672,      -7.914767462,      -8.243125796,      -7.853026529
          0,           0,          71,      -7.915054696,       -7.92423755,      -8.243673909,      -7.862033606
          0,           0,          72,      -7.918521138,      -7.928469861,      -8.249302025,      -7.865543124
          0,           0,          73,      -7.923259634,      -7.932997767,      -8.255772486,      -7.870384666
          0,           0,          74,      -7.929172237,      -7.938740663,      -8.269082822,      -7.876293711
          0,           0,          75,      -7.937883735,      -7.947284931,      -8.283505419,      -7.884985861
          0,           0,          76,      -7.947972258,      -7.957232843,       -8.29468474,       -7.89506586
          0,           0,          77,      -7.955600356,      -7.965188585,      -8.306081663,      -7.902695324
          0,           0,          78,      -7.960948488,      -7.970478683,      -8.314314081,      -7.907971087
          0,           0,          79,      -7.963781721,      -7.973124576,      -8.320293805,      -7.910847181
          0,           0,          80,      -7.964668905,      -7.974510349,      -8.326504667,      -7.912156951
          0,           0,          81,      -7.966359455,      -7.975836966,      -8.328334554,      -7.913913434
          0,           0,          82,      -7.966301347,      -7.975306629,      -8.329892461,      -7.913764844
          0,           0,          83,      -7.968331673,      -7.976110684,       -8.32543198,      -7.915608014
          0,           0,          84,      -7.969600446,      -7.977111887,      -8.322232995,      -7.916710479
          0,           0,          85,      -7.967172815,      -7.975832692,      -8.321595148,      -7.914488784
          0,           0,          86,      -7.966035966,       -7.97600957,      -8.318702141,      -7.914133449
          0,           0,          87,        -7.9669011,      -7.976769184,      -8.317362268,      -7.915121253
          0,           0,          88,      -7.976158685,      -7.984462284,      -8.317432861,      -7.924211038
          0,           0,          89,      -7.996105452,      -8.000793864,      -8.316185988,       -7.94321005
