"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.935271005,       -2.99931958,      -3.096908675,      -2.884089468
          0,           0,           1,       -3.08082983,      -3.140402932,      -3.295657144,      -3.025735632
          0,           0,           2,      -3.182331947,      -3.242539915,      -3.402410909,      -3.129088343
          0,           0,           3,      -3.250081431,      -3.316648762,       -3.46321601,      -3.203418909
          0,           0,           4,       -3.28197912,      -3.353504547,      -3.485659726,      -3.237608368
          0,           0,           5,      -3.310492974,      -3.390515296,      -3.505625857,       -3.27052292
          0,           0,           6,      -3.345068599,      -3.430257094,      -3.542233694,      -3.308161404
          0,           0,           7,      -3.384627934,      -3.473978796,      -3.585251487,      -3.351477721
          0,           0,           8,      -3.424848115,      -3.518746565,      -3.633380792,      -3.396416789
          0,           0,           9,      -3.472870901,      -3.574309129,      -3.684053837,       -3.45123001
          0,           0,          10,       -3.52209654,       -3.63060815,      -3.738440304,      -3.506260281
          0,           0,          11,      -3.573007241,      -3.688296725,      -3.795917204,      -3.562790728
          0,           0,          12,      -3.625919415,      -3.748949098,      -3.855383614,      -3.622200807
          0,           0,          13,      -3.683548024,      -3.817545428,       -3.91838501,      -3.687887452
          0,           0,          14,       -3.73780164,      -3.882149123,      -3.979953209,      -3.749345139
          0,           0,          15,      -3.794483238,      -3.949143386,      -4.039628397,      -3.812560874
          0,           0,          16,      -3.848380211,      -4.007573559,      -4.096980661,        -3.8681146
          0,           0,          17,      -3.912800383,      -4.076844427,      -4.161446715,      -3.935469173
          0,           0,          18,      -3.975274035,      -4.135576736,      -4.226243773,      -3.994321044
          0,           0,          19,      -4.066833555,      -4.229283543,      -4.316692999,      -4.088719675
          0,           0,          20,      -4.162693301,      -4.314891596,      -4.424066425,      -4.179963807
          0,           0,          21,      -4.288568647,      -4.438949691,      -4.554269947,      -4.308540866
          0,           0,          22,      -4.439672721,       -4.59036944,      -4.700382687,      -4.462387148
          0,           0,          23,      -4.625153915,      -4.778740893,      -4.897089135,      -4.650504001
          0,           0,          24,      -4.852423739,      -5.005636607,      -5.149147026,      -4.886265566
          0,           0,          25,      -5.096608476,      -5.240656751,      -5.422081812,      -5.136401164
          0,           0,          26,      -5.338404431,      -5.441446489,      -5.689023124,      -5.366622813
          0,           0,          27,      -5.532340945,      -5.581756707,      -5.862255219,      -5.526549918
          0,           0,          28,      -5.636434844,       -5.66053067,      -5.905618467,      -5.599831524
          0,           0,          29,      -5.678971442,       -5.71571903,      -5.894840002,      -5.630607237
          0,           0,          30,      -5.667287564,      -5.724356004,      -5.855165354,      -5.615305341
          0,           0,          31,      -5.623649773,      -5.695695792,      -5.799332084,      -5.571303402
          0,           0,          32,      -5.562014364,      -5.643217349,      -5.732524419,      -5.509540125
          0,           0,          33,      -5.491123767,      -5.577098014,      -5.658063029,      -5.438781851
          0,           0,          34,      -5.417867916,      -5.507883904,       -5.58252228,      -5.365440307
          0,           0,          35,      -5.340213209,      -5.432360162,      -5.502791003,      -5.287903906
          0,           0,          36,      -5.263564644,      -5.357665179,      -5.425479333,      -5.211188558
          0,           0,          37,      -5.184152129,      -5.279219753,      -5.345698739,       -5.13015414
