Point ID,Density,Eigenvalues_Density_0,Eigenvalues_Density_1,Eigenvalues_Mach_0,Eigenvalues_Mach_1,Eigenvalues_Pressure_0,Eigenvalues_Pressure_1,Energy,Gradient_Density_X,Gradient_Density_Y,Gradient_Mach_X,Gradient_Mach_Y,Gradient_Pressure_X,Gradient_Pressure_Y,Hessian_Density_XX,Hessian_Density_XY,Hessian_Density_YX,Hessian_Density_YY,Hessian_Mach_XX,Hessian_Mach_XY,Hessian_Mach_YX,Hessian_Mach_YY,Hessian_Pressure_XX,Hessian_Pressure_XY,Hessian_Pressure_YX,Hessian_Pressure_YY,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude
0,1.000000e+00,2.412657e-10,4.899753e-10,3.002122e-10,1.697745e-09,7.783269e-11,1.340358e-11,9.478429e-01,-7.858603e-12,-2.366107e-12,-2.664535e-11,-5.670131e-12,1.232792e-12,7.815970e-14,2.613553e-10,-6.777077e-11,-6.777077e-11,4.698857e-10,1.098175e-09,6.916899e-10,6.916899e-10,8.997829e-10,7.428060e-11,1.470512e-11,1.470512e-11,1.695567e-11,1.001413e+00,-3.430221e-14,0.000000e+00,1.001413e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.171242e+00,8.045714e+01,1.669840e+02,1.328270e+02,5.284163e+01,2.345016e+01,4.709809e+01,1.096331e+00,4.655163e+00,-3.667540e+00,-3.869667e+00,3.406499e+00,1.286071e+00,-9.845414e-01,1.386121e+02,4.061982e+01,4.061982e+01,1.088291e+02,1.304130e+02,1.368414e+01,1.368414e+01,5.525561e+01,3.961806e+01,1.099710e+01,1.099710e+01,3.093019e+01,1.117196e+00,7.718638e-02,0.000000e+00,1.119859e+00,5.000000e-01,0.000000e+00,0.000000e+00,5.000000e-01
2,1.520592e+00,1.127988e-01,2.022279e-01,1.921214e-02,2.339712e-01,4.731375e-03,3.084450e-04,1.387796e+00,-4.109349e-03,8.420981e-03,-4.907015e-04,-1.283544e-03,1.591939e-06,7.643694e-05,2.000812e-01,1.368815e-02,1.368815e-02,1.149454e-01,2.282319e-01,3.463564e-02,3.463564e-02,2.495144e-02,4.301495e-03,1.310166e-03,1.310166e-03,7.383253e-04,1.294648e+00,2.589323e-01,0.000000e+00,1.320288e+00,1.500000e+00,2.000000e-01,0.000000e+00,1.513275e+00
3,9.986511e-01,4.536950e-01,2.971678e+00,2.811976e+00,4.696606e-01,1.157527e-01,7.503394e-01,9.466969e-01,-4.121340e-03,-3.484728e-02,4.871684e-03,3.290463e-02,-1.050147e-03,-8.921138e-03,1.413676e+00,-1.222969e+00,-1.222969e+00,2.011697e+00,1.366445e+00,-1.138565e+00,-1.138565e+00,1.915192e+00,3.576793e-01,-3.082125e-01,-3.082125e-01,5.084128e-01,1.000440e+00,-7.769897e-06,0.000000e+00,1.000440e+00,1.500000e+00,1.000000e+00,0.000000e+00,1.802776e+00
4,1.000000e+00,7.437665e-13,4.536372e-13,6.551166e-13,1.508066e-12,2.233991e-13,1.004219e-13,9.478429e-01,2.131628e-14,-2.131628e-14,-1.421085e-14,2.842171e-14,5.329071e-15,-7.105427e-15,5.941810e-13,1.449942e-13,1.449942e-13,6.032227e-13,1.064638e-12,4.261375e-13,4.261375e-13,1.098544e-12,1.599943e-13,6.145871e-14,6.145871e-14,1.638267e-13,1.001413e+00,-1.556347e-17,0.000000e+00,1.001413e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00
5,1.000000e+00,8.271500e-10,7.313074e-10,4.556193e-09,3.338927e-10,1.097998e-10,5.199909e-10,9.478429e-01,-5.776712e-12,2.205525e-11,6.092904e-11,3.404921e-11,-7.051248e-12,5.204726e-13,8.194083e-10,2.611611e-11,2.611611e-11,7.390491e-10,2.145347e-09,-2.089769e-09,-2.089769e-09,2.744739e-09,1.324143e-10,-9.362090e-11,-9.362090e-11,4.973764e-10,1.001413e+00,1.943603e-13,0.000000e+00,1.001413e+00,3.846154e-02,0.000000e+00,0.000000e+00,3.846154e-02
6,1.000000e+00,1.027995e-08,3.364994e-10,4.818877e-09,2.957995e-08,4.659031e-09,4.407244e-10,9.478429e-01,1.531966e-10,-2.209788e-12,-3.638938e-10,-1.812168e-10,6.206458e-11,1.621991e-11,9.476763e-09,2.709486e-09,2.709486e-09,1.139683e-09,1.895694e-08,1.225516e-08,1.225516e-08,1.544189e-08,4.426469e-09,9.627749e-10,9.627749e-10,6.732871e-10,1.001413e+00,-1.761303e-12,0.000000e+00,1.001413e+00,7.692308e-02,0.000000e+00,0.000000e+00,7.692308e-02
7,1.000000e+00,1.641023e-08,1.293570e-07,1.761264e-07,1.703933e-08,3.868012e-09,3.958743e-08,9.478429e-01,-1.635220e-09,-1.862972e-10,2.136595e-09,1.619597e-09,-5.006546e-10,-1.929337e-10,2.553353e-08,-3.077681e-08,-3.077681e-08,1.202337e-07,8.529097e-08,-7.873797e-08,-7.873797e-08,1.078748e-07,5.837287e-09,-8.152503e-09,-8.152503e-09,3.761816e-08,1.001413e+00,1.796503e-11,0.000000e+00,1.001413e+00,1.153846e-01,0.000000e+00,0.000000e+00,1.153846e-01
8,1.000000e+00,1.150023e-06,1.801554e-07,1.128285e-07,1.013718e-06,2.997809e-07,4.341048e-08,9.478429e-01,1.401460e-08,4.456986e-09,-1.200794e-08,-8.266255e-09,3.602564e-09,1.586667e-09,1.071682e-06,2.642789e-07,2.642789e-07,2.584966e-07,6.272176e-07,4.458827e-07,4.458827e-07,4.993286e-07,2.856468e-07,5.851328e-08,5.851328e-08,5.754464e-08,1.001413e+00,-1.085213e-10,0.000000e+00,1.001413e+00,1.538462e-01,0.000000e+00,0.000000e+00,1.538462e-01
9,1.000000e+00,2.294410e-07,8.198223e-06,5.090947e-06,2.231493e-07,2.201784e-08,1.921504e-06,9.478429e-01,-1.097885e-07,-6.152732e-08,6.368957e-08,5.640186e-08,-2.531802e-08,-1.642573e-08,8.731208e-07,-2.171410e-06,-2.171410e-06,7.554542e-06,2.311535e-06,-2.409249e-06,-2.409249e-06,3.002561e-06,1.267399e-07,-4.335336e-07,-4.335336e-07,1.816782e-06,1.001413e+00,1.002377e-09,0.000000e+00,1.001413e+00,1.923077e-01,0.000000e+00,0.000000e+00,1.923077e-01
