"Inner_Iter",       "CD"       ,       "CL"       
           0,      0.2580950071,       1.884407303
           1,      0.2580776844,       1.884264244
           2,      0.2580579198,       1.884111044
           3,      0.2580346491,       1.883945557
           4,      0.2580072004,       1.883767603
           5,      0.2579756803,       1.883576201
           6,      0.2579406415,       1.883363707
           7,      0.2579201748,       1.883232924
           8,      0.2579000043,       1.883092331
           9,      0.2578814508,       1.882944204
          10,      0.2578660653,       1.882806252
          11,      0.2578616012,       1.882757808
          12,      0.2578561867,       1.882696254
          13,      0.2578532898,       1.882661303
          14,      0.2578492389,       1.882609165
          15,      0.2578426827,       1.882523752
          16,      0.2578373056,       1.882437243
          17,      0.2578350205,       1.882395653
          18,      0.2578330896,       1.882357602
          19,      0.2578312124,       1.882323493
          20,      0.2578267052,       1.882235306
          21,      0.2578246515,       1.882183575
          22,      0.2578232414,       1.882139821
          23,      0.2578262116,       1.882248083
          24,      0.2578200188,       1.882105697
          25,      0.2578179496,       1.881998577
          26,      0.2578177809,       1.881867947
          27,      0.2578183863,       1.881759559
          28,      0.2578192736,       1.881632871
          29,      0.2578191809,        1.88150332
          30,      0.2578163453,       1.881385628
          31,      0.2578141275,       1.881324541
          32,      0.2578105421,       1.881251635
          33,      0.2578021825,        1.88111135
          34,      0.2577918936,       1.880970339
          35,      0.2577803611,       1.880846475
          36,      0.2577720628,       1.880762796
          37,      0.2577721278,       1.880765041
          38,      0.2577731327,       1.880775788
          39,      0.2577733875,       1.880778501
          40,       0.257775891,       1.880802705
          41,      0.2577758589,       1.880802649
          42,      0.2577746406,       1.880789541
          43,      0.2577756283,       1.880800157
          44,      0.2577737391,       1.880779773
          45,      0.2577750471,       1.880793958
          46,      0.2577721967,       1.880762923
          47,      0.2577737642,       1.880779767
          48,      0.2577710948,       1.880750216
          49,      0.2577730529,       1.880770777
          50,      0.2577695338,       1.880733779
          51,      0.2577713408,       1.880753049
          52,      0.2577694554,        1.88073216
          53,      0.2577718916,       1.880756788
          54,      0.2577683381,       1.880720763
          55,      0.2577712675,       1.880749905
          56,      0.2577671792,       1.880703614
          57,       0.257761558,       1.880656881
          58,      0.2577533941,       1.880570465
          59,      0.2577493987,       1.880533543
          60,       0.257744784,       1.880480575
          61,      0.2577437214,       1.880470052
          62,      0.2577524292,       1.880552179
          63,      0.2577525956,       1.880557885
          64,      0.2577519853,       1.880551274
          65,      0.2577520442,       1.880552449
          66,      0.2577518782,       1.880550592
          67,      0.2577520573,        1.88055248
          68,      0.2577519258,       1.880551125
          69,      0.2577519589,       1.880551517
          70,       0.257751931,       1.880551179
          71,       0.257751955,       1.880551471
          72,      0.2577519354,       1.880551226
          73,      0.2577519536,       1.880551453
          74,      0.2577519382,       1.880551255
          75,      0.2577519532,       1.880551447
          76,      0.2577519402,       1.880551274
          77,      0.2577519533,       1.880551447
          78,      0.2577519417,       1.880551288
          79,      0.2577519537,       1.880551449
          80,      0.2577519429,       1.880551299
          81,      0.2577519542,       1.880551453
          82,      0.2577519439,       1.880551307
          83,      0.2577519547,       1.880551458
          84,      0.2577519447,       1.880551314
          85,      0.2577519551,       1.880551463
          86,      0.2577519455,       1.880551321
          87,      0.2577519556,       1.880551468
          88,      0.2577519461,       1.880551325
          89,      0.2577519561,       1.880551466
          90,      0.2577519484,       1.880551354
          91,      0.2577519552,       1.880551448
          92,      0.2577519506,       1.880551381
          93,      0.2577519544,       1.880551435
          94,       0.257751952,       1.880551399
          95,      0.2577519541,       1.880551428
          96,      0.2577519529,       1.880551409
          97,      0.2577519541,       1.880551426
          98,      0.2577519536,       1.880551417
          99,      0.2577519543,       1.880551426
         100,       0.257751954,       1.880551422
         101,      0.2577519545,       1.880551428
         102,      0.2577519544,       1.880551425
         103,      0.2577519547,       1.880551429
         104,      0.2577519547,       1.880551428
         105,      0.2577519549,       1.880551431
         106,       0.257751955,       1.880551431
         107,      0.2577519552,       1.880551432
         108,      0.2577519552,       1.880551433
         109,      0.2577519554,       1.880551434
         110,      0.2577519554,       1.880551434
