"Inner_Iter",       "CD"       ,       "CL"       
           0,      0.2465747957,       1.785821852
           1,      0.2465713623,       1.785819806
           2,      0.2465681357,       1.785817619
           3,      0.2465651613,       1.785815385
           4,      0.2465624475,        1.78581312
           5,       0.246559949,       1.785810806
           6,      0.2465575226,       1.785808418
           7,       0.246555017,       1.785805714
           8,       0.246552357,       1.785802435
           9,      0.2465495482,       1.785798204
          10,      0.2465466665,       1.785792431
          11,      0.2465438319,       1.785784336
          12,      0.2465410441,       1.785772965
          13,      0.2465380232,       1.785757431
          14,      0.2465339664,       1.785736787
          15,      0.2465276222,       1.785710348
          16,       0.246517562,       1.785677844
          17,      0.2465027887,       1.785639002
          18,      0.2464843491,         1.7855934
          19,      0.2464652951,       1.785539466
          20,      0.2464500234,       1.785475386
          21,      0.2464425167,       1.785399638
          22,      0.2464446248,       1.785312594
          23,      0.2464547344,       1.785215333
          24,      0.2464675594,       1.785110042
          25,      0.2464757807,       1.784996248
          26,       0.246472182,       1.784872309
          27,      0.2464512167,       1.784731688
          28,       0.246409894,       1.784570407
          29,       0.246348235,       1.784391831
          30,      0.2462693029,       1.784205633
          31,      0.2461893714,       1.784041214
          32,      0.2461127551,       1.783899555
          33,      0.2460595115,       1.783798647
          34,      0.2460357713,       1.783732825
          35,      0.2460325884,       1.783707088
          36,      0.2460394499,       1.783691916
          37,      0.2460578019,        1.78368493
          38,      0.2460877417,       1.783686585
          39,      0.2461261951,       1.783692054
          40,      0.2461692631,       1.783697922
          41,      0.2462119744,        1.78369911
          42,      0.2462521022,       1.783688923
          43,      0.2462863428,       1.783659102
          44,      0.2463134653,       1.783611501
          45,      0.2463352668,       1.783544058
          46,      0.2463517668,       1.783462241
          47,      0.2463637396,       1.783365953
          48,      0.2463728477,       1.783250942
          49,      0.2463761402,        1.78319249
          50,       0.246378144,       1.783128018
          51,       0.246379878,       1.783056058
          52,      0.2463801327,       1.782979769
          53,      0.2463800223,       1.782899262
          54,      0.2463815619,       1.782815644
          55,      0.2463853777,       1.782728563
          56,      0.2463936165,       1.782635397
          57,      0.2464052279,       1.782534135
          58,      0.2464117521,       1.782483114
          59,      0.2464199826,       1.782423913
          60,      0.2464286823,       1.782359135
          61,      0.2464373057,       1.782286631
          62,      0.2464448084,       1.782203949
          63,      0.2464488174,       1.782110568
          64,      0.2464484019,       1.782005424
          65,      0.2464395635,       1.781890136
          66,      0.2464244976,       1.781774822
          67,       0.246416195,       1.781715192
          68,      0.2464050455,       1.781651377
          69,      0.2463912704,        1.78158237
          70,      0.2463764504,       1.781506198
          71,      0.2463595169,       1.781422777
          72,      0.2463430684,       1.781329655
          73,      0.2463278408,        1.78122799
          74,       0.246316761,        1.78111405
          75,      0.2463117323,       1.781055809
          76,        0.24630852,       1.780990589
          77,      0.2463068447,       1.780917853
          78,      0.2463081307,       1.780835239
          79,      0.2463109898,       1.780740034
          80,      0.2463164283,       1.780631707
          81,      0.2463239862,       1.780505736
          82,      0.2463313697,       1.780362495
          83,      0.2463360905,       1.780212568
          84,      0.2463377767,       1.780057907
          85,      0.2463337217,       1.779899853
          86,      0.2463242935,        1.77974304
          87,      0.2463089754,       1.779582946
          88,      0.2462839469,       1.779408866
          89,      0.2462696635,       1.779322224
          90,      0.2462529374,       1.779227516
          91,      0.2462314289,       1.779123093
          92,      0.2462058261,       1.779009585
          93,      0.2461761167,       1.778884476
          94,      0.2461416539,       1.778749254
          95,      0.2461038919,       1.778598154
          96,      0.2460632369,        1.77843312
          97,      0.2460436436,       1.778350575
          98,      0.2460226783,       1.778259491
          99,      0.2460015628,        1.77815715
         100,      0.2459799867,       1.778047193
         101,      0.2459595155,       1.777922487
         102,      0.2459402004,       1.777788436
         103,      0.2459232693,       1.777639546
         104,      0.2459098962,       1.777476816
         105,      0.2458995509,       1.777300595
         106,        0.24589527,       1.777216508
         107,      0.2458914092,       1.777119086
         108,       0.245888195,         1.7770165
         109,      0.2458853277,       1.776906626
         110,      0.2458819566,       1.776787462
         111,      0.2458775118,       1.776658233
         112,       0.245871432,        1.77652418
         113,       0.245860687,       1.776378123
         114,      0.2458558367,       1.776306588
         115,      0.2458531683,       1.776272228
         116,       0.245851859,       1.776254797
         117,      0.2458509802,       1.776246426
         118,      0.2458500141,       1.776236987
         119,      0.2458490571,       1.776226286
         120,      0.2458480731,       1.776214481
         121,      0.2458469599,       1.776201542
         122,      0.2458456626,       1.776187285
         123,      0.2458441531,        1.77617171
         124,      0.2458424402,       1.776154706
         125,      0.2458405002,       1.776136074
         126,      0.2458383614,       1.776115618
         127,      0.2458358998,       1.776092997
         128,      0.2458331055,       1.776068614
         129,      0.2458298226,       1.776041592
         130,       0.245826116,       1.776012315
         131,      0.2458217427,       1.775979668
         132,      0.2458167815,       1.775944395
         133,      0.2458109143,       1.775905556
         134,      0.2458042547,       1.775863237
         135,      0.2457964935,       1.775815976
         136,      0.2457875538,       1.775764479
         137,      0.2457772304,       1.775706745
         138,      0.2457654371,        1.77564289
         139,      0.2457517585,        1.77557133
         140,      0.2457447687,       1.775534666
         141,      0.2457412218,       1.775516017
         142,      0.2457394402,       1.775506784
         143,      0.2457374574,        1.77549671
         144,      0.2457352672,       1.775485597
         145,      0.2457327968,       1.775473031
         146,      0.2457300745,       1.775459363
         147,      0.2457270639,       1.775443954
         148,      0.2457238059,       1.775427329
         149,      0.2457201093,       1.775408575
         150,       0.245716072,       1.775388278
         151,      0.2457115123,       1.775365118
         152,      0.2457065304,       1.775339881
         153,      0.2457007962,       1.775311374
         154,      0.2456944825,       1.775280123
         155,      0.2456872596,       1.775244727
         156,      0.2456792972,       1.775205634
         157,      0.2456752099,       1.775185607
         158,      0.2456731826,       1.775175718
         159,      0.2456709114,       1.775164803
         160,      0.2456684413,       1.775152596
         161,      0.2456656553,       1.775139152
         162,      0.2456626049,       1.775124188
         163,      0.2456610398,       1.775116818
         164,      0.2456602909,       1.775113067
         165,      0.2456594369,       1.775108962
         166,      0.2456585073,       1.775104456
         167,      0.2456574671,       1.775099453
         168,      0.2456563403,       1.775093944
