"Inner_Iter",       "CD"       ,       "CL"       
           0,      0.2444894551,        1.76557322
           1,       0.244488218,       1.765584635
           2,      0.2444870592,       1.765596337
           3,      0.2444857258,       1.765607658
           4,      0.2444835289,       1.765618396
           5,      0.2444803385,       1.765628667
           6,      0.2444761568,        1.76563856
           7,      0.2444709352,       1.765647803
           8,      0.2444648055,       1.765656033
           9,      0.2444581602,       1.765663309
          10,      0.2444513155,       1.765669632
          11,       0.244444548,       1.765675039
          12,      0.2444380418,        1.76567957
          13,      0.2444318767,       1.765683182
          14,       0.244426188,       1.765685961
          15,      0.2444210437,       1.765687995
          16,      0.2444164444,       1.765689372
          17,      0.2444123706,       1.765690216
          18,      0.2444087448,       1.765690585
          19,      0.2444055067,       1.765690573
          20,      0.2444025818,       1.765690243
          21,      0.2443999118,        1.76568965
          22,      0.2443974711,       1.765688819
          23,      0.2443952316,       1.765687788
          24,      0.2443931596,       1.765686589
          25,      0.2443911919,        1.76568525
          26,      0.2443893492,       1.765683819
          27,      0.2443876109,       1.765682327
          28,      0.2443859653,       1.765680795
          29,      0.2443843878,       1.765679255
          30,      0.2443828616,       1.765677728
          31,      0.2443813738,       1.765676217
          32,      0.2443799176,       1.765674727
          33,      0.2443784766,       1.765673245
          34,       0.244377033,       1.765671777
          35,      0.2443755787,       1.765670334
          36,      0.2443740919,       1.765668902
          37,      0.2443725567,       1.765667468
          38,      0.2443709587,       1.765666028
          39,      0.2443692891,       1.765664577
          40,      0.2443675312,       1.765663098
          41,      0.2443656764,         1.7656616
          42,      0.2443637268,       1.765660103
          43,      0.2443616794,       1.765658586
          44,      0.2443595226,       1.765657054
          45,      0.2443572398,       1.765655523
          46,       0.244354832,       1.765653999
          47,      0.2443523062,       1.765652481
          48,      0.2443496907,       1.765650991
          49,      0.2443469551,       1.765649452
          50,       0.244344139,       1.765647903
          51,      0.2443412533,       1.765646341
          52,      0.2443382602,       1.765644722
          53,      0.2443352183,       1.765643074
          54,      0.2443321652,       1.765641413
          55,      0.2443291221,       1.765639735
          56,      0.2443261141,       1.765638046
          57,       0.244323168,       1.765636349
          58,      0.2443203101,       1.765634642
          59,      0.2443175545,       1.765632921
          60,      0.2443149121,       1.765631185
          61,      0.2443123982,       1.765629433
          62,      0.2443100173,       1.765627663
          63,      0.2443077717,        1.76562587
          64,      0.2443056556,       1.765624056
          65,      0.2443036656,       1.765622219
          66,      0.2443017991,       1.765620361
          67,      0.2443000477,       1.765618486
          68,      0.2442984059,       1.765616596
          69,      0.2442968641,       1.765614693
          70,      0.2442954141,       1.765612776
          71,      0.2442940338,       1.765610821
          72,      0.2442927371,       1.765608855
          73,      0.2442915069,       1.765606881
          74,       0.244290336,       1.765604903
          75,      0.2442892158,       1.765602922
          76,      0.2442881276,       1.765600936
          77,      0.2442870674,       1.765598954
          78,      0.2442860281,       1.765596979
          79,      0.2442850064,       1.765595012
          80,      0.2442839773,       1.765593058
          81,      0.2442829433,       1.765591128
          82,      0.2442818969,        1.76558921
          83,       0.244280852,       1.765587332
          84,      0.2442798063,       1.765585498
          85,      0.2442787504,       1.765583715
          86,      0.2442776915,       1.765581978
          87,      0.2442765999,       1.765580258
          88,      0.2442755017,       1.765578587
          89,      0.2442744005,       1.765576965
          90,      0.2442732999,       1.765575395
          91,      0.2442722173,       1.765573889
          92,      0.2442711387,       1.765572439
          93,      0.2442700655,       1.765571053
          94,      0.2442689914,       1.765569739
          95,      0.2442679137,       1.765568505
          96,       0.244266836,       1.765567351
          97,      0.2442657439,       1.765566285
          98,      0.2442646753,       1.765565293
          99,       0.244263626,       1.765564378
